Nombre;Zona;InformacionTexto;BanderaAzul;QCalidad;Concejo;Accesos;Tipo de Playa;Salvamento;Puntos accesibles;Servicios;Longitud;Observaciones;Más Información;Ordenanzas de las mascotas;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Coordenadas;Slide;Título;Url
Playa de Barro;Oriente de Asturias;Una herradura de aguas tranquilas y fina arena blanca Protegida a ambos lados por sendos islotes, la playa de Barro es una hermosa concha de arena blanquecina y aguas cristalinas. Son unos trescientos metros abrigados del viento y del mar abierto, lo que hace que sus aguas sean idóneas para el baño por su baja peligrosidad. Quizá por ello soporta una fuerte ocupación. La playa de Barro es de una belleza serena. Así ha sido retratada en numerosas ocasiones para la grande y la pequeña pantalla, apareciendo en "El Portero" de Gonzalo Suárez, "Historia de un Beso" de José Luis Garci y en la serie de televisión "La Señora".;;;Llanes;A pie y coche;Arena dorada;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Servicio salvamento;250 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento (diario): 15/06 a 08/09 de 11:30 a 19:00 h. Accesible - Practicable Rampa de acceso. Aseos accesibles.;;;;;;;;;;;+43.436783,-4.825736;/documents/39908/43590/barro-borizu.jpg/4fad44cf-18ff-1e38-b17a-1eea72fb5c29?t=1674171728248,/documents/39908/43590/barro.jpg/d7880800-5ef8-0254-1d9b-84c934b9459b?t=1674171727565,/documents/39908/43590/PlayaBarro1.jpg/e25cbcbe-079f-eb1d-1d98-0228d4c62c17?t=1674171729213;Playa de Barro,Playa de Barro,Playa de Barro;,,
Playa de Aguilar y Playa de Campofrío;Centro de Asturias;Un horizonte rocoso idóneo para fondear barcos de recreo La presencia de enormes rocas de gran belleza confiere un gran atractivo a esta playa, la de mayor ocupación en el concejo de Muros de Nalón, aunque comparte el extremo occidental del arenal, con el concejo de Cudillero, denominado Playa de Campofrío, tras la desembocadura del arroyo del mismo nombre, siendo esta última la continuación natural de la Playa de Aguilar. Tiene un cómodo acceso en coche, aparcamiento, oferta hostelera, un pequeño paseo marítimo y es el punto de partida de la Ruta de los Miradores, que es un tramo espectacular de la senda costera que cruza Asturias. El Aguilar limita al oeste por la Punta del Gaveiro y al otro extremo por la Punta Castiello. Es un rincón de la costa perfecto para fondear embarcaciones de recreo y para practicar buceo y surf.  ;true;;Muros de Nalón y Cudillero;A pie fácil y coche;Arena dorada;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Servicio salvamento,Accesible,Aparcamiento,Surf,Área recreativa;640 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales en la playa desde 01/06 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento: 01/07 a 08/09 ACCESIBLE – PRACTICABLE Silla anfibia (solicitarla al servicio de salvamento) Plazas de aparcamiento. Rampa. Aseos accesibles. Mesas adaptadas (área recreativa al lado de la playa);;;;;;;;;;;+43.55483,-6.11672;/documents/39908/43260/Aguilar+%282%29.jpg/ccec173f-2615-9611-b204-3791c2002678?t=1674171370888,/documents/39908/43260/Aguilar+%289%29.jpg/a9bb5cd5-61b4-c29c-042b-360226b2cb6b?t=1674171375731,/documents/39908/43260/Aguilar+%287%29.jpg/e27968b7-6720-cc36-e071-777079940c81?t=1674171374308;Playa de Aguilar / Campofrío,Playa de Aguilar / Campofrío,Playa de Aguilar / Campofrío;,,
Playa de Castello/Castelo;Occidente de Asturias;Pizarra y cuarzo para una playa labrada entre cabos La playa de Castelo, en El Franco es una de las ensenadas labradas en la serie de cabos que dibujan el perfil del concejo. En forma de concha, está constituida por gravas cuarcíticas, donde las materias dominantes son las pizarras y el cuarzo. De fuerte oleaje, es una tira estrecha de 400 metros de longitud con un acceso peatonal y rodado y que cuenta en sus inmediaciones con un área de descanso con aparcamiento. Es la playa más grande del concejo y cuenta con servicio de auxilio y salvamento en temporada estival. Se encuentra en la localidad de Castello.;;;El Franco;A pie y en coche;Bolos;;;Playa sin Humo,Aparcamiento,Duchas;400 m.;Ordenanza mascotas en la playa: Está prohibida la circulación y estancia de perros y otros animales en las playas fuera de los meses señalados por el Ayuntamiento de El Franco (consultar).;;;;;;;;;;;+43.5544,-6.81071;/documents/39908/43236/Castello+I.jpg/c586cca3-858c-7429-76d1-bcb96b8dd9e3?t=1674171349849,/documents/39908/43236/PlayaCastello2.jpg/6d5b6ea6-6661-392a-94f3-ba31d6cb94d6?t=1674171353922,/documents/39908/43236/Castello+II.jpg/9071bba8-0af0-ca47-6bdb-a36b703f76a9?t=1674171351273,/documents/39908/43236/PlayaCastello1.jpg/1dd4dadd-32e0-ac9f-d19e-39df400d1b6a?t=1674171353279;Playa de Castello / Castelo,Playa de Castello / Castelo,Playa de Castello / Castelo,Playa de Castello / Castelo;,,,
Playa Palmera;Centro de Asturias;Una playa urbana segura donde comer, pasear y bucear Playa urbana de la turística localidad de Candás, en el concejo de Carreño. Son 240 metros de arena dorada bordeados por un paseo marítimo que lleva hasta el puerto. Ofrece todo tipo de equipamientos y la posibilidad de realizar distintos deportes acuáticos y subacuáticos. Se trata de un arenal muy seguro y con una ocupación alta en temporada estival. Cuenta con un saliente rocoso llamado La Farola, que en su día fue utilizado como faro vigía por los pescadores. En sus alrededores, hay una amplia oferta hostelera.;;;Carreño;A pie fácil y coche;Arena dorada;Diario: 10/06 a 14/09.;Rampa.  Boyas y redes. Duchas, vestuarios y aseos accesibles. Personal apoyo al baño. Silla anfibia (jueves a domingo y festivos: 12:00 a 19:00 h. Contacto 985 884 888);Aparcamiento próximo gratuito,Duchas y lavapiés,Aseos,Fuentes,Playa sin Humo;240 m.;;;Queda  prohibido  el  acceso  de  animales  de  compañía  entre  el  15/05 y el 15/10.  Del 01/05 al 14/05 y 16/10 al 31/10, se permitirá el acceso de animales de compañía hasta las 10:00 y desde las 19:00 h., quedando  prohibida la presencia de animales de compañía entre las 10:00 y las 19:00 h. Los animales no podrán generar molestias a otros usuarios, debiendo ejercer la persona propietaria control en todo momento sobre el animal. En los paseos marítimos y urbanos, en las zonas próximas a los accesos a la playa, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deberán ir provistos de bozal.;;;;;;;;;+43.587525,-5.761127;/documents/39908/43368/CANDAS_CARRE%C3%91O_10.jpg/618bc609-690c-f1c7-fd69-e3cb91283b99?t=1674171493163,/documents/39908/43368/PlayaLaPalmera2.jpg/06aef4f7-92ca-9cc8-b349-c2446030806d?t=1674171490874,/documents/39908/43368/PlayaLaPalmera4.jpg/78dd0e81-d18e-5799-0ede-f671a506f557?t=1674171493747;Playa de La Palmera,Playa de La Palmera,Playa de La Palmera;,,
Playa del Rinconín o El Cervigón;Centro de Asturias;Donde muere la playa de San Lorenzo La Playa del Rinconín o El Cervigón, es, como su nombre indica, la esquina este de San Lorenzo, una pequeña cala de arena y roca situada al final del paseo marítimo. Denota una alta afluencia de público y está bien equipada. Formada por rocas y arena oscura, se recomienda el baño con precaución. En ella se pueden practicar deportes como el senderismo, la pesca submarina, el surf, el bodyboard, el longboard y el paddlesurf. En ella comienza la senda El Rinconín-La Ñora, de 9,3 kilómetros aptos para el senderismo y el cicloturismo.  ;;;Gijón;A pie y coche;Arena oscura;;;Playa sin Humo,Duchas,Aseos,Aparcamiento,Servicio salvamento,Surf,Admite mascotas;250 m.;Permitido el acceso de mascotas durante todo el año  Normas: Deben estar vacunados, desparasitados y con microchip. Los responsables deben llevar consigo en todo momento la documentación del animal en regla. Podrán estar sueltos, siempre bajo la supervisión de la persona propietaria o responsable, que también es responsable de los daños ocasionados por el mismo. Siempre irán acompañados de una persona mayor de edad y no deben causar molestias al resto de usuarios. Aquellos catalogados como P.P.P deben ir siempre atados y con bozal. Los responsables deben ir preparados con bolsas para recoger los excrementos y depositarlos en las papeleras o contenedores habilitados. Servicio salvamento: consultar;;;;;;;;;;;+43.548348,-5.639019;/documents/39908/43545/Cervig%C3%B3n_Rinconin+%285%29.jpg/4b79fa19-0b71-0bcb-5969-2e6628592135?t=1674171678226,/documents/39908/43545/PlayaRinconin1.jpg/8be34af6-f270-5a6f-649a-ce939f41fbd7?t=1674171674498,/documents/39908/43545/rinconin-%281%29.jpg/22e25825-ebbe-ad29-7381-747642a59517?t=1687175729264,/documents/39908/43545/rinconin-%282%29.jpg/be290d6d-e5b0-8abb-4d9d-94ca5127f4ef?t=1687175727862;Playa del Rinconin / de Cervigón,Playa del Rinconin / de Cervigón,Playa del Rinconin / de Cervigón,Playa del Rinconin / de Cervigón;,,,
Playa de Salinas;Centro de Asturias;Turismo estival y largos paseos de Salinas a San Juan Es una de las playas más turísticas de Asturias, y también de las más extensas. Aunque su longitud es de 1.200 metros, está unida con la de San Juan. Juntas tienen tres kilómetros de dunas de arena dorada por las que pasear, surfear o disfrutar de un baño en sus aguas de moderado oleaje. Muy bien equipada, la playa de Salinas es de fachada urbana, con un largo paseo marítimo que termina en un promontorio rocoso, donde se encuentra el Museo de las Anclas, que está integrado por distintas esculturas. Su oferta hostelera es de calidad. Destaca el Real Balneario de Salinas, distinguido con una estrella Michelín.;true;;Castrillón;A pie fácil y coche;Arena dorada;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Servicio salvamento,Surf;2.100 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos a la playa desde 15/05 hasta 15/09 En los paseos marítimos, en las proximidades de las playas excepto en los sistemas dunares y en la península de la Peñona, se permitirá la presencia de animales de compañía durante todo el año, debiendo en todo caso ir siempre sujetos por una correa fija de longitud no superior a dos metros y, cuando fuera necesario por las características del animal, deberán ir provistos de bozal. Servicio salvamento: Temporada estival. ACCESIBLE – PRACTICABLE Aseos adaptados. Silla anfibia (solicitar el servicio directamente con los socorristas) Rampas.;;;;;;;;;;;+43.577406,-5.962143;/documents/39908/43338/Salinas2.jpg/96521255-8ccf-756f-f47d-d377d86b1309?t=1674171469072,/documents/39908/43338/Salinas3.jpg/54bdd94b-ef90-3095-3696-6cc425635d23?t=1674171469738,/documents/39908/43338/Salinas4.jpg/e5e2e81f-ae49-596a-f954-ba4a129f96dd?t=1674171470325,/documents/39908/43338/Salinas_vieja4.jpg/df25c378-ec15-8d73-53f1-071f5f76d2a9?t=1674171468483;,,,;,,,
Playa de Serantes/Sarello (Sareyo);Occidente de Asturias;Cultura, naturaleza y deporte se alían en este arenal Al final de unas verdes praderas, con huertas en las que se suele cultivar maíz, en plena desembocadura del río Tol, se encuentra este amplio arenal, que también está compuesto por campos de dunas y marismas. A escasa distancia se encuentra el recinto castreño de El Castelón. Se trata de una playa de arena fina, ventosa y con oleaje moderado, enclavada en un entorno rural, con un acceso fácil y un pequeño aparcamiento. Es muy familiar y popular entre los aficionados a la pesca deportiva y al submarinismo, aunque con una ocupación media.;;;Tapia de Casariego;A pie y en coche;Arena fina dorada;;;Servicio hostelería,Duchas,Aparcamiento,Accesible,Servicio salvamento,Surf;200 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso de animales domésticos a las playas y zonas de baño, a excepción del que resulte preciso para el desarrollo de actividades debidamente autorizadas por la autoridad sanitaria competente. En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Queda autorizada en las playas la presencia de perros lazarillo en compañía de la persona a quien sirvan, sin perjuicio de la responsabilidad de su poseedor y/o propietario ni de las medidas que el mismo deba adoptar para evitar molestias o riesgos paro el resto de usuarios. Quienes vulneren la prohibición del número 1, o no cumplan con las condiciones preceptuadas en el número 3 anteriores, deberán abandonar de inmediato las playas con el animal, a requerimiento verbal de los Agentes de la autoridad, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento: 01/07 a 15/09 (11:30 a 19:30 h) Puntos accesibles: Aseo accesible. Rampa hasta la arena. Dos plazas de aparcamiento.  ,;;;;;;;;;;;+43.556726,-6.975224;/documents/39908/43437/Playa+de+Serantes+5.jpg/3e0952e9-8f09-eecc-9cd5-77ceac76cf83?t=1674171570683,/documents/39908/43437/2022-serantes1.JPG/0907cdb5-1b09-2502-cd57-9f6eea4a7008?t=1674171571920,/documents/39908/43437/Playa+de+Serantes+3.jpg/70bc1479-194e-4291-ceb6-f32069000a2b?t=1674171569416,/documents/39908/43437/2022-serantes.JPG/81e7c75d-599c-549f-75d8-7baa92ca7663?t=1674171571284;Playa de Serantes y Sarello,Playa de Serantes y Sarello,,;,,,
Playa de Poo;Oriente de Asturias;La pleamar forma una piscina natural de agua salada Esta playa con forma de embudo, desde la que es difícil atisbar el mar al fondo de los acantilados, reposa en la desembocadura de un pequeño arroyo llamado Río Vallina. Cuando la marea sube, el mar entra por la canal que se ha formado con el paso de los siglos y queda remansada como si se tratase de una piscina de poca profundidad. Todas estas características hacen que sea un arenal familiar, ya que el baño es muy seguro. El acceso a este arenal se puede realizar en coche o a pie desde Po. Cuenta con un pequeño aparcamiento insuficiente para su alto nivel de ocupación y está rodeada de praderas.;;;Llanes;A pie fácil y coche;Arena blanca;;;Servicio hostelería,Duchas,Aparcamiento,Servicio salvamento;150 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento (diario): 15/06 a 08/09 de 11:30 a 19:00 h.;;;;;;;;;;;+43.429430,-4.785183;/documents/39908/43314/La-Isla-de-Poo-%2C-puedes-acceder-desde-la-playa-de-Poo-o-desde-la-Playa-de-San-Mart%C3%ADn.jpg/db1a0887-d2ab-b078-2eaf-e70c5632ef4d?t=1674171438915,/documents/39908/43314/poo.jpg/84a4f241-f0d7-459f-07ae-3f58305d4203?t=1674171435537,/documents/39908/43314/acantilados-po-castro-de-po.jpg/d9284cab-26bf-4ae9-fef0-f768687a9f64?t=1674171438271,/documents/39908/43314/Playa_de_Poo_Llanes.jpg/ddbe9edf-c126-9aef-1ff8-11cddfe53d09?t=1674171436236;Isla de Poo, se accede desde la Playa de Poo o desde la Playa de San Martín,Playa de Poo,Acantilados en la Playa de Poo,Playa de Poo;,,,
Playa de San Pedro de Antromero;Centro de Asturias;Una hermosa ensenada con un gran valor geológico Una bella ensenada de 200 metros de arena dorada y fuerte oleaje. Así es la playa de San Pedro de Antromero, muy visitada en la época estival. Con una orientación sureste, este arenal disfruta de una hermosa panorámica hacia el oriente. Dispone de buenos servicios y se encuentra muy próxima al núcleo de Antromero. En sus inmediaciones hay un camping. La zona es de un gran valor geológico ya que el corte de los acantilados muestra las peculiaridades en la formación en distintos periodos de esta zona del Cabo Peñes.;;;Gozón;A pie fácil;Arena dorada;;;Servicio hostelería,Duchas,Servicio salvamento;390 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y presencia de cualquier tipo de animales, incluso domésticos, a las playas, aguas y zonas de baño, así como a los paseos marítimos, a excepción de los que resulten precisos para el desarrollo de actividades debidamente autorizadas por la autoridad sanitaria competente. En el caso de animales abandonados que deambulen por la playa, serán responsables de los mismos sus propietarios. El poseedor de un animal, sin perjuicio de la responsabilidad subsidiaria del propietario, será responsable de los daños y perjuicios que ocasione a las personas, instalaciones y medios en general. Servicio salvamento (diario): 15/06 a 08/09 ,;;;;;;;;;;;43.601745,-5.772114;/documents/39908/43422/PlayaAntromero1.jpg/db2aabce-e857-d383-a416-5f6ee6bcb890?t=1674171559189,/documents/39908/43422/san-pedro-antromero.jpg/bc3a7254-e401-51ef-4e7c-b83be5cf163a?t=1674171559815;Playa de San Pedro de Antromero,Playa de San Pedro de Antromero;,
Playa de Toró;Oriente de Asturias;Un paisaje cubierto rocas puntiagudas y arena Toró es fácilmente reconocible en cualquier imagen. Su conjunto de rocas puntiagudas en medio de una playa de arena blanca la convierten en única. Esas formaciones con forma de pináculo salpican tanto la costa como el mar. Este arenal está situado muy cerca de la villa de Llanes, por lo que es un centro turístico de referencia. Tiene accesos a pie y en coche, un aparcamiento y todos los servicios y los equipamientos necesarios para disfrutar de una jornada de playa. El oleaje es moderado así que el baño no es peligroso.;;true;Llanes;A pie y coche;Arena dorada;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Servicio salvamento;220 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento (diario): 15/06 a 08/09 de 11:30 a 19:00 h. Accesible - Practicable  Rampa. Aseos y duchas accesibles.  ;   ;;;;;;;;;;+43.416785,-4.743187;/documents/39908/43359/PlayaToro1.jpg/a6ba0ceb-b6a5-b61f-85de-99b5afd1b3bb?t=1674171487589,/documents/39908/43359/Toro2.jpg/89c2d6a9-7ef6-8732-b834-d143f789b106?t=1674171487006,/documents/39908/43359/Toro3.jpg/4b6d6a63-c6a7-296c-ff10-e9523a4711ba?t=1674171486395;Playa de Toró,Playa de Toró,Playa de Toró;,,
Playa de Lastres / Playa L'Estilleru;Oriente de Asturias;La televisiva playa del Doctor Mateo Rodeada de acantilados, formada por grava, arena y bolos, la playa de Lastres es una cala de 300 metros que baña el turístico pueblo del mismo nombre, cuyo puerto pesquero es uno de los más típicos y bellos del litoral asturiano. Situada a la entrada de la villa también se la conoce por el nombre de Playa L'Estilleru, ya que en ella se construyeron barcos de distintos tonelajes, durante siglos. Es una de las playas más televisivas de Asturias: en ella se rodaron numerosas escenas de la serie Doctor Mateo.;;;Colunga;A pie fácil y coche;Arena dorada, bolos y grava;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Aparcamiento,Servicio salvamento;300 m.;Ordenanza mascotas en la playa: Está prohibido el acceso de perros y demás animales domésticos a las playas, arenales y pedreros, desde 01/06 hasta 30/09. Servicio salvamento (diario): 01/07 a 09/09 ACCESIBLE - PRACTICABLE Accesible mediante rampa hasta la arena.;Silla anfibia (servicio compartido entre las playas del concejo de Colunga).;;;;;;;;;;43.507567, -5.270211;/documents/39908/43266/PlayaLastres1.jpg/02ea06c0-9f03-3a88-72a4-4dafb95e9db4?t=1674171381278,/documents/39908/43266/PlayadeLastres_3.jpg/d530b79d-ab1c-b864-8adc-f8ba7e66133d?t=1674171383312;Playa de Lastres,Playa de Lastres;,
Cala Salencia;Occidente de Asturias;Territorio virgen con acceso para perros en cualquier época del año Cala Salencia está situada junto a la Playa de Lairín, no dispone de aparcamiento, aunque se puede acceder en coche, se recomienda dejarlo en el pueblo de Novellana. El estado habitual de la mar es oleaje moderado. Para caminar por la cala se recomienda llevar calzado resistente a las rocas y piedras de playa. Se trata de territorio virgen. Sin vigilancia, ni salvamento marítimo ni sin servicios. Se recomienda extremar las precauciones a la hora del baño. En caso de emergencia llamar al 112. El camino de acceso a la playa se encuentra en la parte más oriental del pueblo de Novellana. El tiempo estimado de bajada a pie son quince minutos, por un camino amplio y asfaltado.  Cala Salencia es la primera playa del concejo de Cudillero en tener permitido el acceso a perros durante todo el año. Está situada en Novellana.  ;;;Cudillero;Accedemos desde Novellana por la A8 y tomamos la salida 444. ;Es una cala principalmente compuesta por bolos. ;;;Admite animales;150 m.;Permitido el acceso de mascotas durante todo el año  Normas: Deben estar vacunados, desparasitados y con microchip. Los responsables deben llevar consigo en todo momento la documentación del animal en regla. Podrán estar sueltos, siempre bajo la supervisión de la persona propietaria o responsable, que también es responsable de los daños ocasionados por el mismo. Siempre irán acompañados de una persona mayor de edad y no deben causar molestias al resto de usuarios. Aquellos catalogados como P.P.P deben ir siempre atados y con bozal. Los responsables deben ir preparados con bolsas para recoger los excrementos y depositarlos en las papeleras o contenedores habilitados.;;;;;;;;;;;+43.57245, -6.28010;/documents/39908/43401/CalaSalencia2.jpg/0c2ab3ca-d50d-da90-c950-74516eaca94b?t=1674171534982,/documents/39908/43401/CalaSalencia3.jpg/eb05ce77-1d46-7869-a8bc-b4faac8925f6?t=1674171535577,/documents/39908/43401/Cala_Salencia.jpg/1bc7d0c3-e83c-a13d-145f-3fdbad90a886?t=1674171533719;Cala Salencia,Cala Salencia,Cala Salencia;,,
Playa de La Isla;Oriente de Asturias;Toma su nombre de un islote al que se accede a pie en bajamar La playa de la Isla es un largo arenal dorado de 800 metros, ventoso y de fuerte oleaje. El islote que le da el nombre se sitúa en el margen izquierdo de la playa y queda unido a la misma en bajamar a través de un tómbolo. Al este aparece una zona llamada El Barrigón, otra playa a la que se accede con marea baja. En la zona, destaca un tramo de acantilados de entre 50 y 75 metros de altura con un gran valor natural y cultural, ya que se han encontrado restos castreños y romanos en sus inmediaciones.;;;Colunga;A pie y en coche;Arena dorada;;;Playa sin Humo,Aparcamiento,Servicio salvamento;1.600 m.;Ordenanza mascotas en la playa: Está prohibido el acceso de perros y demás animales domésticos a las playas, arenales y pedreros, desde 01/06 hasta 30/09. Servicio salvamento (diario): 01/07 a 09/09 PRACTICABLE Pasarela hasta la arena.  ;;;;;;;;;;;+43.47958,-5.22511;/documents/39908/43572/PlayaIsla3.jpg/5daca228-582f-88c2-6a48-b3d166eb322f?t=1674171711522,/documents/39908/43572/laisla.jpg/dd12bf9c-e416-7a91-8506-0c1bd04524d3?t=1674171712172,/documents/39908/43572/PlayaIsla1.jpg/6b1b5d86-09b5-19e6-956c-179dee99f9f0?t=1674171709684;Playa de La Isla,Playa de La Isla,Playa de La Isla;,,
Playa de Estaño;Centro de Asturias;Un baño en una piscina natural labrada en la roca Pequeña, de arena oscura y en forma de tómbolo. Así es la playa de Estaño, una cala semiurbana a tan sólo cinco kilómetros de Gijón/Xixón. Con buenos equipamiento y un fuerte oleaje, se recomienda para el baño su margen izquierdo, aunque hay que mantener la precaución debido a su fondo rocoso. Destaca en Estaño el Pozo del Cura, una piscina natural labrada en la roca. Además, en su sector occidental se encuentra el islote de La Tortuga. Es un arenal muy adecuado para practicar el buceo y la pesca submarina.;;;Gijón;A pie y coche;Arena dorada y grava;;;Servicio hosteleria,Duchas,Aparcamiento,Servicio salvamento;300 m.;Ordenanza mascotas en la playa: No está permitido el acceso con mascotas.  Servicio salvamento: consultar;;;;;;;;;;;+43.54796,-5.59839;/documents/39908/43476/Playa_de_Esta%C3%B1o_Gij%C3%B3n.jpg/ce186e8c-aaf7-ccc4-0d15-86f7490fab63?t=1674171617286,/documents/39908/43476/Playa_de_Esta%C3%B1o_Gij%C3%B3n_1.jpg/538c8bee-94c0-2bd6-d455-8c2602b1b5b3?t=1674171617917,/documents/39908/43476/Playa_de_Esta%C3%B1o_Gijon_2.jpg/92ee87bb-4f2b-04e0-de5e-ad1084f341af?t=1674171618514,/documents/39908/43476/playa_estano_Gijon_1.jpg/8eaf86f9-8535-addb-0a4c-941ff9768e6e?t=1674171615897;Playa de Estaño,Playa de Estaño,Playa de Estaño,Playa de Estaño;,,,
Playa de Riocabo;Occidente de Asturias;Un aislado territorio virgen de cantos rodados y arena Una playa virgen, aislada y tranquila. Así es la playa de Riocabo o Ballota, en honor al río Cabo que desemboca en ella y que sirve de límite entre el concejo de Cudillero y el de Valdés. Se trata de una tira estrecha, bordeada de acantilados y con un acceso a pie, de unos 25 minutos, desde el área de descanso donde se puede aparcar. Por ello, quizá, tiene un grado de ocupación bajo. No dispone de equipamientos. Está situada en Ballota.;;;Cudillero;A pie difícil;Bolos;;;;750 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales en la playa desde 01/06 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal.  ;;;;;;;;;;;+43.55416,-6.344619;/documents/39908/43464/PlayaRuicabo1.jpg/0a143578-d8e5-9106-3c03-f2367c15a48b?t=1674171605572;Playa de Ballota / Ruicabo / Ricabo;
Playa de San Esteban, El Garruncho y El Focarón;Centro de Asturias;El corazón playero de una villa marinera Al oeste de la playa nos encontramos con los roquedales de El Garruncho y El Focarón, con similares características, y accesibles en bajamar.  La playa, dispone de acceso rodado, está situado en las inmediaciones de las piscinas de agua salada, únicas en Asturias, y en el inicio de la Ruta de los Miradores, que conecta San Esteban con la playa de Aguilar, a través del litoral.;;;Muros de Nalón;A pie y en coche.;Grijo fino.;;;Playa sin Humo,Duchas,Solárium,Servicio salvamento,Aparcamiento;60 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales en la playa desde 01/05 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento (sábados y domingos): 01/07 a 27/08 (11:00 a 19:00 h.)  ;;;;;;;;;;;+43.564726,-6.079535;/documents/39908/43413/PlayaSanEsteban1.jpg/919c651b-f82d-e590-cb2b-bda7e7abfa87?t=1674171542960,/documents/39908/43413/garruncho+%283%29.jpg/6b269c5e-237a-186b-61fa-99bf55fe060b?t=1674171544836,/documents/39908/43413/garruncho+%282%29.jpg/27c7b62c-9919-6639-a4f7-2740cbdf8aef?t=1674171544183,/documents/39908/43413/garruncho+%285%29.jpg/eb4ff4d4-c9f5-cf0d-61b6-53dd8227e22a?t=1674171546238;Playa de San Esteban / El Espigón,Playa de San Esteban / El Espigón,Playa de San Esteban / El Espigón,Playa de San Esteban / El Espigón;,,,
