Alt Imagen Destacada;Nombre;Concejo;Zona;Extensión;Periodo de visita;Altitud máxima;Datos de Contacto;Uso;Servicios;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal;Url;Archivo;Título;Título;Seleccionar heading;Contenido Texto;Imagen;Pie de foto;ALT de la imagen;TITLE de la imagen;Título;InformacionTexto;Localización;Flora;Fauna;Horarios y Tarifas;Qué ver;OtrosDatos;Q de Calidad;Reserva de la Biosfera;Coordenadas;Slide;Título;Url;Observaciones;Más Información;Trámites relacionados
;Arenero;Tineo;;;;;El Arenero - El Crucero Webhttp://www.tineo.es/areas-recreativas;;;;;;;;;;;;;;;;;;;;Área recreativa fluvial muy próxima a El Crucero en Tineo.;Además de disfrutar del área recreativa, el entorno nos ofrece la posibilidad de practicar la pesca, el senderismo o paseos en bicicleta.;Situada dentro del coto de pesca intensiva El Arenero del El Crucero, a tan sólo 3 kilómetros de la villa de Tineo;;;;;Zona de seguridad Bar / Cafetería Senderismo Fuente Acceso tráfico rodado Zona de aparcamiento Barbacoa Zona de mesas Accesible autocares;;;43.347580,-6.377536;/documents/39908/61626/Arenero_1.jpg/7efcb6c2-3741-95ed-6bac-8c7bbcd296a0?t=1674187476562,/documents/39908/61626/Arenero_2.jpg/cf3da823-44b8-956a-5efc-51fbb4da7867?t=1674187477206;Área recreativa El Arenero,Coto de pesca intensiva El Arenero;,;;;
;Parteayer;Morcín;;;;;;;Zona de seguridad Senderismo Fuente Acceso tráfico rodado Zona de aparcamiento Zona infantil Barbacoa Zona de mesas Accesible autocares;;;;;;;;;;;;;;;;;;Área llana con poca sombra y vistas al Monsacro.;Área recreativa que dispone de barbacoas, mesas, fuente, juegos infantiles e instalaciones deportivas, en las inmediaciones de Parteayer;Por la A-66 partimos desde Oviedo en dirección a Mieres desviándonos para pasar por Soto de Ribera y tomar la N-630 en dirección Mieres. Poco después de pasar Argame nos desviamos a la derecha en dirección a Morcín y en el pueblo de Parteayer encontramos el área.;;;;;;;;43.281185,-5.874355;/documents/39908/61908/Parteayer_1.jpg/069d58bb-8d1d-e3f9-b48d-87ba9154a199?t=1674187652070,/documents/39908/61908/Parteayer_2.jpg/2899ffd5-80b8-3011-a585-9d8a0f2c1adf?t=1674187652650,/documents/39908/61908/Parteayer_3.jpg/12a42a52-8014-6350-eed9-708aebff4d7a?t=1674187653295;Área recreativa Parteayer,Área recreativa Parteayer,Área recreativa Parteayer;,,;;;
;Barrillón;Laviana;;;;;;;Zona de seguridad Acceso tráfico rodado Barbacoa Zona de mesas;;;;;;;;;;;;;;;;;;Área recreativa próximo al pueblo del Condao, en La Pola Llaviana/ Pola de Laviana;Se sitúa en la curva el Barrillón debajo del nuevo corredor del Nalón, en la vega de Soto. Se encuentra en una zona de vega (vega de Soto), debajo del nuevo corredor del Nalón.;Desde La Pola Llaviana/Pola de Laviana por la AS-17 y a unos 5 kilómetros de distancia llegamos al Condao.;;;;;;;;43.234094,-5.496728;/documents/39908/61635/Barrrillon_1.jpg/70f79b3d-c624-949c-e0a3-ee905ad0baa2?t=1674187479431,/documents/39908/61635/Barrrillon_2.jpg/2b610659-3373-f617-132f-5b6cb7b8a29c?t=1674187480034,/documents/39908/61635/Barrrillon_3.jpg/6be9d636-1d8e-a4f9-0953-e82e50f3a6d4?t=1674187480626;Área recreativa Barrillón,Área recreativa Barrillón,Área recreativa Barrillón;,,;;;
;Embalse de Doiras;Illano, Boal;Occidente de Asturias;124,1;;;;Energía eléctrica.;;;;;;;;;;;;;;;;;;;Embalse situado a 8 Km. de Illano y a 12 km. de Boal, que cuenta con una superficie de cuenca propia de 2.288 Km2 y una longitud de costa de 54,6 Km.;Inaugurado en 1934 constituye el segundo embalse construido en el Navia, tras el de Arbón. Zona idónea para la práctica de numerosas actividades lúdicas tales como la navegación, el baño y la pesca, pudiéndose usar también para la carga de hidroaviones. Dispone de puntos de amarre de embarcaciones en el puente del Estado y junto a la presa.;Las condiciones de accesibilidad son regulares, llegando desde Illano por la carretera AS-12.;;;;;;;;;/documents/39908/61563/Embalse+de+Doiras+desde+el+mirador+de+San+Esteban+de+los+Buitres.jpg/705d8820-04f6-6235-8344-6beda0ab645f?t=1674187426187,/documents/39908/61563/Panor%C3%A1mica+r%C3%ADo+Navia+-+Embalse+de+Doiras.jpg/e2a61aa8-84cb-658e-feac-8ac354310a95?t=1674187427009,/documents/39908/61563/Embalse_de_Doiras_Boal_Illano.jpg/74e2520c-213a-419e-9054-7653f4feb7c7?t=1674187429150,/documents/39908/61563/05724.JPG/49faf664-6212-0c74-53fe-cf608e580529?t=1674187427601;Embalse de Doiras desde el Mirador de San Esteban de los Buitres,Panorámica Río Navia y Embalse de Doiras,Embalse de Doiras,Embalse de Doiras;,,,;Se encuentra cercano el Refugio de Caza de Barandón.;;
;Viapará;Riosa;;;;;;;Punto panorámico Fuente Acceso tráfico rodado Zona de aparcamiento Barbacoa Zona de mesas Accesible autocares;;;;;;;;;;;;;;;;;;Área recreativa situada en un puerto de montaña entre las estribaciones de la sierra del Aramo y del Monsacro en la Vega de Riosa.;Este área, se encuentra enclavada en el Paisaje Protegido de la Sierra del Aramo, y desde ella se divisa una amplia panorámica de los concejos de Riosa y Morcín, la ciudad de Oviedo, los Picos de Europa, el Monsacro y la sierra del Aramo (L'Angliru).;Desde La Vega de Riosa, una carretera asfaltada nos conduce al pueblo de Grandiella. Unos 200 metros antes de llegar a Grandiella parte una carretera que lleva al pueblo de Teleno y desde allí al área.;;;;;;;;43.243858,-5.912150;/documents/39908/61608/Viapara_1.jpg/800af3bf-9a05-767f-446a-9956ca744395?t=1674187468620;Área recreativa Viapará;;;;
;Cordal de Peón;Villaviciosa;;;;;;;Zona de seguridad Punto panorámico Bar / Cafetería Senderismo Fuente Acceso tráfico rodado Zona de aparcamiento Barbacoa Zona de mesas Accesible autocares;;;;;;;;;;;;;;;;;;Área recreativa de monte próxima a Peón, en Villaviciosa.;Desde este área, poblada de robles, abedules y rodeada de pinos se puede divisar parte del concejo de Villaviciosa, el litoral Cantábrico y la ciudad de Gijón, hacia el norte. Y en días de buena visibilidad, la Cordillera Cantábrica, mirando hacia el interior. La zona es muy frecuentada por ciclistas BTT que aprovechan la red de pistas y 'caleyas' para practicar deporte en un magnífico entorno. ;Por la carretera N-632, en el pueblo del Pedroso tomamos la carretera local Pedroso-Alto del Infanzón. El área se encuentra a 3 km.;;;;;;;;43.486191,-5.524692;/documents/39908/61671/CordaldePeon_1.jpg/10aebfbc-13d4-4c19-83fa-39cffb31c355?t=1674187498522;Área recreativa Cordal de Peón;;;;
Paisaje otoñal del bosque de Muniellos con predominio de tonos cálidos. Valle rodeado de colinas cubiertas de árboles con tonos ocres y verdes.;Guía para visitar Muniellos;Cangas del Narcea e ibias;Occidente de Asturias;55;Todo el año.;Pico la Candanosa con 1676 m.;Centro de Interpretación de Muniellos (entre Oubachu y Mual) Centro de Recepción de Visitantes de Muniellos (Las Tablizas);;;;;;;;;;;/documents/39908/44079/Folleto_Muniellos.pdf/20c0151f-787d-f3e3-cc4f-db08510ebf23?t=1674172547304;Folleto general de la Reserva de la Biosfera de Muniellos;,Todo lo que necesitas saber para solicitar el acceso a la Reserva Natural Integral Muniellos,¿No quedan plazas disponibles para el día que quieres visitar Muniellos?,En Muniellos hay 3 rutas oficiales. ¡Elige la que mejor se adapte a tus circunstancias!,Un paseo sencillo por el camino adaptado de Muniellos,Ruta del Río (al final se puede sumar la subida a las lagunas glaciares),La Ruta Larga (incluye todas las anteriores),,La alternativa perfecta a Muniellos. Un plan B tan bueno como el plan A,Centro de Interpretación y Mirador de la Candanosa,,Últimos consejos;,h2,h2,h2,h3,h3,h3,,h2,h2,,h2;Cada 15 de diciembre se abren las inscripciones anuales para visitar el Bosque de Muniellos, uno de los mejores patrimonios naturales de Asturias. Solo 20 privilegiados al día pueden acceder al mayor robledal de España -y uno de los mejores de Europa-, catalogado Reserva de la Biosfera desde el año 2000. ,, Para visitar este trocito de paraíso del Parque Natural de Fuentes del Narcea, Degaña e Ibias debes tener en cuenta varias cosas. Dada la importancia del espacio natural donde habitan osos pardos, lobos, corzos, ¡incluso urogallos!, debes contar con una autorización oficial. La solicitud online de la misma es gratuita(se abre en una pestaña nueva). y bastante sencilla, sin embargo, es importante que tengas claros algunos puntos: Cuanto tramitas la solicitud de acceso, te envían una pre autorización que tienes que confirmar entre 15 y 23 días antes de la fecha elegida. Solo se gestiona una solicitud por persona, pareja o grupo. Si teniendo la reserva confirmada no te presentas antes de las 10:00 AM del día elegido, automáticamente pasas a una lista negra y no podrás volver a solicitar el acceso durante la temporada. El día de tu visita debes portar la autorización impresa y mostrar tu DNI al guarda. Aunque tengas una autorización confirmada, si las condiciones meteorológicas son extremas, pueden restringir el acceso a las rutas o cancelar las visitas. No puedes llevar a tus mascotas. , ¡Cruza los dedos!  Si alguna de las personas que tramitaron la solicitud online no se presenta - o llega tarde -, su plaza pasa a estar disponible hasta completar el aforo de 20 visitantes diarios. Para saber si han quedado plazas libres, llama al guarda de Muniellos a las 10:00 h. (teléfono 661 931 580). Procura estar por la zona y preparado (ropa de monte, bastones, mochila con agua y tentempié, etc.). Si no lo has logrado, te proponemos una alternativa perfecta que podrás ver y disfrutar más adelante. , Las rutas de Muniellos se inician y se terminan en el mismo lugar, el Centro de Recepción de Visitantes de Muniellos, en Las Tablizas. En esta zona no hay buena cobertura. Por ello es aconsejable descargar el mapa de Muniellos en el móvil y, si es posible, llevar el track de la ruta en el navegador. Si no eres senderista experimentado, o si quieres disfrutar de una experiencia más profesional, puedes contratar a un guía experto acreditado. Encontrarás el método de contacto en la autorización. , La pasarela de madera de 1,2 kilómetros (ida y vuelta) es la opción perfecta para personas con problemas de movilidad o niños muy pequeños. Es un camino adaptado que se adentra en el bosque siguiendo el curso del arroyo Candanosa. Por increíble que parezca, 600 metros son suficientes para sentir que estás en el corazón del robledal. , Si estás en buena forma y acostumbrado a caminar por la montaña, esta ruta es para ti. Se inicia recorriendo la misma pasarela de madera del camino adaptado, y continúa adentrándose en el bosque autóctono de robles, tejos, arces, avellanos, etc. La variedad de flora en Muniellos es muy amplia, cuenta incluso con una especie endémica, el ranúnculo de Muniellos. Las fotos que acompañan este artículo evidencian la bella paleta de colores que nos regala el bosque caducifolio en otoño. Esta ruta se complica ligeramente a partir del kilómetro 4, cuando el firme deja de ser tierra para caminar sobre piedra suelta de pizarra y cuarcita. , Tras llegar a Las Tres Cruces, si se quiere, se puede tomar un desvío a las lagunas de Muniellos: La Isla, La Fonda, Laguna Grande y La Peña, todas ellas de origen glaciar. Este tramo de 1,5 kilómetros de longitud y ascensión continua entre abedules, suele ser el primero que se clausura cuando hay nieve. La laguna de la Isla aparece tras caminar 1 kilómetro. La Fonda la encontrarás atravesando el canchal por encima de la Isla. Seguidamente aparece la laguna Grande (requiere superar un paso complicado), y la última, La Peña, solo es visible en época de lluvias. , Sabiendo esto, está en tu mano subir a las lagunas o dar la vuelta en Las Tres Cruces. En cualquier caso, para regresar a Las Tablizas, deberás deshacer el camino andado. , Elige esta opción si estás acostumbrado a las rutas de alta montaña. Son 20 kilómetros, hay pasos complicados y pendientes pronunciadas. Si visitas la Reserva de la Biosfera de Muniellos entre diciembre y abril, es muy probable que haya nieve en cotas altas. Por seguridad esta ruta se clausura hasta que mejore la climatología. , La ruta circular se inicia por un camino que hay a la derecha del Centro de Recepción de Visitantes de Muniellos, que remonta el valle de La Degollada. Una ascensión exigente, donde hay algunos tramos asegurados con cuerdas, te llevará al Valle de Fonculebrera, atravesando un precioso hayedo. Continuando la ascensión, pero más cómodamente, llegarás a Las Tres Cruces. Allí puedes elegir subir a las lagunas o comenzar a descender. En cualquier caso, el regreso se hace por la ruta del río que acaba en el camino adaptado. Recuerda avisar al guarda de tu llegada cuando finalices cualquiera de las rutas. , La Reserva de la Biosfera de Muniellos abarca el Monte de Munie??os, La Vilie??a y Valdebois pero, también existen rutas limítrofes a la Reserva. Una de ellas comienza en el pueblo de Mual. La ruta circular de 10 kilómetros y baja dificultad, señalizada como sendero de pequeño recorrido PR-AS 132, atraviesa un bosque gemelo a Muniellos donde habitan las mismas especies. No dudes en hacer esta ruta si no has conseguido la autorización para visitar la Reserva Natural Integral de Muniellos. , A 2 kilómetros de Mual, en Oubachu, se encuentra el Centro de Interpretación de Muniellos. Es un edificio de arquitectura peculiar que cuenta con varias exposiciones, información turística y cafetería. En la parte inferior encontrarás un área de descanso, abierto todos los días de la semana las 24 horas del día, y a cubierto. , Bordeando el edificio, se llega al Mirador de la Candanosa. Desde allí se contemplan las mejores vistas del valle de Muniellos. , En la Reserva de la Biosfera de Muniellos no hay alojamientos ni restaurantes, tendrás que desplazarte a alguno de los pueblos cercanos o a Cangas del Narcea. Tampoco encontrarás baños, podrás ir por última vez en el Centro de Recepción de Visitantes de Muniellos. Recuerda no dejar basura en el bosque. Si visitas la Reserva de Muniellos en época de lluvias, debes saber que la exigencia de las rutas aumenta considerablemente. Por tu seguridad, sigue los consejos del guarda y nunca abandones las sendas. No se puede llevar ningún animal de compañía. Aprovechando que estás en una zona donde la habitan osos pardos y lobos, practica turismo de observación. Contrata un guía experimentado para que tu experiencia sea segura y satisfactoria.;,,/documents/39908/44079/bosque-muniellos.jpg/f873d681-9021-2256-8ca8-9ff5c75cb8f3?t=1731656750878,,/documents/39908/44079/crv-exterior.jpg/0ff07d1c-3749-1b0f-de87-8fa2849194f0?t=1731656758022,/documents/39908/44079/camino-adaptado.jpg/f617720a-72f7-e8e3-42cd-b4cd4200d2b0?t=1731656753695,/documents/39908/44079/ruta-14-km.jpg/99e6e998-d80a-b7db-3bb1-0e07337b5a36?t=1731656769320,/documents/39908/44079/camino-lagunas-glaciares.jpg/71b948e4-bd31-f3e4-acb1-c0a5d0d517c8?t=1731656755067,,/documents/39908/44079/nieve-en-cotas-altas.jpg/f9007f80-b90b-73f9-ca5c-25affbdc4a9c?t=1731656762282,/documents/39908/44079/paseo-por-el-bosque.jpg/ea1f50d6-581f-a7fa-a617-d7ff4c6434c7?t=1731656765188,/documents/39908/44079/ruta-de-Moal.jpg/554dc17a-cfa7-22a6-6e9e-bf557e6d8029?t=1731656772115,/documents/39908/44079/ci-muniellos.jpg/724f4de7-f3d6-c5ac-e89a-4dbe9335fdae?t=1731656756466,/documents/39908/44079/vista-al-robledal-desde-mirador-Candanosa.jpg/ce8617df-d069-2e21-6fe0-b366f6d02e37?t=1731656773471,;,,Bosque de Muniellos.,,Centro de Recepción de Visitantes de Muniellos.,Camino adaptado en Muniellos.,Ruta del Río en Muniellos.,Camino a las lagunas glaciares.,,Nieve en el Bosque de Muniellos.,Caminando por el Bosque de Muniellos.,Cortín en Muniellos.,Centro de Interpretación de Muniellos.,Mirador Pico Luis.,;,,Vista panorámica del Bosque de Muniellos en otoño.,,Vista del exterior del Centro de Recepción de Visitantes de Muniellos y su entorno rodeado del bosque en otoño.,Una mujer paseando por el camino adaptado en el Bosque de Muniellos que va entre los árboles.,Una mujer caminando por una senda de la ruta en el bosque. La senda está llena de hojas caidas y está en la vereda de un río.,Tramo del camino a las lagunas glaciares en el que un hombre está cruzando un puente de madera sobre el río y se ve el indicador de dirección a las lagunas.,,Tramo de las cotas altas de la ruta con nieve entre los árboles el Bosque de Muniellos.,Un hombre con ropa oscura camina a lo lejos por un sendero cubierto de hojas otoñales. Un gran árbol cubierto de musgo se alza en primer plano a la derecha.,Un cortín en primer plano con las colmenas artificiales de los apicultores en su interior. El cortín está rodeado de árboles.,Una construcción con una arquitectura única se alza sobre pilares en un claro, debajo entre los pilares se ve el área de descanso. El edificio tiene un techo inclinado con ventanas triangulares simulando árboles y está rodeado de árboles con follaje otoñal. Al fondo se ve una montaña con la cima nevada.,Vistas desde el Mirador Pico Luis que se ve en primer plano a la izquierda. Desde el se ve el valle de Muniellos en la época otoñal.,;,,Bosque de Muniellos.,,Centro de Recepción de Visitantes de Muniellos.,Camino adaptado en Muniellos.,Ruta del Río en Muniellos.,Camino a las lagunas glaciares.,,Nieve en el Bosque de Muniellos.,Caminando por el Bosque de Muniellos.,Cortín en Muniellos.,Centro de Interpretación de Muniellos.,Mirador Pico Luis.,;La Reserva Natural Integral Muniellos, es un bosque natural desde hace décadas inalterado, que nos lleva a imaginar cómo sería el aspecto de Asturias en el pasado;Comprende los montes de Munie??os y La Vilie??a (Cangas del Narcea) y el monte de Valdebois (Ibias). El Bosque de Muniellos, el mayor robledal de España y uno de los mejores conservados de Europa, acoge en su entorno a una verdadera naturaleza virgen que renace en cada estación con sorprendentes muestras de su adaptación al medio ambiente. Siempre cambiante, es ejemplo claro del paraíso asturiano en todas las épocas del año. Robles de distintas especies y de hasta seis metros de diámetro, hayedos y abedules que se ven salpicados por la continua presencia de acebos y tejos, reyes perennes del otoño de Muniellos. Este fantástico bosque, lleno de leyendas y mitología astur, se asienta sobre un sustrato paleozoico de unos 500 millones de años de antigüedad, en él se pueden observar antiguos circos glaciares y lleronas, canchales de cuarcitas desmenuzadas. Del origen glaciar de Muniellos dan fe las famosas lagunas del Pico de la Candanosa, cuatro escalones de agua, de belleza enigmática, que se esconden entre valles, senderos y cimas. La ascensión a estas lagunas: la Peña, Grande, Fonda y La Isla conforman uno de los recorridos de máximo interés entre los amantes del senderismo. El río Muniellos o Tablizas, afluente del Narcea, atraviesa todo el bosque, recogiendo las aguas de los numerosos arroyos que se deslizan torrencialmente a sus lados. La climatología es típicamente montañosa, con una pluviosidad elevada, del orden de los 1.800 litros por metro cuadrado, y una temperatura de 10º en la media montaña y por debajo de los 6 en la región de cumbres. La nieve es frecuente durante la estación fría, llegando a permanecer gran parte del invierno en las zonas más elevadas.;Situada en el suroccidente asturiano, entre los concejos de Ibias y Cangas del Narcea.;Otro de los fascinantes secretos de Muniellos es su gran variedad de hongos y setas, la mayoría de ellas comestibles, que siembran los bosques con más de cuatrocientas especies. Las plantas aprovechan cualquier descuido del sol de invierno para echar sus frutos de intenso colorido. Casi cuatrocientas especies diferentes, algunas de las cuales forman parte del catálogo de Especies Amenazadas de la Flora del Principado de Asturias.;Los amantes de los animales tienen en el Bosque de Muniellos un importente referente sobre la fauna asturiana. Abundante, variada y escurridiza, se esconde en los entresijos del bosque, huyendo de la presencia humana. El más relevante es el oso pardo cantábrico, que encuentra en la zona las condiciones adecuadas para su desarrollo y supervivencia. El lobo puebla los montes con áreas estables de cría y presencia de grupos familiares, alimentándose de otros animales que habitan los montes como el jabalí o el corzo. Es posible observar la muda del pelaje del zorro en otoño, cuando las ardillas, arrendajos y urogallos cambian su dieta primaveral por los abundantes frutos que llenan el bosque: arándanos, moras, avellanas y bellotas.;Reservas;;;;;+43.047738,-6.654593;/documents/39908/44079/muniellos_fuentesdelnarcea_vuelvealparaiso_b.jpg/fbea01ba-f153-c4a4-75af-781f8cf2dc00?t=1674172546654,/documents/39908/44079/BosqueMuniellos2.jpg/d5392a75-7098-b30b-5e54-4a47391adf46?t=1674172544579,/documents/39908/44079/paisaje-otonal.jpg/42fd3f41-4482-de9d-12ee-c1cef5446a54?t=1731656763774,/documents/39908/44079/rio-muniellos.jpg/1260fcee-5e5f-76b1-eec4-a28754255b44?t=1731656766542;Bosque de Munie??os,Bosque de Munie??os,Paisaje otoñeal del Bosque de Munie??os,Bosque de Munie??os;,,,;;;
;Lago Ercina;Cangas de Onís;Oriente de Asturias;8 Ha.;;1.108 m.;;;;;;;;;;;;;;;;;;;;;La cubeta del Ercina es una balsa alargada y de fondo plano, en cuyo tamaño definitivo tuvo gran influencia la mina Buferrera, ya que en un extremo del lago se construyó un dique de 1.50 metros de altura, para embalsar las aguas que se perdían por el sumidero.;Gracias a este dique se consiguió duplicar la longitud primitiva. El color de sus aguas varía con los cambios de iluminación y la vegetación acuática, pasando del verde claro al verde oscuro e incluso en ocasiones puede presentar tonos amarillentos, verdi-azulados y rojizos.;Se accede a La Ercina por la carretera de Los Lagos, tornando la Picota desde el Enol, con un recorrido de 12 Km, a partir de Cuadonga/Covadonga.;El Ercina, de cubeta poco profunda, es un medio fértil en macrovegetación. Las comunidades vegetales arraigadas en el fondo ocupan la mayor parte de la cubeta lacustre, aunque a simple vista muchas de las plantas no sean fáciles de percibir, por encontrarse permanentemente sumergidas o porque sólo durante un corto período de tiempo afloran sus órganos reproductores a la superficie. El tapín o trema del llagu es como llaman los pastores al tremedal flotante que retiembla al andar por él, aunque el riesgo de hundirse es grande porque, en general, está muy embebido y los sedimentos son falsos. Está constituido por concentraciones de fanerogamas herbáceas, juncáceas, cañaverales, espadañales y arbustos. Entre otras especies destaca la Carex diandra, la cual al abundar contribuye, después de la fructificación, al cambio de coloración del lago del verde al ocre. También aparece el cirpo lacustre (Scirpus lacustris) que se da formando cañaveral o bien emergiendo de las aguas en grupos aislados. Otra especie que se encuentra en la masa flotante, además de en los márgenes del lago, es el espaganio ramoso (S. Erectum). Por último, es abundante en las inmediaciones del lago la variedad de sauce llamada la salgar (Salís atrocinera). El desarrollo de la vegetación, e incluso la imagen que ofrece un lago, puede cambiar mucho, no sólo en las distintas estaciones del año, sino por las mismas fechas en años sucesivos, y claro es que no todo depende de variaciones climáticas, sino que hay otros muchos factores en juego.;Dos grupos bien representados en este lago son la avifauna y las libélulas. De anfibios hay: tritón palmeado (Triturus helveticus), tritón alpino (T. Alpestris), sapo partero común (Alytes obstetricans), sapo común (Bufo bufo) y rana parda (Rana temporaria). Entre las aves acuáticas la más abundante es la focha (Fulica atra), aunque también abunda el ánade real (Anas platyrhynchos).;;;;;;43.267456,-4.981125;/documents/39908/61485/LagoErcina4.jpg/ac3db2f2-a84c-d5f0-9993-12ba2ffe38a6?t=1674187350069,/documents/39908/61485/LagoErcina2.jpg/94bda06f-1975-29dc-14e3-165e7a539208?t=1674187348789,/documents/39908/61485/LagoErcina3.jpg/a8497a6b-0b67-52ce-2046-baeba0dabb10?t=1674187349387,/documents/39908/61485/LagoErcina1.jpg/54af783b-7142-3fa5-f1b2-150275133f40?t=1674187348132;Lago Ercina,Lago Ercina,Lago Ercina,Lago Ercina;,,,;Restricción acceso a los Lagos de Covadonga (00:00 a 24:00 h.) Marzo: 23 al 31  Abril:  Fines de Semana: 06,07, 13,14, 20,21, 27,28 29 y 30  Mayo:  01 al 03 Fines de Semana: 04,05, 11,12, 18,19, 25,26 Junio a octubre: 01/06 al 13/10 (excepto 25/07 y 08/09)   Fines de semana: 19,20, 26,27 Noviembre: 01 al 03 y 30 Diciembre: 01 al 09 ¡AVISO IMPORTANTE!  Compra anticipada de billetes  Horarios servicio lanzadera desde Cangues d’Onís/Cangas de Onís hasta el Real Sitio Horarios Plan de acceso a Los Lagos de Covadonga Excepciones a la restricción: ciclistas, vehículos autorizados, pruebas deportivas y otras actividades debidamente autorizadas. Sólo permitido acceso autobuses Euro-IV o Superior. Solicitudes al Parque Nacional de los Picos de Europa: documentos y formularios Rutas guiadas en el Parque Nacional;;
;Asiego;Cabrales;;;;;;;Zona de seguridad Punto panorámico Acceso tráfico rodado Zona de aparcamiento Barbacoa Zona de mesas;;;;;;;;;;;;;;;;;;Área recreativa muy próxima al pueblo de Asiegu, en Cabrales.;Ofrece unas vistas espectaculares de los Picos de Europa, más concretamente del Naranjo de Bulnes (Picu Urriellu).;Desde Carreña,en Cabrales, nos desviamos hacia la localidad de Asiegu. El área se encuentra al lado de la carretera, a unos 2 km desde la desviación.;;;;;;;;43.322587,-4.856968;/documents/39908/61629/Cabrales1.jpg/9f4fa985-df44-f0e4-bda7-54229d85a8a4?t=1674187477833;Cabrales;;;;
;Valdemurio;Quirós;Centro de Asturias;1,55;;;;Energía eléctrica.;;;;;;;;;;;;;;;;;;;Es un embalse situado en pleno trazado de la Vía Verde de la Senda del Oso, a 6 Km de Bárzana (capital de Quirós), y a 28 km. de Oviedo/Uviéu.;Cuenta con una superficie de cuenca propia de 196 km2. Es apto para la práctica de deportes náuticos y la pesca, siempre y cuando se haga lejos de la presa y de las tomas. Dispone de pantalán y escuela de pesca deportiva. En sus orillas y alrededores se pueden disfrutar de múltiples actividades como rutas de senderismos o cicloturismo y descansar en sus áreas recreativas.;Las condiciones de accesibilidad son regulares, llegando desde Bárzana por la carretera AS-229.;Formaciones de ribera.;;;;;;;;/documents/39908/61551/Embalse_Valdemurio.jpg/cb1038a5-2857-a4a3-687c-6f0b8e7dcecd?t=1674187407965,/documents/39908/61551/Valdemurio.jpg/e935a2e1-b5f9-1acd-b888-789f40fa7a9a?t=1674187409692,/documents/39908/61551/valdemurio-1.jpg/0eefe919-8a2b-14ad-74e3-466a5033a9e4?t=1674187410340,/documents/39908/61551/Senda+y+area+de+turismo+activo+de+Valdemurio.jpg/67dcd0da-853f-3f8b-c0cc-ac9ce08ac212?t=1674187410959;Embalse de Valdemurio,Embalse de Valdemurio,Paseo por el Embalse de Valdemurio,Senda y área de turismo activo en el embalse de Valdemurio;,,,;El embalse se sitúa en el límite norte de la Reserva Regional de Caza de Somiedo.;;
;Río Dobra;Amieva, Cangas de Onís;Oriente de Asturias;60;;;;;;;;;;;;;;;;;;;;;;;El Dobra es un río de aguas puras y cristalinas, afluente del Río Sella y límite occidental de los Picos de Europa;El Río Dobra con sus 23 Km de longitud, discurre casi en su totalidad por la zona centro oriental del Principado de Asturias, siendo uno de los afluentes del Sella. Cabe destacar en el curso del río uno de los aprovechamientos hidroeléctricos de gran importancia en Asturias, el Embalse La Jocica, que consta de tres unidades, la Presa de La Jocica, La Central de Restaño y la de Camporriondi, ya a orillas del Sella. Confluye con el Río Sella a las afueras del pueblo de Tornín y cerca de su desembocadura, frontera entre los concejos de Amieva y Cangas de Onís, existe una poza de gran belleza y atractivo turístico llamada Olla de San Vicente. El Dobra desemboca en el Sella en la localidad de Tordín, Cangas de Onís.;Amieva y Cangas de Onís;;;;;;;;43.251298,-5.048053;/documents/39908/61497/RioDobra1.jpg/e86ae1ca-d509-7d9b-2f85-2281dd1a517c?t=1674187355383,/documents/39908/61497/RioDobra2.jpg/9d3ae555-0703-e97a-f811-101d666d277f?t=1674187355990,/documents/39908/61497/RioDobra3.jpg/a6a6ddec-f689-9f94-ddcf-045eb73e1f14?t=1674187354706,/documents/39908/61497/RioDobra4.jpg/3c31e072-e324-08dc-e91a-2c9d12e76626?t=1674187356692;Río Dobra,Río Dobra,Río Dobra,Río Dobra;,,,;El Río Dobra en su unión con el Sella en Puente Dobra traza el límite administrativo entre los concejos de Amieva y Cangas de Onís.;;
;Río Agüeira;Pesoz;;;;;;;Zona de seguridad Fuente Acceso tráfico rodado Zona de aparcamiento Barbacoa Zona de mesas Accesible autocares;;;;;;;;;;;;;;;;;;Área recreativa fluvial sobre el río Agüeria, en las cercanías de Pesoz.;El área se encuentra rodeada de abundante vegetación y especies autóctonas de roble, abedul... y abrigada por una escarpada montaña.;Desde Pezós/Pesoz tomamos la dirección a Samartín por la AS-13. El área se encuentra a 2,5 km.;;;;;;;;43.242057,-6.892623;/documents/39908/61926/RioAgueira_1.jpg/33b46be8-4690-ffd0-be41-f5a7c74e5cf2?t=1674187663154,/documents/39908/61926/RioAgueira_2.jpg/62f1a219-efd9-a8a4-43d6-4cdd203ec340?t=1674187663830,/documents/39908/61926/RioAgueira_3.jpg/2b8708ac-e4d9-7020-b5dd-521cf9783ab5?t=1674187664403,/documents/39908/61926/RioAgueira_4.jpg/67ad1f32-1b1e-f919-e895-3092323d49ac?t=1674187664980;Área recreativa Río Agüeira,Área recreativa Río Agüeira,Área recreativa Río Agüeira,Área recreativa Río Agüeira;,,,;;;
