Nombre;Concejo;Zona;Dirección;Teléfono;Email;Web;Más información;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Descripción breve;Descripción;Horario y duración de las visitas;Tarifas;Visitas guiadas;Productos que comercializa;Indicar los productos que disponen de D.O.P. o I.G.P.;Observaciones;Coordenadas;Slide;Título;Url
Pomarada Finca La Rionda;Villaviciosa;Centro de Asturias;Finca La Rionda. N 632. Km 38.2. 33316. Tornón. Villaviciosa;661 645 930;bodegalarionda@gmail.com;https://bodegalarionda.ueniweb.com/;;https://www.facebook.com/fincalarionda;https://twitter.com/fincalarionda;;;;;;;Visita a la finca y explicación del manejo en la plantación de manzanos con denominación de origen. Incluye también comentarios del entorno de la ría de Villaviciosa y visita al llagar. En la pomarada y bodega Finca la Rionda, cultivamos y elaboramos bebidas a partir del zumo de manzana de sidra de nuestra plantación.;;Visitas previa reserva Duración: 2 h. 30 min.; 5 €; SI;Sidra Natural La Rionda;;Servicio a domicilio de sus productos de bodega: Valnera Semiseco de Manzana Sidra Natural La Rionda Sidra Natural Valnera Selección;43.504649, -5.402762;/documents/39908/65970/Finca_la_Rionda_Recogedora_con_tractor.jpg/f5f1218b-6029-ea75-fea0-851976927afa?t=1674194246852,/documents/39908/65970/Finca_la_Rionda_Manzanos_en_Flor.jpg/744e9e0e-8470-9c5a-9a71-4c65bfc9abff?t=1674194246262,/documents/39908/65970/Finca_la_Rionda_explicacion.jpg/f9a9536c-e6f0-eb74-882d-ecaad794b8be?t=1674194245563,/documents/39908/65970/Finca_la_Rionda_Recogida_en_sacos.jpg/adc2ec01-06f2-9b6a-e1ea-2478c9150e26?t=1674194247461;Pomarada Finca La Rionda,Pomarada Finca La Rionda,Pomarada Finca La Rionda,Pomarada Finca La Rionda;,,,
Llagar Sidra Cortina;Villaviciosa;Centro de Asturias;San Juan, 44. 33311. Amandi. Villaviciosa;985 893 200 / 630 956 730;comunicacion@sidracortina.com,info@sidreriacasacortina.com;https://www.sidracortina.com/;;https://www.facebook.com/sidracortina;https://twitter.com/sidracortina;;;https://www.instagram.com/sidracortina;;;;Sidraturismo en Sidra Cortina;Visita guiada por las instalaciones del llagar a través de la cual se explica todo el proceso de elaboración de la sidra natural. Los visitantes degustarán un culín de sidra directamente espichado, así como nuestra riquísima Sidra de Hielo Cortina. Los servicios que ofrecemos en las visitas para los adultos son los siguientes: Recepción en centro de visitantes y vídeo explicativo Vaso de sidra serigrafiado Visita guiada por el Llagar de la Ferrería Culín de sidra directamente espichado del tonel Cata de sidra de hielo Cortina Degustación y maridaje de quesos asturianos En cuanto a los menores además de ser gratuito les ofrecemos estos servicios:  Recepción en centro de visitantes y vídeo explicativo Vaso de sidra serigrafiado Visita guiada por el Llagar de la Ferrería Obsequio al finalizar el tour  ;Festivos Semana Santa: Jueves y viernes (un pase): 12:00 h. Sábado (2 pases): 10:30 y 12:30 h. 01/07 a 15/09: Lunes a viernes: 12:00 y 17:00 h. Sábados (2 pases): 10:30 y 12:30 h. 15/09 a 30/09: Lunes a viernes (un pase): 12:00 h. Sábados (2 pases): 10:30 y 12:30 h. 01/10 a 30/06: Martes y jueves (un pase): 12:00 h. Dos sábados al mes (consultar calendario reservas): 12:00 h.  ;Visita guiada con degustación y maridaje: Adultos: 8€/persona Niños: gratis (menores de 18 años) Recomendable ropa de abrigo (la sensación térmica en bodega es baja).  ;Sí;Sidra Natural Llagar de la Ferrería Sidra Natural Cortina Sidra Natural Tradicional Villacubera DOP Sidra Natural Cortina Ecológica (sello COPAE) Sidra de Hielo Cortina;;En nuestra TIENDA VIRTUAL se pueden hacer pedidos y los enviamos a toda España. No hay pedido mínimo, pero los portes varían en función de la cantidad de cajas. Además, puedes conseguir portes GRATIS a partir del segundo pedido registrándote como usuario. Es necesario realizar reserva previa a través del siguiente enlace RESERVAS/Sidraturismo Se realizan visitas en inglés para grupos (mínimo 10 pax), avisando con antelación. Accesible (Ficha de accesibilidad)    ;43.465641, -5.443909;/documents/39908/65973/llagar-Cortina+%283%29.jpg/81b87cb6-9a3d-7cfd-7cb0-f053905c219c?t=1674194249454,/documents/39908/65973/llagar-Cortina+%282%29.jpg/a3d00e50-68ca-85ec-c782-ebda4c08648d?t=1674194248818,/documents/39908/65973/llagar-Cortina+%285%29.jpg/bb70f4e6-a4f4-2aea-7bb5-04ab6b70f8d0?t=1674194250646,/documents/39908/65973/llagar-Cortina+%281%29.jpg/3abc8c0c-51ed-bf7d-d078-38ce8fa582d7?t=1674194248245;Llagar Sidra Cortina,Llagar Sidra Cortina,Llagar Sidra Cortina,Llagar Sidra Cortina;,,,
Llagar Sidra Crespo;Colunga;Oriente de Asturias;33327. Sales. Colunga;639 493 883 / 679 579 755;info@sidracrespo.es;https://www.sidracrespo.es/;;https://www.facebook.com/sidracrespo;;;;;;;;Visita gratuita por el llagar con explicación del proceso de elaboración y posterior degustación de la sidra.;Tras la recepción en nuestro parking, nuestros visitantes recibirán detalladas explicaciones sobre el proceso de la elaboración de LA SIDRA, desde la llegada y lavado de la manzana hasta el final de la transformación. Para comprobar la calidad y el sabor inconfundible de nuestra bebida, nuestros invitados podrán "espichar" directamente de nuestros toneles de madera al final de la visita.;A demanda;Gratuito;Sí;Sidra Crespo Sidra Sueve;;Realizamos reparto de sidra a domicilio a los concejos de Caravia, Colunga, Ribadesella y Villaviciosa. Se hacen espichas. Disponemos de bar y asador propio.  ;;/documents/39908/65964/SidraCrespo1.jpg/06c8364b-4e44-4278-b8a2-941761c8d338?t=1674194238616,/documents/39908/65964/SidraCrespo2.jpg/8359635c-b5fc-6666-a7a2-8ec3ad2f8e88?t=1674194239241;Llagar Sidra Crespo,Llagar Sidra Crespo;,
Cofradía Gastronómica del Torto de Maíz;Oviedo;Centro de Asturias;ALTERNA SIDRERÍA. C/ Puerto Pajares, 9 . Oviedo/Uviéu;687 762 574;cofradiadeltorto@gmail.com;;;https://www.facebook.com/cofradiadeltorto/;;;;https://www.instagram.com/cofradiatortomaizasturias/?igshid=YmMyMTA2M2Y%3D;;;;La cofradía nace por iniciativa de un grupo de amigos amantes de la gastronomía, que en sus reuniones periódicas en torno a una buena mesa, se percataron que nunca faltaban unos buenos tortos de maíz;Deciden por tanto crear esta cofradía para de algún modo, dar el reconocimiento a este producto por lo que representó en las casas asturianas en el pasado y al mismo tiempo, el brillante uso actual en la gastronomía tradicional y el prometedor en la más vanguardista de la mano de los mejores chefs del Principado. Fue creada en 2019, es mixta y está formada por 15 miembros.;;;;;;;43.371232,-5.836051;/documents/39908/66462/cofradia-torto.jpg/314c6919-3667-cf89-7085-71c1661027fb?t=1674194840665,/documents/39908/66462/2022-cofradiadeltortodemaiz+%282%29.jpg/e1998b80-02cb-5674-632a-730c36a9e7bd?t=1674194838842,/documents/39908/66462/2022-cofradiadeltortodemaiz+%281%29.jpg/5f496ab9-9b92-1dd2-5efb-33442b53a6be?t=1674194838283,/documents/39908/66462/2022-cofradiadeltortodemaiz+%283%29.jpg/e246a694-c331-78dd-8b3d-64b6b5f9cd13?t=1674194840091;Cofradía Gastronómica del Torto de Maíz,Cofradía Gastronómica del Torto de Maíz,Cofradía Gastronómica del Torto de Maíz,Cofradía Gastronómica del Torto de Maíz;,,,
Cofradía Buena Mesa del Mar;Castrillón;Centro de Asturias;La Colonia;606 417 610 / 639 789 068;;;;;;;;;;;;La Cofradía Buena Mesa de la Mar, nació de un sueño como todas las grandes ideas. En este caso un sueño compartido por un puñado de amigos, amantes de la mar, su gastronomía y su cultura. Corría el año 1984, donde estos "amigos", que serían los socios fundadores, dejarían sentadas las bases para que el barco, esta nuestra Cofradía, iniciara su travesía allá por el año 1986.;La Cofradía, disfruta -con Cofrades y amigos- de un pabellón gastronómico y otras edificaciones titularidad de la Universidad de Oviedo, donde se desarrollan gran parte de sus actividades de carácter gastronómico y cultural. Tiene como fines u objetivos recogidos estatutariamente, el promocionar y divulgar la cultura de la mar, su cuidado y protección, su gastronomía, el arte relacionado con la mar y en general, todo lo relacionado con la mar y sus gentes, por ello su lema es "Vivir junto al mar y tener amigos, ¡Qué más se puede desear!" La Cofradía, publica regularmente la revista Anclas, con temática marinera y acerca de las actividades de la Cofradía y cuenta con una extensa Biblioteca de la Mar y un archivo de recetas de platos marineros, a la vez que alienta encuentros con otras cofradías gastronómicas y culturales, en especial las relacionadas con nuestros objetivos. Es impulsora igualmente, de la creación, mantenimiento y promoción del Museo de Anclas Philippe Cousteau, situado en el bello paraje o península de la Peñona, junto a la playa de Salinas, donde las bravas aguas del Cantábrico arriban violentamente para proporcionar al paraje una belleza extraordinaria. El Museo de Anclas, fue inagurado por S.A.R. D. Juan Carlos I, el 30 de Septiembre de 1993, con la presencia de la familia Cousteau. Sus emblemas son: La Llámpara y el busto de Pilliphe Cousteau, que lucen en su gorra, escarapela, niki de verano, insignia, pasacorbatas y medallón, que constituyen la uniformidad. Durante el presente año, ha tenido lugar la 32ª edición de la Llámpara Natural y la 31ª Edición de los Cucharones del Buen Guiso Marinero. Distinciones que han tenido una extraordinaria acogida en la vida social de nuestro país, en la región y en el ámbito internacional;;;;;;;43.576294,-5.957280;/documents/39908/66450/Cofradia_Buena_Mesa_de_la_Mar.jpg/d077f8e2-1871-2e22-8b8f-34f21af836a1?t=1674194826799,/documents/39908/66450/Cofradia_Buena_Mesa_de_la_Mar_1.jpg/cf96f16d-965f-b1da-3847-8ae130f216b6?t=1674194827504,/documents/39908/66450/Cofradias_Buena_Mesa_de_la_Mar_3.jpg/c5435c90-c907-77bb-35b2-dc10b075766d?t=1674194828709,/documents/39908/66450/Cofradias_Buena_Mesa_de_la_Mar_2.jpg/379ab0d9-195d-88c9-04c3-5766b923dbc8?t=1674194828082;Cofradía Buena Mesa de la Mar,Cofradía Buena Mesa de la Mar,Cofradía Buena Mesa de la Mar,Cofradía Buena Mesa de la Mar;,,,
Llagar Sidra Castañón;Villaviciosa;Centro de Asturias;Ctra. San Miguel, 90-103. 33314. Quintueles;985 894 576 / 618 467 577 (WhatsApp);info@sidracastanon.es;https://sidracastanon.com/;;https://www.facebook.com/sidracastanon/;https://twitter.com/SIDRACASTANON;https://www.youtube.com/user/sidracastanon;https://www.pinterest.es/llagarcastanon/_created/;https://www.instagram.com/sidracastanon/;;;;El llagar de sidra Castañón fue fundado en 1938 por el abuelo materno del actual gerente Julián Castañón. Este llagar que ya va por la tercera generación al mando, en el año 2011, con visión de ampliar su negocio, lo trasladan a la actual ubicación, donde se mantiene un equilibrio entre calidad, tradición e innovación. SIDRATURISMO, descubre como se elabora nuestra Sidra Natural tradicional, en un llagar moderno y actual como es Castañón. Explicamos el proceso de elaboración siguiendo el "camino que recorre la manzana desde que llega al llagar, hasta que sale en botella" (octubre y noviembre son los meses de recogida de manzana y de elaboración). Los participantes degustarán la SIDRA espichada directamente del tonel. Y brevemente les hablaremos de nuestros nuevos e innovadores productos como el Vermú de Sidra (Roxmut) y nuestro Frizzante Xiz.   ;   ;Necesaria reserva previa online. Aforo limitado. Aperturas especiales festivos (consultar calendario). Enero y febrero: Jueves y viernes: 13:00 y 17:00 h. Sábados: 13:00 h. Julio y agosto:  Martes y miércoles: 13:00 y 17:00 h. Jueves y viernes: 11:00, 13:00 y 17:00 h. Sábados: 11:00 y 13:00 h. Resto del año:  Martes a viernes: 13:00 y 17:00 h. Sábados: 13:00 h.  ;Desde 6 €;Las visitas incluyen:  Vídeo introducción.  Visita guiada por las instalaciones de Llagar Castañón. Degustación de sidra directamente espichada del tonel para los adultos. Degustación de Sidra Dulce o Zumo de Manzana para menores de edad al final de la visita. Degustación final: ROXMUT (vermú de sidra) o XIZ Frizzante. Aperitivo final con sidra de tonel (sólo opción V2) Visita “Vive SIDRATURISMO Castañón" V1 Descripción: Visita por las instalaciones del llagar, siguiendo el camino que realizan las manzanas desde que llegan al llagar, hasta que llegan a la botella.  Degustación de sidra espichada directamente de los depósitos. Duración: 45 minutos Tarifas: 6 €/pax. 2,50 € (12 a 17 años): incluye degustación de zumo de manzana. Gratuito: < 12 años. Reservar Visita V1 Visita "Espicha un culín y toma un Pinchín" V2 (necesaria reserva, mínimo con 24 h de antelación) Descripción: Visita por las instalaciones del llagar, siguiendo el camino que realizan las manzanas desde que llegan al llagar, hasta que llegan a la botella.  Degustación de sidra espichada directamente de los depósitos y/o toneles de madera.  Se finaliza la visita con un aperitivo (no almuerzo/cena es una tapa) final de queso y embutido asturiano acompañado de culinos de sidra. Duración: 1 h. y 15 min.  Tarifas: 15 €/persona. 8,50 € (12 a 17 años) Incluye degustación de zumo de manzana y aperitivo. Gratuito/menores de 12 años. No incluye aperitivo final (si desean aperitivo, contratar tarifa niño a partir 12 años) Reservar visita V2    ;Sidra Natural Castañón Sidra Natural Val de Boides D.O.P. Roxmut (aperitivo vermú de sidra) Xiz Frizzante Sidra de Hielo La Bonagua;;No vendemos a domicilio pero está operativa para toda España la VENTA ONLINE Admite mascotas (exterior del llagar y de la tienda) Accesible (Ficha de accesibilidad);43.51465,-5.56916;/documents/39908/65961/2021-xurde-margaride+%282%29.jpg/0b37b14d-ecfc-a42b-e98c-417de22e2a57?t=1674194234288,/documents/39908/65961/2021-xurde-margaride+%281%29.jpg/da93b823-bd6b-3576-9203-1a863cc8e4c0?t=1674194233573,/documents/39908/65961/Castanon_3.jpg/9e7b6991-0a25-405a-07c1-4ae0fff5d8dd?t=1674194230144,/documents/39908/65961/2021-Coyacios.es.jpg/f0df835f-132a-8425-97a5-fcfea226d938?t=1674194231393,/documents/39908/65961/foto.jpg/8659fbc1-1743-ad3a-286d-b86dfcd13b0e?t=1704715428070;Llagar Castañón,Llagar Castañón,Llagar Castañón,Llagar Castañón,Llagar Castañón;,,,,
Cofradía del Colesterol Bueno HDL;Avilés;Centro de Asturias;Cabruñana, 10 - 2º B - 33401 Avilés;639 750 194;cofradiadelcolesterol@gmail.com;www.cofradiadelcolesterol.es;;https://www.facebook.com/Cofrad%C3%ADa-Colesterol-Avil%C3%A9s-167424503302529;;;;;;;;La Cofradía del Colesterol Bueno HDL fue fundada el 24 de noviembre de 1996 por un grupo de avilesinos preocupados por el fomento de los buenos hábitos alimenticios y por su promoción mediante la divulgación de dietas alimenticias para la prevención de varias enfermedades;Para el cumplimiento de estos fines la Cofradía realiza, a lo largo de todo el año conferencias y degustaciones, principalmente en colegios de enseñanza, tanto públicos como privados, mediante los denominados "desayunos cardiosaludables". Hasta la fecha han pasado por los mismos cerca de 22.000 escolares de los colegios de Avilés y comarca, así como de otras poblaciones de Asturias, Galicia y Cantabria. Se realizan charlas y coloquios sobre la prevención de problemas cardiovasculares en centros de mayores, empresas, asociaciones y colectivos sociales de Asturias y Galicia. Se promueve la divulgación de la utilización de alimentos cardiosaludables mediante la realización de las correspondientes catas y certámenes, así como su divulgación y difusión a través de los medios audiovisuales, prensa, folletos, revistas, etc. Desde el año 2013 hemos incorporado un nuevo programa de "salud bucodental", que se imparte por un equipo de odontólogos en los colegios que lo soliciten, para fomentar entre los escolares los buenos hábitos bucodentales. Recientemente hemos puesto en marcha la actividad denominada "Camina por tu salud y muévete contra el sedentarismo" con la formación de un grupo de montaña y senderismo abierto a todos aquellos que quieran practicar la caminata como ejercicio básico, que se puede realizar al aire libre y por todo tipo de personas. En el año 2008 se inauguró el denominado "Paseo de las firmas", ubicado en la margen derecha de la ría avilesina, en colaboración con el Ayuntamiento de Avilés y la Escuela Municipal de Cerámica, que se encarga de reproducir en cerámica las firmas de los premiados con el galardón "HDL" y que están colocadas sobre pequeños monolitos que los paseantes pueden contemplar a lo largo de todo el recorrido del paseo, justo enfrente del Centro Cultural Internacional Oscar Niemeyer. La Cofradía del Colesterol Bueno HDL tiene instaurados unos premios anuales que se conceden a instituciones, entidades o personas que con sus trabajos de investigación, promoción, innovación o divulgación persiguen la buena salud nutricional, a quienes contribuyen a la difusión de las bondades de la villa de Avilés, a quienes trabajan en pro de la gastronomía de la comarca y a quienes a lo largo de los años han contribuido, de una u otra manera, a la salud de los avilesinos a través del ejercicio profesional de la medicina.  ;;;;;;;43.556292,-5.924367;/documents/39908/66441/Colesterol.jpg/0b5d61f3-4524-b673-7486-77af9e2b18d7?t=1674194816902,/documents/39908/66441/Colesterol_1.jpg/4b948a25-14c9-f985-e743-dd6720d9b36e?t=1674194817568,/documents/39908/66441/Colesterol_2.jpg/9e098931-c7b4-b55d-2b23-bcfdf3e471e4?t=1674194818333,/documents/39908/66441/Colesterol_4.jpg/8d941e7a-a78b-beb1-c6fd-a46aff797ed8?t=1674194819615;Cofradía del Colesterol Bueno,Cofradía del Colesterol Bueno,Cofradía del Colesterol Bueno,Cofradía del Colesterol Bueno;,,,
Quesería Bedón;Llanes;Oriente de Asturias;Frieras. 33594 Posada;985 407 199 / 639 605 888;pedidos@queseriabedon.com;https://quesosbedon.es/;;https://www.facebook.com/QueseriaBedon;;;;;;;;En nuestra quesería elaboramos tres tipos de quesos, de forma totalmente artesanal;La leche con la que elaboramos nuestros quesos proviene de nuestros propios rebaños de vacas y cabras, por lo que todos los productos que intervienen en su elaboración son totalmente naturales… Son quesos de corte uniforme, textura fina, aromáticos… y sobre todo con un gran sabor. Si le apetece visitar nuestra quesería, hacer un pedido o simplemente conocer más acerca de nuestros quesos, no dude en contactar con nosotros…  ;Sábados: 10:30 a 14:00 y 16:00 a 20:00 h. Duración visitas: 45 min. aprox.;;Sí;Bedón de Cabra Bedón de Mezcla Bedón de Vaca;;Para las visitas los grupos deben de ser como máximo de 4 pax.;43.43133, -4.877585;/documents/39908/66018/2021_Bed%C3%B3n_quesos.jpg/2dd2b69c-e22b-ef27-129a-a74ad7e8fe40?t=1674194302988,/documents/39908/66018/2021-bedon+%285%29.jpg/6db40e1e-7cb1-469e-2fdc-b54378f885e3?t=1674194303821,/documents/39908/66018/2021-bedon+%286%29.jpg/3121303f-cdee-10f9-b9af-d5db0316fcc4?t=1674194304387,/documents/39908/66018/2021_Bed%C3%B3n_Productos.jpg/8cb8f063-5b20-f064-35ab-0fbc69726e41?t=1674194301690;Quesos,Productos,Queso,Ganadería;,,,
Cofradía de Amigos de les Fabes del Principado de Asturias;Villaviciosa;Oriente de Asturias;Asturias, 22 (Centro Cultural San Juan de Capistrano) - 33300 Villaviciosa;686 005 096;info@cofradiadeamigosdelesfabes.com;www.cofrafiadeamigosdelesfabes.com;;;;;;;;;;La Cofradía de Amigos de les Fabes del Principado de Asturias, se funda en Villaviciosa el día 26 de Noviembre de 2013.;"La Cofradía, que carece de ánimo de lucro, se define como "Cofradía de Amigos de les Fabes del Principado de Asturias" para su defensa, consumo y disfrute, así como para la promoción de todos los ritos y costumbres que en su honor se celebren, especialmente las vinculadas a las Jornadas Culturales y Gastronomicas de les Fabes, que anualmente se desarrollan en el Municipio de Villaviciosa". Las actividades realizadas en el 2015 han sido realmente intensas, comenzando por la asistencia al Capitulo de la Cofradía de los Nabos en Morcin y terminando asistiendo a la del Centollo Larpeiro en El Grove (Pontevedra) en donde nos hermanamos con aquella Cofradía, incluyendo en el menú un aperitivo de "Fabes con Centollo" que resultó un plato exquisito.  El Proyecto mas importante de la Cofradía que es el de la  Plantación Piloto de FABES de  una hectárea y la Escuela de cultivo de FABES, en cuya primera promoción pretendemos dar cabida a 12 alumnos, se encuentra a la espera de que el LEADER, ponga en marcha las ayudas Comunitarias, que se calculan estarán dispuestas y repartidas en los meses de Agosto/Septiembre. Tenemos para este fin, todo el apoyo y colaboración de nuestra Alcaldía.    ;;;;;;;43.478598,5.433230;/documents/39908/66480/Cofradia_de_las_Fabas.jpg/834dbddf-d864-43ba-892b-15a28c6cd91f?t=1674194861792,/documents/39908/66480/Cofradia_de_las_Fabas_1.jpg/d69e55a5-80d6-87fb-f995-805c37aa6910?t=1674194862402,/documents/39908/66480/Cofradias_de_las_Fabas_2.jpg/a163acd0-82e1-dbd6-fc80-db71c8945259?t=1674194863048,/documents/39908/66480/Cofradias_de_las_Fabas_3.jpg/309a8452-dba6-49da-c531-71a7e096d5c2?t=1674194863935;Cofradía de Amigos de les Fabes del Principado de Asturias,Cofradía de Amigos de les Fabes del Principado de Asturias,Cofradía de Amigos de les Fabes del Principado de Asturias,Cofradía de Amigos de les Fabes del Principado de Asturias;,,,
Buena Cofradía de los Siceratores de Asturias;Nava;Oriente de Asturias;;679 410 300 / 684 613 142;siceratores@gmail.com;;;https://www.facebook.com/siceratores;;;;;;;;La Buena Cofradía de los Siceratores de Asturias, nace en Nava el 7 de marzo de 2013, con la intención de promocionar la sidra asturiana por todos los rincones del mundo y atraer la visita del resto de Cofradías Gastronómicas, al menos una vez al año, a la Villa de la Sidra, o a cualquier otro concejo donde se puede desarrollar nuestro Gran Capítulo;La Buena Cofradía de los Siceratores de Asturias, nace en Nava el 7 de marzo de 2013, con la intención de promocionar la sidra asturiana por todos los rincones del mundo y atraer la visita del resto de Cofradías Gastronómicas, al menos una vez al año, a la Villa de la Sidra, o a cualquier otro concejo donde se puede desarrollar nuestro Gran Capítulo. La Cofradía la componen en la actualidad 25 siceratores de número, de los cuales tres, son personas jurídicas (las asociaciones: Gascona Bulevar de la Sidra de Oviedo, Barrio de la Sidra de Gijón y La Puente Arriba de Nava), otra es un niño naveto (siceratorín de la Sidra'l duernu) y el resto de socios son, desde: hosteleros, cocineros, escanciadores, funcionarios, artistas, profesores, periodistas, autónomos o jubilados. Cualquier persona puede pertenecer a la Cofradía como Sicerator de número siempre que cumpla los siguientes requisitos: - Ser amante de la sidra asturiana - No ostentar ningún cargo político  - Ser industrial del sector No impidiendo estas condiciones que puedan ser nombrados Siceratores de: Honor, Mérito, Colaboradores de la Comunicación o Embajadores. La Buena Cofradía de los Siceratores de Asturias, aunque tiene su sede en Nava, la compone gente de todo el territorio asturiano, e incluso de fuera, y desarrolla sus actividades por toda la región, participando en presentaciones públicas o privadas de promoción y fomento de cualquier producto derivado de la manzana que se realice en Asturias, como por ejemplo las presentaciones anuales de las cosechas de Sidra de Asturias con Denominación de Origen Protegida, o Sidra de cosecha de manzana seleccionada.    ;;;;;;;43.358764,-5.508228;/documents/39908/66486/Buena_Cofradia_de_los_Siceratores_de_Asturias_3.jpg/a39f3754-467d-3079-ad5d-c92a9e548587?t=1674194871015,/documents/39908/66486/Buena_Cofradia_de_los_Siceratores_de_Asturias_2.jpg/ba7bd9c3-c990-178f-f7f9-7b47262ff8d7?t=1674194870426,/documents/39908/66486/Buena_Cofradia_de_los_Siceratores_de_Asturias_1.jpg/efbe21b9-6fec-6dfb-ad34-664014e63934?t=1674194869615,/documents/39908/66486/Buena_Cofradia_de_los_Siceratores_de_Asturias.jpg/1b52fe1c-1106-ec82-8a27-c701f15b4935?t=1674194868999;Buena Cofradía de los Siceratores de Asturias,Buena Cofradía de los Siceratores de Asturias,Buena Cofradía de los Siceratores de Asturias,Buena Cofradía de los Siceratores de Asturias;,,,
Orden de los Caballeros del Sabadiego;Noreña;Centro de Asturias;;626 140 525;;;;;;;;;;;;Fue el veinticinco de abril de 1988, festividad de San Marcos,  cuando un grupo de jóvenes noreñenses formaron la Asociación Cultural "Caballeros de la Orden del Sabadiego" con el fin de dinamizar la cultura noreñense.;Ellos vienen realizando  hermanamientos con otras localidades españolas como Burgo de Osma en Soria, Guijuelo en Salamanca, Burgos, Lalín en Pontevedra, etc. además de rescatar el embutido sabadiego que había desaparecido de las fabricas noreñenses. Esta Orden cuenta con numerosas distinciones  y reconocimientos, los más importantes el de "Mejor Cofradía Española" en el año 2007 en el Congreso de la Federación de Cofradías Gastronómicas y Báquicas" celebrado en la localidad salmantina de Guijuelo, Antena de Oro de la Radio y Tv. De España, Mejor Labor de Relaciones Públicas, Embajadores de Asturianía, Llave de Oro de la Villa de Candelario, etc. La numerosas actividades que la Orden viene realizando se multiplican cada año con la concesión de premios periodísticos a Tico Medina, Concha García Campoy, Juan Ramón Lucas, Lorenzo Díaz, María Jesús Gil de Antuñano, José Carlos Capel, Isabel San Sebastián, José Manuel Vilabella,,  edición de libros sobre la historia local, promociones y hermanamientos con otros pueblos chacineros, fomento de los cocidos del Camino de Santiago, nombramientos de Chacineros Mayores del Condado en las fiestas de San Marcos, patrono de la industria cárnica local, eventos que gozan con la denominación de Fiestas de Interés Turístico Regional desde 1997.;;;;;;;43.394151,-5.706607;/documents/39908/66453/Sabadiego.jpg/3c69b715-43c0-7851-e4c9-66a8defb3d03?t=1674194829522,/documents/39908/66453/Sabadiego_1.jpg/b4ee759c-495a-369a-dbce-65feef543c8c?t=1674194830150,/documents/39908/66453/Sabadiego_2.jpg/43282378-4918-fdd7-848b-e232890fea51?t=1674194831088,/documents/39908/66453/Sabadiego_3.jpg/f379c37c-3f17-5c0b-e5e8-5c92e1bd2918?t=1674194831735;Orden de los Caballeros del Sabadiego,Orden de los Caballeros del Sabadiego,Orden de los Caballeros del Sabadiego,Orden de los Caballeros del Sabadiego;,,,
Quesería Quesos de Taramundi;Taramundi;Occidente de Asturias;Parque de Empresas Artesanales de Taramundi. 33775. Taramundi;608 189 961;info@quesosdetaramundi.com;https://www.quesosdetaramundi.com/;;https://www.facebook.com/QuesoDeTaramundi/;;;;;;;;En Taramundi, locaidad pionera del turismo rural en el Principado, se encuentra la quesería dedicada a la elaboración de quesos y productos lácteos.;Hemos recuperado, siguiendo la tradición, las formas y métodos para la elaboración del queso y por ello hemos creado una gama de quesos artesanos asturianos que no puedes pasar sin probar. Elaboramos cinco variedades: queso con nueces y avellanas, queso semicurado (con leche de cabra y vaca), queso de cabra, queso oreado (fresco con leche de vaca), queso azul (con leche de vaca) y requesón natural (con receta de la abuela). Durante la visita se puede ver el proceso de elaboración del queso (perfectamente explicado) a continuación se pasa a una degustación y quién quiera puede incluso comprarlos… ;Julio y agosto:  Lunes a viernes: 9:00 a 20:00 h. Sábado: 11:00 a 14:00 h. Resto del año:  Lunes a viernes: 9:00 a 17:00 h.;Gratuito;Sí Reservas: 608 189 961 / info@quesosdetaramundi.com;Queso con nueces y avellanas Queso mezcla (cabra y vaca) Queso azul de vaca Quedo cabra Queso tierno;;;43.360845,-7.116433;/documents/39908/65979/2021-taramundi+%281%29.jpg/b875edab-5c93-bbc7-54d3-4cfad80d3259?t=1674194258418,/documents/39908/65979/2021-taramundi+%283%29.jpg/d184dd66-300e-9855-f622-499c8ce92fa5?t=1674194259612,/documents/39908/65979/2021-taramundi+%282%29.jpg/7d9f9608-e3e4-056b-1f69-8367dcac13de?t=1674194259043,/documents/39908/65979/2021-taramundi+%284%29.jpg/1433295a-4be4-c740-c598-4cdd33bdca3c?t=1674194260195;Quesos de Taramundi,Quesos de Taramundi,Quesos de Taramundi,Quesos de Taramundi;,,,
