Nombre;Zona;Tipo;Municipio;Localidad;Días;Email;Web;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Descripción Corta;Descripción;Coordenadas;Slide;Título;Url
Antroxu en Gijón;Centro de Asturias;Fiesta de interés turístico del Principado de Asturias;Gijón;Gijón/Xixón;Febrero (9 a 13);;;;;;;;;;;O la ciudad que se disfraza;El pueblo gijonés es antroxero por naturaleza y se vuelca con el carnaval. En esta ciudad el carnaval es una especie de religión, de rito socialmente tan interiorizado que los ciudadanos gijoneses no se conciben en modo alguno al margen de esta gran cita festiva. La participación es masiva y las principales calles gijonesas, teniendo como centro neurálgico el céntrico paseo de Begoña con su emblemático Teatro Jovellanos, así como el barrio de pescadores, el puerto deportivo, o el muro de San Lorenzo, entre otras zonas, se ven literalmente inundados por la "furia" carnavalesca, que alcanza su cénit en el gran desfile del lunes, y remata la fiesta con el Entierro de la Sardina. Y está claro que Gijón/Xixón es una ciudad apasionada por naturaleza y el Antroxu le viene como anillo al dedo. Bueno, hasta tal punto se desata la pasión que el mismísimo Rey Pelayo, que se alza majestuoso sobre la plaza del Marqués divisando el horizonte marino, se contagia de la magia y la fantasía del carnaval… Las fechas del Carnaval o Antroxu son variables cada año en función del calendario cristiano. Más información;43.538554, -5.661207;/documents/39908/63381/fit_antroxu_gijon1.jpg/44477b07-ae68-ece4-d99f-b5c09d2fb9af?t=1674191222172;Antroxu Gijón;
Torneo "Tenis-Playa";Centro de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Gozón;Luanco;Julio (16 a 19);;;;;;;;;;;Este evento deportivo, turístico y cultural celebrado en Lluanco/Luanco es una de las grandes citas estivales en esta bella villa marinera donde el tenis tiene gran arraigo y tradición;El Torneo Tenis Playa Luanco es un evento deportivo y cultural que se celebra en Lluanco/Luanco, capital del concejo de Gozón. Su intensa historia se remonta a los primeros años 70 del siglo XX, y desde entonces, aunque con algunas interrupciones, ha venido celebrándose en la playa de La Ribera, siendo el único torneo de tenis de exhibición que se organiza sobre la arena de una playa durante la bajamar. En la playa se instalan gradas con un aforo que supera las 2000 personas, y ello unido a las condiciones naturales del entorno, hace que dicho aforo pueda alcanzar casi 3000 espectadores. Asimismo, el recinto cuenta con luz artificial para que los partidos se puedan disputar por las noches. El torneo Tenis Playa Luanco tiene gran prestigio en el ámbito tenístico, tanto a nivel nacional e internacional, y ello, unido a sus característicos singulares, posiciona la Villa de Lluanco/Luanco como una auténtica meca del deporte. El animado y lúdico ambiente que rodea el evento es el broche perfecto para esta Fiesta de Interés Turístico del Principado de Asturias. Más información;43.614181, -5.791665;/documents/39908/63588/Tenis1.jpg/22209cd0-4011-b7c1-69bf-8a775280dfdf?t=1674191473604,/documents/39908/63588/Tenis2.jpg/ad020822-fd0c-f7a5-b09e-44b210d87729?t=1674191474206,/documents/39908/63588/Tenis3.jpg/97c6aa7c-ef39-71c1-2f14-b5577f467697?t=1674191474799,/documents/39908/63588/Tenis4.jpg/006187b2-8a13-2a66-d8ca-026b4917f3b7?t=1674191475468;Torneo Tenis-Playa,Torneo Tenis-Playa,Torneo Tenis-Playa,Torneo Tenis-Playa;,,,
Procesión Marinera de San Juan;Centro de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Soto del Barco;L´Arena;24 Junio;;;;;;;;;;;Procesión marinera de San Juan en L'Arena, la bendición del Cantábrico;Esta original y singular procesión tiene lugar el 24 de junio, día de la festividad de San Juan. El acto central, de tradición centenaria, discurre por las calles más céntricas de la villa marinera de L'Arena, que en esa fecha están a rebosar de ambiente y alegría. Uno de los momentos más emotivos de esta procesión es la bendición de las aguas del Cantábrico con motivo del inicio de la costera del bonito. En ese instante los marineros que portan a San Juan, San Telmo y la Virgen del Carmen se acercan al puerto para que el sacerdote proceda a la bendición de las aguas. La procesión se hace acompañar de los sones de bandas de gaitas y de los niños que hayan celebrado este año su Primera Comunión, y se diferencia de otras procesiones marineras en que todas las personas que participan en la misma van ataviadas con el uniforme de verano de la Armada, hecho que hunde sus raíces en una antigua tradición y que le da un aire muy distinto a esta fiesta. Asimismo la belleza de L'Arena y del entorno de la ría del Nalón y la playa de los Quebrantos completan un cuadro magnífico para esta celebración. Más información;43.556691, -6.076393;/documents/39908/63366/Procesi%C3%B3n_Marinera_de_San_Juan.jpg/e4196729-d0f6-e6ad-785e-c7cb0f4ad108?t=1674191204479,/documents/39908/63366/Procesi%C3%B3n_Marinera_de_San_Juan_1.jpg/45feb6e7-f788-851b-d3d2-b923f2389e34?t=1674191205093,/documents/39908/63366/Procesi%C3%B3n_Marinera_de_San_Juan_3.jpg/006b4e72-7dc4-981a-418e-21561bb60c79?t=1674191206317,/documents/39908/63366/Procesi%C3%B3n_Marinera_de_San_Juan_2.jpg/05c50270-f021-b220-74c4-7a34a32a44ef?t=1674191205660;Procesión marinera de San Juan,Procesión marinera de San Juan,Procesión marinera de San Juan,Procesión marinera de San Juan;,,,
Rally "Princesa de Asturias";Asturias;Fiesta de Interés Turístico Nacional;Varios municipios;Varias localidades;Septiembre (5 a 7);;;;;;;;;;;Rally "Princesa de Asturias", un itinerario de lujo;El Rally "Princesa de Asturias", que se celebra desde hace más de 50 años y es una de las pruebas más antiguas de España, tiene lugar en la primera quincena de septiembre. El Rally concentra a miles de personas, que siguen los distintos tramos por diferentes concejos de Asturias. Si te gusta el deporte del motor, y quieres disfrutarlo en incomparables rutas y marcos naturales, el Rally Princesa de Asturias es una de las citas que no te puedes perder. Al atractivo de la prueba en sí, hay que sumar el ambiente, los parajes, la gastronomía de calidad y el sinfín de descubrimientos personales que harás siguiendo el itinerario del Rally, que en cada edición plantea novedades. Más información;;/documents/39908/63441/Rallye_Princesa_de_Asturias.jpg/81632e7d-592d-f9fa-ad90-32c73f175bc0?t=1674191295038,/documents/39908/63441/Rallye_Princesa_de_Asturias_2.jpg/93917594-cf52-fff0-c1e2-804c6b66f0f0?t=1674191296233,/documents/39908/63441/Rallye_Princesa_de_Asturias_1.jpg/e5fe8077-825a-ed56-6dfd-0ed864ebd698?t=1674191295594,/documents/39908/63441/Rallye_Princesa_de_Asturias_3.jpg/e509fd19-4e48-f395-8174-c81a369d0f72?t=1674191297261;Rally Princesa de Asturias,Rally Princesa de Asturias,Rally Princesa de Asturias,Rally Princesa de Asturias;,,,
Fiesta del Picadillo y El Sabadiego;Centro de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Noreña;Noreña;Lunes más próximo al 25 de abril (San Marcos);;;;;;;;;;;Fiesta del Picadillo y El Sabadiego en Noreña o la juerga más chacinera;Noreña es la capital chacinera de Asturias, con gran tradición en la elaboración de productos cárnicos y de una manera especial de aquellos que derivan del cerdo. No en vano este aprovechado animal tiene un monumento en pleno centro histórico de esta villa de monumental aspecto. Las calles, chigres y restaurantes de Noreña sacan a relucir lo mejor de sus cocinas y de sus gentes para conmemorar por todo lo alto este sentido y gastronómico homenaje a dos de los productos que más juego dan en su saber y tradición culinaria. Tanto el picadillo de Noreña como el sabadiego son únicos en el mundo y esto bien lo saben explicar los miembros de la Orden del Sabadiego, que también tiene un merecido protagonismo en esta fiesta. Para acompañar la rica gastronomía hay todo un completo programa de música, conciertos y otras actividades culturales que animan la villa sin cesar. Más información;43.393705, -5.708014;/documents/39908/63510/Fiestas_de_el_Picadillo_y_el_Sabadiego_3.jpg/c677b0a9-c8cb-8fc5-0588-4aef35f4f9b4?t=1674191389611,/documents/39908/63510/Fiestas_de_el_Picadillo_y_el_Sabadiego.jpg/35756f42-620c-bb64-ff4a-fe90c51f2e6c?t=1674191387527,/documents/39908/63510/Fiestas_de_el_Picadillo_y_el_Sabadiego_2.jpg/ba1bb58e-5dca-ea71-88d4-afb128dddf91?t=1674191388958,/documents/39908/63510/Fiestas_de_el_Picadillo_y_el_Sabadiego_1.jpg/f357fe68-1158-e49f-4e46-e1803e95cfec?t=1674191388392;Noreña,Noreña,Noreña,Noreña;,,,
Fiesta del Bollu;Oriente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Parres;Arriondas/Les Arriondes;Julio (27 a 29);;;;;;;;;;;Fiesta del Bollu: ¡Viva la Peruyal!;La fiesta del Bollu, también conocida como La Peruyal, se celebra en Arriondas/Les Arriondes, la capital del concejo de Parres. Esta fiesta, que data de la primera mitad del siglo XX, representa la esencia de una gran  romería asturiana, en la que reina el ambiente típico asturiano, y donde el bollu preñao (bollo relleno de chorizo) y la sidra le dan un toque muy animado a la celebración. El desfile de carrozas es otra de las notas distintivas de una fiesta, donde la alegría desborda todos los rincones, incluido el histórico barrio de La Peruyal, epicentro de esta fiesta. Además, es el preludio perfecto de la Fiesta de las Piraguas, que tiene lugar a los pocos días. Más información;43.385528, -5.218054;/documents/39908/63522/Fit_Peruyal2.jpg/70e81a92-ea3b-a193-573e-fa7973bba137?t=1674191405799,/documents/39908/63522/Fit_Peruyal1.jpg/d2b814aa-a2af-a80c-96d9-ad9de68185dc?t=1674191404135;Fiesta del Bollu,Fiesta del Bollu;,
Fiesta de los Nabos;Centro de Asturias;Fiesta de Interés Turístico del Principado de Asturias;San Martín del Rey Aurelio;Sotrondio;11 Noviembre;;;;;;;;;;;Fiesta de los Nabos en Sotrondio, un momento de sabores ancestrales;La localidad de Sotrondio en San Martín del Rey Aurelio es el acogedor escenario de la Fiesta de los Nabos. Esta original fiesta gastronómica exhibe el potencial de tradición culinaria y capacidad creativa en el corazón del Valle del Nalón. En pocos lugares de Asturias se degusta un pote de nabos tan sabroso y sano como el que sale de los fogones sotrondinos durante los días que dura la fiesta. La celebración coincide con la festividad de San Martín de Tours, patrono del municipio, y los actos principales son la misa solemne, la puya' l ramu, los pasacalles de gaita y tambor, las danzas tradicionales y por supuesto la entrega del Nabu de Oro, que se concede cada año a una destacada personalidad. El día grande de la fiesta es, por tanto, el 11 de noviembre, y tanto en esa jornada como el resto de los días de festejo los restaurantes, sidrerías y casas de comidas de Sotrondio ofrecen el tradicional menú de los nabos, que suele acompañarse de un segundo plato de callos y de postre, un dulce típico que suelen ser casadielles, fayuelos o arroz con leche… ¡Todo un menú para valientes! El pote de nabos, protagonizado por esta suculenta hortaliza, se prepara con un buen "compango", y así adquiere el plato la consistencia necesaria para combatir el frío propio de la época. Aunque no se sabe a ciencia cierta el origen de semejante y original tradición, hay una leyenda que dice fue el rey Aurelio de la monarquía asturiana, allá por el año 774, quien dio lugar a semejante tradición al poner la capital del reino en este municipio, y ser por entonces los nabos un apreciado tubérculo en los hábitos culinarios de entonces. ¡Gastronomía y leyenda se unen en la Fiesta de los Nabos! Más información;43.274430, -5.607220;/documents/39908/63405/Fiesta_de_los_Nabos_1.jpg/d4ada746-366d-8dfd-6957-103cb7634268?t=1674191250144,/documents/39908/63405/Fiesta_de_los_Nabos.jpg/ace379df-563b-63f1-6590-4410701ca148?t=1674191249563,/documents/39908/63405/Fiesta_de_los_Nabos_3.jpg/c9d1522f-8887-98bf-b4ea-fd6544566547?t=1674191252340,/documents/39908/63405/Fiesta_de_los_Nabos_2.jpg/0f1a1265-519c-7c0e-1234-2daec36e0f38?t=1674191250854;Pote de nabos,Pote de nabos,Pote de nabos,Pote de nabos;,,,
Travesía Internacional de la Costa Naviega;Occidente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Navia;Navia;16 Junio;;;;;;;;;;;La actividad principal de esta fiesta consiste en una marcha deportiva al aire libre. Al mismo tiempo se realizan proyecciones y concurso de fotografía, así como actuaciones musicales y celebración con baile;Ya en su segunda edición, esta marcha popular adquirió la categoría de internacional, y partir de la tercera se convirtió en la ocasión perfecta para una aproximación a las muchas opciones turísticas y de ocio que ofrece el concejo naviego. Además, debido a la masiva asistencia entró en el libro Guinness de los récords, donde se valoró su notable participación y singularidad. La Travesía Internacional de la Costa Naviega transcurre por parajes de gran belleza, entre los que destacan playas como Barayo y Frexulfe, y villas marineras como Puerto de Vega. Con una participación media de 2000 personas - llegando algún año a los 4000 inscritos -, atrae anualmente a miles de personas de dentro y fuera de Asturias. Asimismo, el atractivo recorrido de la marcha hace que esta prueba sea un referente en el ámbito de la práctica del senderismo. Tanto es así que muchos colectivos de otras comunidades como Galicia, León, Cantabria o Madrid se apuntan encantados a esta Travesía, que capta también la atención de participantes de otros países como Argentina, Méjico o Portugal. La fecha de celebración de la Travesía Internacional Costa Naviega es habitualmente el segundo o tercer domingo de junio. Más información;43.558461,-6.675290;/documents/39908/63519/Traves%C3%ADa+Internacional+de+la+Costa+Naviega+%286%29.jpg/7f0ced73-d8bc-dd3e-23ec-45b70a4f0aa0?t=1674191401454,/documents/39908/63519/Traves%C3%ADa+Internacional+de+la+Costa+Naviega+%285%29.jpg/f858fa07-03f5-c05f-43c5-14930e67fe50?t=1674191400802,/documents/39908/63519/Traves%C3%ADa+Internacional+de+la+Costa+Naviega+%282%29.jpg/8c8c34f4-9a83-f676-004f-7dbeed434c11?t=1674191398844,/documents/39908/63519/Traves%C3%ADa+Internacional+de+la+Costa+Naviega+%288%29.jpg/7382d6b0-8de8-6eb5-54f5-65b92dc3899e?t=1674191402838;Travesía Naviega 1,Travesía Naviega 2,Travesía Naviega 3,Travesía Naviega 4;,,,
Carreras de Caballos de la Playa de Ribadesella;Oriente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Ribadesella;Ribadesella/Ribeseya;Marzo (29);info@ribadesella.es;https://www.ribadesella.es;;;;;;;;;La playa de Santa Marina, en Ribadesella/Ribeseya, se convierte cada año en un hipódromo natural de inmenso atractivo para los miles de aficionados y turistas que se acercan hasta allí para sentir y disfrutar la fuerza y belleza de las Carreras de Caballos, que se celebran durante la Semana Santa;El entorno de esta playa urbana riosellana es realmente espectacular. Un conjunto de edificaciones de arquitectura indiana, representativas de toda una época de la historia asturiana, jalonan el paseo marítimo. Además, la capilla de la Virgen de Guía hacia el este, y los acantilados de la Punta'l Pozu al otro - con sus huellas de dinosaurio - completan un conjunto paisajístico muy llamativo. Y es en este escenario donde las Carreras de Caballos ponen su nota de plasticidad y deporte. Precisamente, este acontecimiento deportivo aúna emoción, buen ambiente, y un paisaje de gran hermosura, a la par que significa una aproximación al mundo de los caballos de carreras. De manera que todas estas razones hacen de este evento una opción de ocio diferente e interesante en el incomparable marco de la villa marinera de Ribadesella/Ribeseya. Más información;43.466347,-5.064586;/documents/39908/63468/Carreras_de_caballos_2023_%281%29.jpg/248c02de-0edf-0807-448c-5cb10b117bfe?t=1700125934037,/documents/39908/63468/Carreras_de_caballos_2023_%282%29.jpg/d2e395dd-67d4-0b86-c5a2-afb18684c33e?t=1700125936309,/documents/39908/63468/caballos-ribadesella.jpg/7eb8b753-515d-6f7c-bcd5-dd765f761449?t=1674191325102,/documents/39908/67437/carrera-caballos-ribadesella.jpg/13ac312e-27e3-d5b8-48d0-635f52d8feba?t=1674196212644,/documents/39908/63468/playa_santa-Marina-1.jpg/a0cf6ecb-2bbd-9cd6-1ae4-4dc297729bb1?t=1674191326806;Carreras de Caballos en la Playa de Santa Marina,Carreras de Caballos en la Playa de Santa Marina,Carreras de Caballos en la Playa de Santa Marina,Carreras de Caballos en la Playa de Santa Marina,Playa de Santa Marina en Ribadesella/Ribeseya;,,,,
Nuestra Señora del Rosario;Occidente de Asturias;Fiesta de interés turístico nacional del Principado de Asturias;Valdés;Luarca/??uarca;15 Agosto;;;;;;;;;;;Nuestra Señora del Rosario en Luarca/??uarca, perfecto ejemplo de una virgen marinera en el occidente asturiano;El Día Grande de esta fiesta es el gran día festivo por excelencia en el verano asturiano: el 15 de agosto. La Virgen del Rosario encarna la virgen marinera, y ello queda patente con la procesión en la que su imagen navega en un barco engalanado para la ocasión, al que acompañan otros igualmente engalanados. La procesión, que comienza con una descarga de cohetes, se convierte en un homenaje que combina la devoción a la virgen con el recuerdo a los pescadores fallecidos en la mar. Todos los barcos hacen sonar sus sirenas y lanzan ramos y coronas de flores al mar Cantábrico como sentida y emotiva evocación a los ausentes. Las jornadas festivas se completan con multitud de actividades lúdicas, deportivas, culturales y tradicionales vinculadas a la mar, a la música y el baile, y la cultura, pensadas para niños y adultos. Luarca/??uarca, la capital del concejo de Valdés, se convierte en esos días en un auténtico y cálido destino festivo en la costa occidental de Asturias. Más información;43.546445, -6.533615;/documents/39908/63444/rosario.jpg/d424179a-6970-a414-fe07-4332c74c5b1b?t=1674191298171,;Nuestra Señora del Rosario,Nuestra Señora del Rosario;,https://www.youtube.com/watch?v=cSxihYcofqg
Primer Desembarco de Carlos V;Oriente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Villaviciosa;Tazones;Agosto (24 y 25);;;;;;;;;;;Primer desembarco de Carlos V en Tazones, una verdadera odisea real;Un 19 de setiembre de 1517, el joven príncipe Carlos de Habsburgo, que llegaría a ser el emperador Carlos V y el hombre más poderoso de la tierra en aquella época, desembarcó en Tazones con su corte, sin que estuviera previsto y empujado por las malas condiciones de la mar en ese momento. El joven flamenco, hijo de Juana la Loca y Felipe el Hermoso, tuvo un singular recibimiento por parte de aquel humilde pueblo de pescadores que era hace quinientos años esta villa marinera. Al principio lo confundieron con un pirata… Una vez identificada su Real presencia todo cambió, y los vecinos se volcaron en atenciones con el joven emperador, que quedó prendado de la hospitalidad de las gentes y la belleza de la tierra a la que había arribado. Enseguida, tan casual e inesperada llegada se convirtió en una fiesta… Como no había lugar para alojar a tantas gentes nobles, el emperador decidió quedarse en Villaviciosa, donde permaneció durante tres días. Esta curiosa anécdota ha dado lugar al Fiesta del Desembarco de Carlos V - celebrada desde hace varias décadas -, que se desarrolla en una primera jornada en Tazones y al día siguiente en Villaviciosa, y que cuenta con gran participación popular, y muchas personas se visten de época, y cientos de visitantes observan con atención toda la histórica escena. Un evento que ha hecho merecedor al municipio de Villaviciosa de ser integrado en el Itinerario Cultural del Consejo de Europa de las "Rutas Europeas del Emperador Carlos V". Más información;43.545284, -5.399621;/documents/39908/63504/TAZONES+297_MG_8016+%C2%A9+dacarfotografos.jpg/4d7291ad-ecaa-e9e5-57b7-5534f7fa2f22?t=1674191374226,/documents/39908/63504/TAZONES%C2%A9+dacarfotografos.jpg/f8ec11f2-9d6f-fffc-5519-49afab743949?t=1674191374977,/documents/39908/63504/VILLAVICIOSA514_Carlos+V+2015_dacarfotografos_MG_4250.jpg/2367d2c2-4e47-789e-9d7c-bb174b615bc5?t=1674191377329,/documents/39908/63504/Primer_Desembarco_de_Carlos_V.jpg/7745c534-60cb-76e5-e09d-ac96c5a4c945?t=1674191381874;Desembarco de Carlos V,Desembarco de Carlos V,Desembarco de Carlos V,Desembarco de Carlos V;,,,
Noche Mágica y Festival Esfoyón y Amagüestu;Occidente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Tineo;Navelgas;9 Noviembre;;;;;;;;;;;Noche Mágica y Festival Esfoyón y Amagüestu en Navelgas, un espacio de tradiciones muy divertidas;Navelgas es un pueblo del concejo de Tineo, en el que corazón más occidental de Asturias, que encarna de alguna manera el ambiente más tradicional y mágico de las aldeas asturianas. Por eso no es casualidad que allí se celebre una de las fiestas más genuinas sobre las tradiciones rurales de Asturias vinculadas al otoño. El Festival del Esfoyón y el Amagosto retrata con gran realismo y exactitud los "esfoyones" de antaño, en los que los vecinos del pueblo se juntaban en una casa para deshojar o "esfoyar" el maíz de esa familia, y para ayudarlos posteriormente a enristrarlo y colgarlo de los corredores. Estas reuniones eran todo un acontecimiento social, donde personas de todas las edades departían amigablemente, y también cantaban, aprovechando los más jóvenes para cortejar. La "esfoyaza" se convertía en una gran celebración, donde además se contaban cuentos, leyendas y tradiciones, pues el trabajo no restaba energías para la "folixa" y los cantares. Actualmente la fiesta del Esfoyón comienza al oscurecer en el barrio de Navelgas de Arriba, que está completamente engalanado para la ocasión. Las calles se cubren de paja y se iluminan con antorchas, y todos los vecinos del pueblo se visten con ropajes antiguos, y preparan buenas viandas - frixuelos, castañas, tortas de maíz, bollos preñaos, manteca recién desnatada, etc. -. Además bajo las paneras y en las cuadras se ubican los distintos artesanos – madreñeros, cesteiros, ferreros, etc.- que hacen demostraciones de su trabajo. Mientras los más jóvenes van repartiendo la "garutsa", es decir, anís de guindas casero, orujo y bebidas que ayudan a quitar el frío de noviembre, pues esta fiesta siempre se celebra en la primera quincena de este mes. A lo largo de la noche se entrega la panoya de oro a una personalidad destacada en su apoyo a la fiesta y a las tradiciones. Este festival es sin duda una ocasión ideal para viajar a lo más auténtico de las tradiciones rurales asturianas. Más información;43.403867, -6.543256;/documents/39908/63546/Noche_Magica_y_Festival_Esfoyon_y_Amaguestu.jpg/ad45e414-e686-d6ad-c44b-6b7bebe442c4?t=1674191427762,/documents/39908/63546/Noche_Magica_y_Festival_Esfoyon_y_Amaguestu_1.jpg/9e4734e7-fa7b-8dea-58ae-5b543d6b04b4?t=1674191428542,/documents/39908/63546/Noche_Magica_y_Festival_Esfoyon_y_Amaguestu_2.jpg/7abc7fd3-4538-35c9-489a-059f8e023c31?t=1674191429135,/documents/39908/63546/Noche_Magica_y_Festival_Esfoyon_y_Amaguestu_3.jpg/31b84ab0-db53-a13a-c11b-16d79258ec8b?t=1674191429787;Esfoyaza,Esfoyaza,Esfoyaza,Esfoyaza;,,,
Festividad de Nuestra Señora del Cébrano;Centro de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Teverga;Carrea;15 Agosto;;;;;;;;;;;Nuestra Señora del Cébrano en Teverga, a los pies de Peña Sobia;La Virgen del Cébrano es la patrona de Teverga, y por esta razón este Santuario tiene una gran importancia devocional e histórica. Cada 15 de agosto tiene lugar en Carrea esta festividad, que convoca a cientos de personas de año en año, tanto propios como foráneos. El Santuario tiene una notable historia, y especialmente su presbiterio es muy antiguo, ya que está datado en pleno apogeo del arte prerrománico, en torno a los siglos IX y X. Además el emplazamiento del mismo, a los pies de la gran Peña Sobia, es de una belleza singular. Se trata de una fiesta típicamente asturiana, en la que los vecinos, tradicionalmente muy amables y hospitalarios, tiran literalmente la casa por la ventana, en pleno mes de agosto. Más información;43.145495, -6.070445;/documents/39908/63528/fit_ntra_sra_cebrano_1.jpg/a0fc9b88-f2ac-3a2d-efd5-038e8f895581?t=1674191412583;Nuestra Señora del Cébrano;
Campeonato Nacional de Bateo del Oro;Occidente;Fiesta de Interés Turístico del Principado de Asturias;Tineo;Navelgas;Julio (26, 27 y 28);;http://navelgasoro.com;;;;;;;;;Campeonato de bateo de oro en Navelgas, cuando sí es oro todo lo que reluce;Navelgas es un pueblo típico del occidente asturiano, concretamente del concejo de Tineo, muy conocido en el mundo entero por ser una de las referencias europeas del bateo de oro. La tradición del oro en la zona se remonta a la época romana, cuando este imperio explotaba las riquezas auríferas del subsuelo astur. Desde entonces hasta ahora muchos siglos han transcurrido pero en Navelgas continúa viva la tradición del oro, existiendo un Museo del Oro en el propio pueblo. Como cada año el Campeonato Nacional de Bateo del Oro contará con una gran afluencia de espectadores, y todo amenizado con desfiles, pasacalles, gaitas, y por supuesto buena gastronomía, y ambiente de gran hospitalidad. Más información;43.403775, -6.543253;/documents/39908/63474/fit_Bateo1.jpg/798b02c5-3604-be72-7372-bf60e819f53a?t=1674191332044,/documents/39908/63474/fit_Bateo2.jpg/0dec4b91-17a7-784d-04b3-dd41f03f5617?t=1674191332661,/documents/39908/63474/fit_bateo1.jpg/adb5930c-3abc-0958-6671-ca1b4cd1bb47?t=1674191333278,/documents/39908/63474/fit_bateo2.jpg/e45aa0fb-2163-d9f9-4cdf-c5213f3b7537?t=1674191333915;Bateo de oro,Bateo de oro,Bateo de oro,Bateo de oro;,,,
Festividad de La Ponte;Centro de Asturias;Fiesta de interés turístico del Principado de Asturias;Pravia;La Ponteveiga;Septiembre (10 y 11);;;;;;;;;;;La Festividad de La Ponte aúna antigüedad, identidad, sentido de la tradición, diversión a raudales y asturianía. Es todo un homenaje al devenir histórico en la Asturias rural.;La tradición popular sitúa el nacimiento de esta fiesta en los albores del siglo XVI, diferenciándose desde entonces del resto de las fiestas conocidas como "fiestas de prao" en que uno de los actos centrales de la misma es la única feria de ganado que se celebra en el concejo de Pravia y que además es una de las más antiguas de toda Asturias. También hay campeonato de Bolo Batiente, arrastre de bueyes, carrera de cintas a caballo y misa cantada en asturianu, acompañada de música de gaita. Una de las notas más llamativas de esta celebración es su fuerza para pervivir a lo largo del tiempo sobreponiéndose a todo tipo de vicisitudes y cambios sociales, y mostrando aún hoy toda la autenticidad y pureza de la Asturias más rural en medio de la incomparable belleza del Valle de Arango. Con el paso de los años y hasta hoy, La Ponte se organiza como una fiesta de todos y para todos. Más información;43.461892, -6.178608;/documents/39908/63501/LaPonte1.jpg/640f1d89-0dd7-3833-a194-0715308ce411?t=1674191370785,/documents/39908/63501/LaPonte2.jpg/4c817967-288d-88df-0378-add58b0a9be6?t=1674191371435,/documents/39908/63501/06150.jpg/f6172b06-65ec-5485-8793-a40fe801286d?t=1674191368257,/documents/39908/63501/LaPonte3.jpg/ac9161cd-ba07-7847-d2a7-7b475625d5d9?t=1674191372071;Festividad de La Ponte,Festividad de La Ponte,Mercado de ganado,Festividad de La Ponte;,,,
Jornadas Gastronómicas de la Llámpara;Oriente de Asturias;Fiestas Interés Turístico del Principado de Asturias;Villaviciosa;Quintes;Tercera semana de mayo;;;;;;;;;;;Las Jornadas Gastronómicas de la Llámpara en Quintes y Quintueles (Villaviciosa) suman ya más de treinta ediciones, y esto significa que son un clásico en el calendario festivo-gastronómico de Asturias;Cada año, en torno al mes de mayo, ambas localidades maliayas - Quintes y Quintueles - se vuelcan para organizar este evento culinario y lúdico, que implica a buena parte de la hostelería local. Durante varias jornadas los restaurantes, sidrerías y casas de comidas de la zona están a rebosar con sus sabrosos menús, en los que la llámpara (o lapa en castellano) es la reina de la mesa. Variadas recetas y maravillosos maridajes animan unas jornadas gastronómicas en una zona con gran tradición de cocina de la llámpara, dadas las características paisajísticas de una costa donde abundan los pedreros y acantilados. Además, la zona ofrece numerosos incentivos turísticos, además de su excelente cocina. Rutas, playas, bellas aldeas, interesante arquitectura civil y religiosa, etc. La primavera asturiana tiene uno de sus acontecimientos lúdicos más significativos en estas Jornadas Gastronómicas de la Llámpara, que además dan a conocer año tras año uno de los grandes manjares de la naturaleza asturiana, que en esta parte de la costa adquiere rango de excelencia. Más información;43.532507, -5.553577;/documents/39908/63453/llampares.jpg/41e13ed4-bdd7-e41e-3566-cbc99e5eb340?t=1674191306116,/documents/39908/63453/llamparas+%283%29.jpg/f75f5ed2-65a5-a056-6753-a30901946734?t=1674191308017,/documents/39908/63453/llamparas+%281%29.jpg/fc9812dd-8589-34f8-3915-0e195d92c304?t=1674191306768,/documents/39908/63453/llamparas+%282%29.jpg/9abf8314-94d2-1209-63ef-44640b087be2?t=1674191307387;Jornadas Gastronómicas de la Llámpara,Jornadas Gastronómicas de la Llámpara,Jornadas Gastronómicas de la Llámpara,Jornadas Gastronómicas de la Llámpara;,,,
