Nombre;Concejo;Zona;Plazas;Precio;EstanciaMaxima;Tipo;Acceso;FechaDeCierre;Servicios;Dirección;Teléfono;Email;Título;Descripcion;Coordenadas;Slide;Título;Url;Observacion;MasInformacion
Área autocaravanas de El Agüil (Salinas);Castrillón;Centro de Asturias;12;Gratuita;48 h.;Pública;Desde la N-632 tomar la salida 102 hacia Salinas. En la rotonda, seguir hacia Salinas/Playas y a unos 400, en la siguiente rotonda, primera salida a la derecha y a unos 100 m está el área.;;Pernocta posible Vaciado aguas grises Vaciado aguas negras Agua potable Gasolinera < 10 km Transporte público < 10 km Aparcamiento;C/ El Agüil, 17, 33405 Salinas;985 530 050;gema.gonzalez@castrillon.es;;;43.57047,-5.95865;/documents/39908/62178/FOTO-%C3%81REA-AUTOCARAVANAS-5.jpg/26b41ed4-5900-5c44-4860-9af9fcba02cd?t=1706602416206,/documents/39908/62178/FOTO-%C3%81REA-AUTOCARAVANAS-4.jpg/49348eff-9475-37b3-4f02-320031b52511?t=1706602413937,/documents/39908/62178/FOTO-%C3%81REA-CARAVANAS-3.jpg/28e1b77a-b444-1d72-b1cb-624eefa8846b?t=1706602420139,/documents/39908/62178/FOTO-%C3%81REACARAVANAS-2.jpg/2528ae0d-3b35-7591-2a46-8cc446a4d771?t=1706602418821,/documents/39908/62178/FOTO-%C3%81REA-CARAVANAS-1.jpg/75e76568-2de6-67ad-ef03-10dfe078eaaf?t=1706602417448;Área autocaravanas de El Agüil 1,Área autocaravanas de El Agüil 2,Área autocaravanas de El Agüil 3,Área autocaravanas de El Agüil 4,Área autocaravanas de El Agüil 5;,,,,;;
Área autocaravanas de Tapia de Casariego;Tapia de Casariego;Occidente de Asturias;55;Pernocta: 4€/día;48 h.;;Acceso a Tapia de Casariego por la autovía A-8, y por las carreteras N-634 y AS-23. El área está próxima a la playa de Anguileiro.;;Pernocta posible Agua potable Vaciado aguas grises  Vaciado aguas negras Servicios hostelería (próximo) Supermercado / tienda (próximo9 Gasolinera póxima <10km.  Zona Pic-nic (próximo) Wifi Transporte público (próximo) Piscina (próxima) Parking (próximo);Avda. San Esteban, esquina Avda. de la Playa, 17. 33740. Tapia;985 471 099;turismo@tapiadecasariego.com / turismotapia@hotmail,com;;;43.566667, -6.946111;/documents/39908/62280/2022-%C3%81rea+de+Playa+Grande-Tapia+%283%29.jpg/d9212e58-b21a-5b77-5415-9f3f71506020?t=1674188023903,/documents/39908/62280/2022-%C3%81rea+de+Playa+Grande-Tapia+%285%29.jpg/dbadc163-371d-e6d8-669d-69521bcca8ae?t=1674188025186,/documents/39908/62280/2022-%C3%81rea+de+Playa+Grande-Tapia+%281%29.jpg/6dac0dfc-e7f9-9a49-c6b4-e605c73cf364?t=1674188022544,/documents/39908/62280/2022-%C3%81rea+de+Playa+Grande-Tapia+%282%29.jpg/5f616fdf-2f0d-bc63-293f-18ae90457344?t=1674188023204;Área para autocaravanas de Playa Grande,Área para autocaravanas de Playa Grande,Área para autocaravanas de Playa Grande,Área para autocaravanas de Playa Grande;,,,;;
Área autocaravanas de Bárzana (Quirós);Quirós;Centro de Asturias;15;Gratuita;48 h.;Pública;Acceso a Bárzana por la carretera AS-229.;;Carga agua potable Vaciado aguas grises Vaciado aguas negras Servicios hostelería (próximos) Supermercado/tienda (próximos);El Felgueru. 33117. Bárzana;;;;;43.155833, -5.972778;/documents/39908/62241/museo-etnografico-de-quiros.jpg/a3de870e-5989-b132-5bed-a7f10d49ed25?t=1674187990052,/documents/39908/62241/iglesia-san-pedro-de-arrojo.jpg/084d3e6c-b92b-cae0-3cd4-bba639578a39?t=1674187989439,/documents/39908/62241/valle-de-bermiego.jpg/f7434d6f-60c9-eb8f-f3ea-ba6fcbc396ea?t=1674187991853,/documents/39908/62241/quiros-las-ag%C3%BCeras-y-aciera1.jpg/f8a33c63-1a8d-3f0a-3e0b-747062eac3f9?t=1674187990663;Museo Etnográfico de Quirós en Bárzana,Iglesia de San pedro de Arrojo,Valle de Bermiego,Quirós, Las Agüeras y Aciera;,,,;;
Área autocaravanas Parque Empresas Artesanas (Taramundi);Taramundi;Occidente de Asturias;;Gratuita;;Pública;A 1 km del centro urbano de Taramundi;;Pernocta posible Carga agua potable Vaciado aguas grises Vaciado aguas negras Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera < 10 km Aparcamiento ;Parque de Empresas Artesanas de Taramundi. 33775. Pardiñas;985 646 701;ayto@taramundi.net;;;43.360455, -7.115593;/documents/39908/62139/2022-area-autocaravanas-taramundi+%281%29.jpg/c0daa982-abf3-fa64-2523-16bfd82b021c?t=1674187882356,/documents/39908/62139/museo-cuchilleria-pardinas-taramundi-1.jpg/b210c209-d843-90ec-e7a8-db905ffc28cd?t=1674187883505,/documents/39908/62139/2022-area-autocaravanas-taramundi+%282%29.jpg/c5216f01-cb97-b75c-696c-47c4f79ef82a?t=1674187882926,/documents/39908/62139/museo-cuchilleria-pardinas-taramnudi-taramundi.jpg/449aac20-7e4e-408c-1862-b4c7aebfe1e8?t=1674187884162;Área autocaravanas de Taramundi, en Pardiñas,Museo de la Cuchillería en Pardiñas, cerca del área de autocaravanas,Área de autocaravanas de Taramundi, en Pardiñas,Artesanos en el Museo de la Cuchillería de Pardiñas, Taramundi;,,,;;
Área autocaravanas de Campo de Caso;Caso;Centro de Asturias;2;;48 h.;Pública;Desde Oviedo y el Puerto de Tarna se llega por la carretera AS-117. Una vez en el pueblo seguir indicaciones del Centro de interpretación del Parque de Redes, el recinto ferial, la piscina y el Albergue. Justo al lado del recinto ferial, está el área.  ;8 y 9 octubre Último fin de semana agosto;Pernocta posible Vaciado de aguas grises Vaciado de aguas negras Carga agua potable Restaurante (próximo) Supermercado (próximo) Zona infantil Admite macotas;C/ Prau de la Feria. 33990. El Campu;985 608 002;;;;43.181667,-5.342222;/documents/39908/62127/paisano-en-el-campu.jpg/f59e3825-c0a9-1816-4b48-a73fd05920c3?t=1674187871602,/documents/39908/62127/camino-a-la-colegiata-de-santa-maria-de-tanes.jpg/73242a04-917c-a607-9544-3a6a6c593304?t=1674187870161,/documents/39908/62127/branagallones-caso.jpg/8c78034f-33a9-9fd0-274b-31794602a89d?t=1674187872671,/documents/39908/62127/casa-y-horreo-bueres-caso.jpg/a4f8486d-4f3f-35a3-532b-a36943e74737?t=1674187870769;'Paisano' en El Campu, capital de Caso,Camino a la Colegiata de Santa María en Tañes, Caso,Brañagallones, Caso,Casa y hórreo en Bueres, Caso;,,,;Punto ecológico de cambio de aguas con solo dos plazas para autocaravanas. No se permite sacar mesas, sillas, etc. Justo al lado está la Oficina de Turismo, un área recreativa con piscina (en verano) y el albergue municipal, que sirve comidas. El resto de servicios están a pocos metros en el centro del pueblo.;
Área autocaravanas de Villanueva de Oscos;Villanueva de Oscos;Occidente de Asturias;2;Gratuita;48 h.;Pública;Acceso a Villanueva por la AS-11. El área está al lado de la gasolinera.;;Vaciado aguas negras < 1 km Conexión eléctrica Gasolinera < 10 km;33777. Vilanova;;;;;43.310556, -6.985833;/documents/39908/62118/vilanova.jpg/deb24dcc-540b-bae3-4fff-85cdda9b1e2f?t=1674187863718,/documents/39908/62118/monasterio-de-santa-maria-en-vilanova.jpg/13c3e234-298f-7fe9-eca5-c7a219ea1858?t=1674187863134,/documents/39908/62118/horreo-en-vilanova.jpg/aedd468f-ccac-fdec-1fb3-dda3090ce8dc?t=1674187862550,/documents/39908/62118/Villanueva_1.jpg/640d2387-a3d4-75d3-e0d5-caee2d90e5b2?t=1674187861897;Vistas de Vilanova, capital de Villanueva de Oscos,Monasterio de Santa Marina en Vilanova,Hórreo en Vilanova,Área autocaravanas en Vilanova;,,,;;
Área autocaravanas Playa de L'Arbeyal (Gijón);Gijón;Centro de Asturias;18;;48 h.;Pública;Desde la E-70 (Autovía del Cantábrico), tomamos la salida 389 direc. Puerto de El Musel(Av. Constituc.-Av. Oviedo). Pasar la 1ª Rotonda, y en la 2ª (existe una EESS de Cepsa a nuestra dcha.), tomar la 3ª salida Av. Príncipe de Asturias que nos lleva hasta la de Eduardo Castro y Rotonda (hay otra EESS de Cepsa a nuestra dcha.), donde tomaremos la vía de acceso al Puerto y Área que se aprecia desde la misma Rotonda.;;Pernocta posible Vaciado aguas grises Vaciado aguas negras Carga agua potable Servicios hostelería (próximos) Supermercado/tienda (próximos) Transporte público < 10 km Aparcamiento Gasolinera < 10 km Zona pícnic;Avda. Eduardo Castro. 33212. Gijón/Xixón;985 341 771;turismo@gijón.es;;;43.544722, -5.695556;/documents/39908/62250/area-autocaravanas-el-arbeyal-%283%29.jpg/f903c577-870b-4bae-c078-d09bb66a5b42?t=1674187999586,/documents/39908/62250/area-autocaravanas-el-arbeyal-%282%29.jpg/f43ba142-216a-8ebf-ee61-471f1d72d7ee?t=1674187998671,/documents/39908/62250/area-autocaravanas-el-arbeyal-%281%29.jpg/38091954-25fa-2675-7e95-5c52113c29e5?t=1674187998081,/documents/39908/62250/playa-l-arbeyal-%281%29.jpg/9cae6590-e8a4-3b0e-ca78-e88b0cecf9a7?t=1674188000198;Área autocaravanas Playa de L'Arbeyal,Área autocaravanas Playa de L'Arbeyal,Área autocaravanas Playa de L'Arbeyal,Playa de L'Arbeyal;,,,;;
Área de autocaravanas de Trevías;Valdés;Occidente de Asturias;9;Gratuita;72 h.;;Desde la N-634, a su paso por Trevías, coger el desvío al parking público en dirección al campo de futbol. ;;Pernocta posible  Agua potable  Vaciado aguas grises  Vaciado aguas negras Servicio hostelería  Supermercado / tienda  Gasolinera próxima <10km.  Zona Pic-nic Transporte público Parking ;C/ Jesús Peláez Rodríguez nº4. 33780. Trevías.;985 640 083;turismo@ayto-valdes.net;;;43.49931,-6.43676;/documents/39908/2721254/autocaravanas_trevias_%281%29.jpg/2314c400-787f-3c23-3fc1-51ea11ae7fe3?t=1700206684861,/documents/39908/2721254/autocaravanas_trevias_%282%29.jpg/04339fd7-2b22-2075-5123-19c89300df65?t=1700206687153;Área de autocaravanas de Tresvías,Área de autocaravanas de Tresvías;,;;
Área autocaravanas de Boal;Boal;Occidente de Asturias;4;Gratuita;48 h.;Pública;;;Pernocta posible Vaciado aguas grises Vaciado aguas negras Carga agua potable Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera < 10 km Zona pícnic Piscina (próxima) Aparcamiento;33720. Llaviada;985 620 003;info@boal.es;;;43.42083,-6.81444;/documents/39908/62193/2022-area-autocaravanas-boal+%285%29.jpg/102b7cec-26c9-309c-81de-17d41f27a55d?t=1674187938257,/documents/39908/62193/2022-area-autocaravanas-boal+%282%29.jpg/63f77c36-8f5a-fbc1-1dd9-ec5ac1901dad?t=1674187936455,/documents/39908/62193/2022-area-autocaravanas-boal+%281%29.jpg/5fa38209-c1ad-18a3-7a83-291aed668676?t=1674187935721,/documents/39908/62193/2022-area-autocaravanas-boal+%284%29.jpg/33c57f6d-f59a-a77f-2ff0-bdf529d9bb43?t=1674187937682;Área autocaravanas de Boal,Área autocaravanas de Boal,Área autocaravanas de Boal,Área autocaravanas de Boal;,,,;;
Aparcamiento autocaravanas de Lugones (Siero);Siero;Centro de Asturias;4;Gratuita;;Pública;Se puede llegar por la A-66 o por la A-2. Una vez en Lugones dirigirse a la Av. Conde de Santa Bárbara y seguir indicaciones del Polideportivo Teresa Valdés. ;;Pernocta posible Carga agua potable Vaciado aguas grises Vaciado aguas negras Gasolinera < 10 km Zona Pic-nic;C/ Conde de Santa Bárbara. 33420. Lugones/Llugones;;;;;43.406944, -5.803056;/documents/39908/62265/parque-de-lugones+%282%29.jpg/08b6d4d2-6670-7402-393c-004470d6fcf8?t=1674188011210,/documents/39908/62265/area-recreativa-de-la-cebera-lugones+%282%29.jpg/10620cbc-4068-9444-60d9-5b0382b82093?t=1674188009917,/documents/39908/62265/Lugones%281%29.jpg/d84fdf6b-9ba9-f72d-3112-16169ec66184?t=1698672716986,/documents/39908/62265/Lugones_1.jpg/a00a4532-1f80-a65d-c336-7442248dd1ce?t=1674188008199,/documents/39908/62265/parque-de-lugones+%281%29.jpg/855d6c45-9412-7621-ccda-213464c138a0?t=1674188010544,/documents/39908/62265/area-recreativa-de-la-cebera-lugones+%281%29.jpg/0a517c0c-75cf-2cd6-829b-042eb806ae88?t=1674188008860;Parque de Lugones, muy cerca del área de autocaravanas,Área recreativa de La Cebera, en las proximidades del área de autocaravanas,Área de autocaravanas de Lugones 1,Área de autocaravanas de Lugones 2,Parque de Lugones, muy cerca del área de autocaravanas,Área recreativa de La Cebera, en las proximidades del área de autocaravanas;,,,,,;;
Área autocaravanas de Noreña;Noreña;Centro de Asturias;7;Gratuita;72 h.;Pública;Desde Gijón (20 km) se llega por la autovía AS-I. Tomar la salida 19 y seguir en dirección Noreña. Desde Oviedo (10 km) se llega por la autovía A-64. Tomar la salida 23 y seguir por la AS-376 hacia El Berrón y Noreña. En ambos casos, en la rotonda a la entrada de la población tomar la segunda salida y en el stop sobre el puente, a la derecha se ve el área.;;Pernocta posible Agua potable Vaciado aguas grises Vaciado aguas negras Servicios hostelería Supermercado / tienda Gasolinera próxima < 10 km Transporte público < 10 km;Avda. de Gijón, 8. 33180. Noreña;985 740 061 / 684 633 514;turismo@aytonorena.es;;;43.38972,-5.70278;/documents/39908/62163/autocaravanas_nore%C3%B1a_%281%29.jpg/17a089f6-734a-0758-62e7-57ad06a2b7cd?t=1709114268219,/documents/39908/62163/autocaravanas_nore%C3%B1a_%283%29.jpg/34768943-f1f1-3433-b2a5-4eba790165aa?t=1709114271888,/documents/39908/62163/autocaravanas_nore%C3%B1a_%282%29.jpg/2231cd2f-146a-ae5a-aee4-4e7c8d13fd62?t=1709114270360;Área de autocaravanas de Noreña,Área de autocaravanas de Noreña,Casco urbano de Noreña;,,;;
Área autocaravanas de San Antolín de Ibias;Ibias;Occidente de Asturias;5;Gratuita;;Pública;Desde la AS-15, En En el Pueblo de La Regla, tomaremosla AS-29 para posteriormente coger la AS-210 en dirección a San Antolín de Ibias. Ya en el pueblo, seguiremos las indicaciones del área recreativa y las piscinas. Una vez crucemos el puente sobre el Río Ibias giraremos a la izquierda, continuando durante 400 metros hasta llegar al área recreativa y las piscinas, detras de las que se ubica el área de parking de autocarvanas.;;Vaciado aguas grises (800 m) Vaciado aguas negras (800 m) Carga agua potable (800 m) Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera < 10 km Área recreativa < 50 m Zona pícnic Parque infantil Transporte público < 10 km Aparcamiento Piscina <100 m;Ctra. de Piñeira. 33810. Piñeira;615 164 329;aytoibias@yahoo.es;;;43.043893,-6.869220;/documents/39908/62214/AutocaravanaIbias1.JPG/7b1d1958-a8be-07b3-675d-b3aa7b951b37?t=1674187956952,/documents/39908/62214/AutocaravanaIbias2.JPG/8aea40cd-9058-dbb0-4bc2-34a996550984?t=1674187957629,/documents/39908/62214/AutocaravanaIbias3.JPG/25e9d55a-e0dc-5317-b181-ede0e29c729e?t=1674187958401,/documents/39908/62214/AutocaravanaIbias4.JPG/fdf16792-6781-35a1-b9a8-8d51ff531f97?t=1674187959410;Área de autocaravanas de Ibias.,Área de autocaravanas de Ibias.,Área de autocaravanas de Ibias.,Área de autocaravanas de Ibias.;,,,;;
Área autocaravanas Ecomuseo de Samuño (Langreo);Langreo;Centro de Asturias;11;Gratuita;48 h.;Pública;Desde la autovía AS-1 tomar la salida 9 y seguir por la AS-17 hacia Langreo. Después de pasar Sama, tomar la salida a Ciaño y a laaltura de la iglesia, girar a la derecha y seguir por la LA-7 en dirección a La Nueva. A unos 2 km aproximadamente está el área, en el parking del Ecomuseo.;;Pernocta posible Cambio aguas (grises y negras) Carga agua potable Restaurante (próximo) Parque infantil;;;;;;43.27833,-5.67444;/documents/39908/62145/estaci%C3%B3n-del-cadaviu-ecomuseo-minero-del-valle-de-samuno-%282%29.jpg/b3406edd-e02f-a1a2-4d90-d0bdf516ef99?t=1674187888870,/documents/39908/62145/la-nuev-langreo.jpg/9d3909cc-dee8-4814-8a2f-f28da2ac95e7?t=1674187889494,/documents/39908/62145/estaci%C3%B3n-del-cadaviu-ecomuseo-minero-del-valle-de-samuno-%281%29.jpg/c93bb0c0-0468-d377-8f9d-3cc275793fba?t=1674187888311,/documents/39908/62145/mirador-santuario-virgen-del-carbayo-.jpg/356d3ca1-9942-9496-f761-90fcdc050ce4?t=1674187890111;Estación del Cadaviu, Ecomuseo Minero 'Valle de Samuño',La Nueva, Langreo,Estación del Cadaviu, Ecomuseo Minero 'Valle de Samuño', interior,Mirador Santuario Virgen del Carbayu, Langreo;,,,;;
Área autocaravanas de Mieres;Mieres;Centro de Asturias;6;Gratuita;48 h.;Pública;;;Pernocta posible Carga agua potable Vaciado aguas grises Vaciado aguas negras Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera < 10 km Transporte público < 10 km;Avda. de Asturias, 26. 33600. Mieres del Camín;985 450 533;turismo@ayto-mieres.es;;;43.25194, -5.78083;/documents/39908/62175/mieres+%283%29.jpg/0c69f8b7-f643-f65c-02b6-234e65e53ada?t=1674187920575,/documents/39908/62175/mieres+%281%29.jpg/86da7264-3f93-6e24-a4d4-510fd964cfe7?t=1674187919954,/documents/39908/62175/mieres.jpg/5e905018-de61-803a-b361-5a70f2730e1b?t=1674187921717,/documents/39908/62175/mieres+%284%29.jpg/eabf1a07-46cb-9cae-6fc5-a090d3de996e?t=1674187921150;Plaza Requejo en Mieres,Monumento al minero, Alto de la Colladiella,Vistas de Mieres,Aparcamiento área autocaravanas de Mieres;,,,;;
Área autocaravanas de Nava;Nava;Centro de Asturias;9;Gratuita;72 h.;Pública;;;Vaciado aguas grises y negras Toma agua potable Pequeño supermercado junto al área;33529. Gamonéu.;985 717 477;;;;43.355495,-5.516600;/documents/39908/62199/letronas-nava.jpg/3cd3b815-255e-80e9-3a50-9871104265b6?t=1674187943366,/documents/39908/62199/2021_Area-Gamoneu-2.jpg/00d5cc69-03ea-0654-50ae-477683252579?t=1674187942179,/documents/39908/62199/2021_Area-Gamoneu-1.jpg/7fe42c5d-dc88-8c4e-16f0-e47d8c54c253?t=1674187941492,/documents/39908/62199/2021_Area-Gamoneu-3.jpg/89a6e256-eb20-0f24-eb56-cfcbaf2761bd?t=1674187942773;Letronas en Nava,Área autocaravanas de Nava,Área autocaravanas de Nava,Área autocaravanas de Nava;,,,;;
Área autocaravanas de Panes (Peñamellera Baja);Peñamellera Baja;Oriente de Asturias;30;Gratuita;48 h.;Pública;Desde Asturias y Cantabria la forma más rápida de llegar es por la Autovía del Cantábrico (A-8/E-70) hasta Unquera. Allí enlazar con la N-621que lleva directamente a Panes. Pasado el pueblo, a unos 800 m. está el área. Si se llega desde León, via Riaño, también por la N-621 a través del desfiladero de La Hermida. En este caso el área está antes de llegar a Panes.  ;;Pernocta posible Agua potable Vaciado de aguas grises Vaciado de aguas negras Gasolinera próxima <10km. Wifi Zona pícnic Aparcamiento ;N621 - P.K. 175,4. 33570 . Panes;985 414 008;;;;43.319700,-4.593891;/documents/39908/62151/panes.jpg/892be793-4dd8-40ca-327a-9c69977f6c6d?t=1674187895787,/documents/39908/62151/casa-rural-en-alevia-penamellera-baja.jpg/a0423e14-6826-e630-98f4-3493f89de31f?t=1674187894048,/documents/39908/62151/mirador-alevia-y-pico-penamellera.jpg/90361ac6-d326-47ba-6ec2-8b2271c1eff7?t=1674187894626,/documents/39908/62151/casa-indiana-la-quinta-de-arriba-alevia.jpg/568d77ac-eb08-cc57-0f3c-8bfc1dbb7c9d?t=1674187893425;Panes en Peñamellera Baja,Casa rural en Alevia, muy cerca de Panes,Mirador de Alevia y Pico Peñamellera,Casa indiana la Quinta de Arriba en Alevia;,,,;;
Parking autocaravanas de Las Xanas (Villanueva);Santo Adriano;Centro de Asturias;3;;;Pública;Desde Oviedo, autovía A-63 (Grado-La Espina) hasta Trubia. Tras cruzar el puente sobre el río Nalón, tomar desvío a la izquierda por la carretera AS-228 hasta Villanueva, capital del Concejo.;;Pernocta posible Restaurante (próximo) Zona pícnic Admite mascotas;Bº Las Xanas. 33115 Villanueva;;;;;43.274444,-5.994444;/documents/39908/62121/desfiladero-xanas-%281%29.jpg/59bb8107-d33d-bfe9-8517-467bf7caeef5?t=1674187864357,/documents/39908/62121/horreo-en-villanueva.jpg/e53bfb1e-55c1-b7f0-d08d-9cb8517fdeaa?t=1674187865679,/documents/39908/62121/desfiladero-xanas-%282%29.jpg/24bc4d57-af6b-a46a-3356-111466d3538a?t=1674187865006,/documents/39908/62121/villanueva.jpg/7af90a80-5adf-8429-1fba-9086b6a05555?t=1674187866370;Ruta por el Desfiladero de Las Xanas, muy cerca del parking de autocaravanas,Hórreo en Villanueva, Santo Adriano,Ruta de Las Xanas, cerca del parking de autocaravanas,Villanueva en Santo Adriano;,,,;Aparcamiento donde se permite el estacionamiento y pernocta de autocaravanas. No se permite desplegar mesas, sillas y demás elementos de acampada. Mesas con buenas vistas para hacer pícnic y un bar frente al aparcamiento.;
Área de autocaravanas de Luarca;Valdés;Occidente de Asturias;15;Gratuita;72 h.;;Desde la localidad de Luarca por la carretera AS-36, a 500 metros de la N-634 y A-8.;;Pernocta posible  Agua potable  Vaciado aguas grises  Vaciado aguas negras Servicio hostelería Supermercado / tienda  Gasolinera próxima <10km.  Zona Pic-nic Transporte público Parking;Avda. de la Estación, 2-16. 33700. Luarca;985 640 083;turismo@ayto-valdes.net;;;43.53815,-6.53685;/documents/39908/2721542/autocaravanas_luarca_%282%29.jpg/34007712-7bfe-6742-2540-1735437414a3?t=1700210058013,/documents/39908/2721542/autocaravanas_luarca_%283%29.jpg/e52c60d5-2466-22dc-7ecd-40c4f66a99fe?t=1700210059620,/documents/39908/2721542/autocaravanas_luarca_%281%29.jpg/34ac2c58-1986-bc3e-239e-db3db29a8149?t=1700208078941;Área de autocaravanas de Luarca,Área de autocaravanas de Luarca,Área de autocaravanas de Luarca;,,;;
Área de aparcamiento y servicios Autocaravanas de Bimenes;Bimenes;Oriente de Asturias;5;Gratuita;48 h.;;;;Vaciado de aguas grises y WC químico. Toma de agua. Espacios comerciales y atracciones turísticas en las cercanías. Normas de uso: Consultar;33528. Rozaes;;;;;43.313815,-5.568545;/documents/39908/10232390/autocaravanas-bimenes+%281%29.jpg/8c133da3-965b-1899-e9dd-7e80faecd1e4?t=1728556602681,/documents/39908/10232390/autocaravanas-bimenes+%282%29.jpg/ba87c853-8c08-b039-f99a-ac32adfb0b6c?t=1728556604215,/documents/39908/10232390/autocaravanas-bimenes+%285%29.jpg/525de749-f06e-7801-70ec-7fff9b8e017c?t=1728556608399,/documents/39908/10232390/autocaravanas-bimenes+%284%29.jpg/4b9e5240-acaf-0702-cbf3-679774bb6fd3?t=1728556607046;Área de aparcamiento y servicios Autocaravanas de Bimenes,Área de aparcamiento y servicios Autocaravanas de Bimenes,Área de aparcamiento y servicios Autocaravanas de Bimenes,Área de aparcamiento y servicios Autocaravanas de Bimenes;,,,;;
Área autocaravanas de Vegadeo;Vegadeo;Occidente de Asturias;8;Gratuita;48 h.;Pública;Acceso a Vegadeo desde las carreteras N-640, AS-11, AS-21 y AS-22.;;Carga agua potable Vaciado aguas grises Vaciado aguas negras Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera < 10 km Parque infantil;C/ Emilio Cotarelo (Recinto Ferial). 33770. Vegadeo;;;;;43.466667, -7.051667;/documents/39908/62292/Vaca-Silvallana_-Vegadeo.jpg/81d43b6a-80fc-c50e-82c3-6091357a818f?t=1674188040182,/documents/39908/62292/Vegadeo_3.jpg/1c842ad9-c80c-41e5-8105-04c390fea909?t=1674188038209,/documents/39908/62292/Vegadeo_1.jpg/db033bea-2796-19d8-6ce7-af6c9f909e8c?t=1674188038897,/documents/39908/62292/Vegadeo_2.jpg/f5dfd455-e145-7faa-e01e-f6bbcf607df8?t=1674188039531;Vaca Silvallana en Vegadeo,Área autocaravanas de Vegadeo,Área autocaravanas de Vegadeo,Área autocaravanas de Vegadeo;,,,;;
Aparcamiento del dique de Cudillero;Cudillero;Occidente de Asturias;5;Gratuito;48h.;Público;Desde la Autovía del Cantábrico [A-8/E-70] tomar la salida 431 hasta Cudillero. Una vez en la rotonda tomar la segunda salida (Cu-3) dirección Cudillero. En la última curva coger el primer desvío a la izquierda para llegar al aparcamiento de caravanas del puerto. ;;Pernocta posible  Gasolinera póxima <10km.  Parking;Carretera CU-3 33159 Cudillero;;;;;43.56872, -6.15349;/documents/39908/2560666/Dique-%281%29.jpg/902f1576-6c95-8111-be43-c32cd1b05760?t=1698144857818,/documents/39908/2560666/Dique-%282%29.jpg/913169fd-32c9-c731-960b-58b35d9a7d20?t=1698144859824,/documents/39908/2560666/Dique-%283%29.jpg/4c589cdb-ed1d-b406-8433-c3371117106d?t=1698144861173,/documents/39908/2560666/Dique-%284%29.jpg/56f70ffd-bb62-f28b-f51e-aaa2478c47b5?t=1698144862519;Dique 1,Dique 2,Dique 3,Dique 4;,,,;;
Área de autocaravanas de Navia;Navia;Occidente de Asturias;17;Gratuita;48 h en la zona de vaciado de aguas. No hay límite en el resto de zonas.;Pública;Acceso a Navia por la Autovía A-8 y las carreteras N-634 y AS-12. El área está en dirección a la playa.;;Pernocta posible Agua potable Vaciado aguas grises Vaciado aguas negras Servicios hostelería Supermerado / tienda Gasolinera próxima <10km.  Zona Pic-nic Piscina Parking;Travesía de la Granja. s/n 33710;;turismo@ayto-navia.es;;;43.545228, -6.72028;/documents/39908/62247/Navia_caravanas%281%29.jpg/be272d7b-4bc0-8d37-2af9-44fd80fc9203?t=1698137810351,/documents/39908/62247/navia_caravanas%282%29.jpg/e29ffee6-aac6-b552-a213-457a4bf47bc9?t=1698137812269,/documents/39908/62247/navia_caravanas%283%29.jpg/edbb29e5-b676-c217-8417-ae332c77df87?t=1698137813609,/documents/39908/62247/LaGranja_1.jpg/09cb68ef-6c96-1828-9c98-11aa2c129e61?t=1674187993737;área de autocaravanas de Navia 1,Área de autocaravanas de Navia 2,Área de autocaravanas de Navia 3,Área Municipal de La Granja;,,,;;
Área autocaravanas de Ribadesella;Ribadesella;Oriente de Asturias;5;;48 h.;Pública;Desde la autovia A-8/E-70, tomar la salida 319 y seguir por la carretera N-632 hacia Ribadesella. A la entrada de la población, tomar a la derecha la AS-263 en dirección Llanes y a unos 800 m. a la izquierda está el área.  ;;Pernocta posible Craga agua potable Vaciado de aguas grises Vaciado de aguas negras Restaurante (próximo) Supermercado (próximo) Zona pícnic Gasolinera < 10 km Admite Mascotas;Ctra. de la Estación AS263. 33650. Ribadesella/Ribeseya;985 860 038;;;;43.460278,-5.054167;/documents/39908/62124/ribadesella-santa-marina.jpg/0842e9cb-72e9-3781-21cc-8ddf3e44be21?t=1674187869533,/documents/39908/62124/acantilados-guadamia.jpg/00da061e-4080-88c9-f433-5653f9af3db7?t=1674187866975,/documents/39908/62124/ria-ribadesella.jpg/d6086c56-326a-727e-3958-268167a1ba82?t=1674187868536,/documents/39908/62124/ar-guadamia.jpg/54517b27-6503-9ab7-6973-a4634178a6e5?t=1674187867616;Playa de Santa Marina en Ribadesella,Acantilados de Guadamía en Ribadesella,Ría de Ribadesella,Área Recreativa de Guadamía en Ribadesella;,,,;No se permite acampar. La gasolinera y demás servicios están en el casco urbano, a unos 600 m;
