Nombre;Zona;Dirección 2;Dirección;Localidad;Concejo;Código Postal;Teléfono;Email;Web;Facebook;Twitter;Instagram;TikTok;Youtube;Abierto todo el año;Apertura;Horario;Más información;Visitas guiadas;Exposiciones;Observaciones;QCalidad;Información y normas para mascotas;Coordenadas;Slide;Título;Url;Limitación del tamaño/peso de la mascota;Se admiten P.P.P - Perros potencialmente peligrosos;Número máximo de perros por persona;Cupo máximo de perros en el interior;Acceso al interior;Acceso a terraza o zona exterior;Admiten otras mascotas además de perros;Otras mascotas permitidas;Detalle de las normas específicas
Oficina de turismo de Langreo;Centro de Asturias;Parque Dolores Fernández Duro;Parque Dolores Fernández Duro;Llangréu/Langreo;Langreo;33930;984 181 889;turismo@ayto-langreo.es;https://turismo.ayto-langreo.es/;;;;;;Si;;01/04 a 30/09: Martes a sábado: 10:30 a 14:00 y 16:00 a 18:30 h. Domingos: 10:00 a 15:00 h. Cerrado: lunes 01/10 a 31/03: Martes a viernes: 10:00 a 14:00 y 15:30 a 18:30 h. Sábados: 10:00 a 15:00 h. Cerrado: domingos y lunes  ;;;;;;;43.308256, -5.691059;/documents/39908/47040/ancho409xalto339.jpg/2ce17fbb-52ab-557c-658a-d060b14c7d41?t=1674175571224;Oficina de Turismo de Langreo;;;;;;;;;;
Oficina de turismo de Navelgas (Tineo);Occidente de Asturias;Bº de San Nicolás;Bº de San Nicolás;Navelgas;Tineo;33873;985 806 018;info@museodeloro.es;https://www.tineo.es/oficinas-de-turismo;https://www.facebook.com/MOANavelgas/?ref=bookmarks;https://twitter.com/MOroAsturias;https://www.instagram.com/museodelorodeasturias/?hl=es;;;Si;;Abierta: Martes (tarde) a domingo (mañana): 11:00 a 14:00 y 16:00 a 19:00 h. Cerrada: Domingo (tarde), lunes y martes (mañana) Tercer domingo de cada mes: 17 y 18 septiembre, 15 y 16 octubre, 19 y 20 noviembre, 17 y 18 diciembre. Festivos abiertos: 12/10, 01/11 (16:00 a 19:00 h.), 06/12 (16:00 a 19:00h.) y 08/12 Diciembre.;;;;;;;43.403299,-6.543859;/documents/39908/46968/ot-navelgas.jpg/62482751-43c6-92ea-152c-1b60469e1f99?t=1674175551371;Oficina de Turismo de Navelgas, Tineo;;;;;;;;;;
Oficina de turismo de Soto del Barco;Centro de Asturias;Plaza de Casimiro Vega, 3;Plaza de Casimiro Vega, 3;L' Arena;Soto del Barco;33125;985 588 013/ 985 586 558;turismo@sotodelbarco.com,info@sotodelbarco.com;https://www.sotodelbarco.com/turismo,https://destinobajonalon.es/;;;;;;No;;09/07 a 20/09: Miércoles a domingo: 10:30 a 14:30 y 16:30 a 19:30 h.;;;;;;;43.556977,-6.076235;/documents/39908/47034/Puerta_del_+Mar.jpg/7f6e38ad-57ce-5519-d0b8-c5858dad9062?t=1674175570047;Oficina Puerta del Mar en Soto del Barco;;;;;;;;;;
Centro de Información Turística del Principado de Asturias;Centro de Asturias;Plaza de la Constitución, 4;Plaza de la Constitución, 4;Oviedo/Uviéu;Oviedo;33009;984 493 563 / 984 493 560 / 902 300 202;citpa.oviedo@turismoycultura.asturias.es;https://www.turismoasturias.es;https://www.facebook.com/TurismoAsturias;https://twitter.com/TurismoAsturias;https://www.instagram.com/turismoasturias/;;;Si;;01/01 a 30/06 y 01/09 a 31/12: Lunes a viernes: 9:00 a 17:30 h. Fines de semana y festivos: 10:00 a 17:00 h. Semana Santa: 9:00 a 19:00 h. 01/07 a 31/08: 9:00 a 19:00 h. Cerrado: 24, 25 y 31 diciembre, 1, 5 (tarde) y 6 enero La oficina dispone de un bucle magnético para prestar servicio a personas usuarias de prótesis auditivas. ;;;;;true;;43.360384,-5.845033;/documents/39908/46962/CITPA_Oviedo.jpg/61c959a5-0c4d-0aaf-e60e-f8d6ce5d6150?t=1674175548380;Oficina de Información Turística del Principado de Asturias;;;;;;;;;;
Oficina de turismo de Quirós;Centro de Asturias;Carretera AS-229, P. K. 8,4 (Dentro del Museo Etnográfico);Carretera AS-229, P. K. 8,4 (Dentro del Museo Etnográfico);San Salvador;Quirós;33117;985 768 096 (Ayto.) / 985 768 160 (ADL);museodequiros@gmail.com,info@quiros.es;https://www.quiros.es/;;;;;;No;01/07 a 30/09;01/07 a 30/09: Miércoles a domingo: 11:00 a 14:00 y 15:30 a 19:30 h.;;Museo Etnográfico (previa reserva): Martes a domingo: 11:00 a 14:00 y 15:30 a 19:30 h. Reservas: 985 768 096 o 658 966 786;;;;;43.158079,-5.973436;/documents/39908/47091/ot-quiros.jpg/46f01334-0cd7-34db-8267-29cc382647bb?t=1674175586759;Interior del Museo Etnográfico de Quirós donde está la oficina;;;;;;;;;;
Oficina Municipal de Información Turística y atención al Peregrino;Centro de Asturias;C/ Marqués de Santa Cruz (El Escorialín);C/ Marqués de Santa Cruz (El Escorialín);Oviedo/Uviéu;Oviedo;33007;985 227 586;oficina.turismo@oviedo.es;https://www.visitoviedo.info;;;;;;Si;;Lunes a viernes: 10:00 a 17:00 h. Sábados, domingos y festivos: 10:00 a 14:30 y 15:30 a 17:00 h.;;;;;;;43.361690,-5.848373;/documents/39908/46929/Escorialin+y+Origen+del+Camino.jpg/37e6624e-0987-ed78-98d9-32b43cde24e9?t=1674175536701;Oficina Municipal de Información Turística y atención al Peregrino;;;;;;;;;;
Oficina de turismo de Caravia;;;;Prado;Caravia;33344;985 853 088;turismo@aytocaravia.com;https://www.aytocaravia.com/es/oficina-de-turismo;;;;;;No;01/07 a 31/08;Martes a Sábado: 11:15 a 14:00 y 16:00 a 18:30 h. Domingo: 11:15 a 15:00 h Cerrado: domingos tarde y lunes;;;;;;;43.462482,-5.188515;/documents/39908/47055/OficinaTurismo_Caravia.jpg/96e5b93a-71b0-9b77-7e64-22607f795aa0?t=1674175576305;Hórreo donde está situada la Oficina de Turismo de Caravia;;;;;;;;;;
Oficina de turismo de Cangas de Onís;Oriente de Asturias;Avda. Covadonga, 1;Avda. Covadonga, 1;Cangues d' Onís/Cangas de Onís;Cangas de Onís;;985 848 005;turismo@cangasdeonis.com;https://turismocangasdeonis.com;https://www.facebook.com/turismocangasdeonis;https://twitter.com/cangasdeonis_;https://www.instagram.com/turismocangasdeonis/?hl=es;;;Si;;01/07 a 15/09: 09:00 a 21:00 h.  16/09 a 15/10: 10:00 a 14:00 y 16:00 a 20:00 h. 16/10 a 30/06: Mates a sábado: 10:00 a 14:00 h. y 16:00 a 19:00 h. Domingo: 11:00 a 13:30 h.  Cerrado: lunes;;;;;true;;43.35062,-5.131614;/documents/39908/46980/OT_Cangas_de_Onis.jpg/51f5d950-1053-c994-80e0-44678f965586?t=1674175555187;OT Cangas de Onís (Casa Riera);;Sin limitación;Si;1;1;Si;Si;No;;Perros siempre atados. Los PPP sólo podrán entrar cuando la oficina no tenga otros visitantes, consultando.
Oficina de Turismo de Salinas;Centro de Asturias;Avda. Juan Sitges, 3;Avda. Juan Sitges, 3;Salinas;Castrillón;33405;985 501 865;oitsalinas@castrillon.es;https://www.castrillonturismo.es/castrillon/;https://www.facebook.com/turismodecastrillon/;;https://www.instagram.com/turismocastrillon/;;;;;Consultar;;;;;;;43.576916, -5.966140;/documents/39908/47073/Oficina-de-Informaci%C3%B3n-Tur%C3%ADstica-de-Salinas.jpg/a600fc2b-4f78-9d5d-77f3-4b23357ea8eb?t=1674175582447;Oficina de Turismo de Salinas (Castrillón);;;;;;;;;;
Oficina de turismo de Villanueva de Oscos;Occidente de Asturias;Ecomuseo del Pan. Santa Eufemia;Ecomuseo del Pan. Santa Eufemia;Vilanova;Villanueva de Oscos;33777;985 626 219 / 985 626 084 (Ayto);oficinadeturismo@villanuevadeoscos.es,administracion@villanuevadeoscos.es;https://www.villanuevadeoscos.es/;;;;;;;;Consultar;;;;;;;43.313938,-6.987702;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Punto información turística en Puerto de Vega;Occidente de Asturias;C/ El Muelle (antiguo quiosco);C/ El Muelle (antiguo quiosco);Puerto de Vega;Navia;33790;985 473 795;turismo@ayto-navia.es;https://www.naviaturismo.com/Navia;https://www.facebook.com/NaviaTurismo;https://twitter.com/NaviaTurismo;;;;No;;Consultar horarios aquí;;;;;;;43.563953, -6.646539;/documents/39908/47052/foto-OT-Viav%C3%A9lez.jpg/d9cc257e-df7b-6e9a-c9cf-3566fd16562e?t=1674175575573;Punto de Información Turística en Puerto de Vega, Navia;;;;;;;;;;
Oficina Municipal de turismo de Mieres;Centro de Asturias;Manuel Llaneza, 8;Manuel Llaneza, 8;Mieres del Camín;Mieres;33600;985 450 533;turismo@ayto-mieres.es;https://www.mieres.es/turismo/;;https://twitter.com/turismomieres;;;;Si;;Lunes a viernes: 8:00 a 14:00 h. Sábados: 10:30 a 14:00 y 16:00 a 19:30 h. Domingos: 10:00 a 15:00 h.;;;;;;;43.250228,-5.772985;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Oficina de turismo de Piloña;Oriente de Asturias;C/ Covadonga, 11 (Edificio de la Obra Pía);C/ Covadonga, 11 (Edificio de la Obra Pía);L'Infiestu;Piloña;33530;984 081 246;turismo@ayto-pilona.es;https://www.tierradeasturcones.com/;https://www.facebook.com/profile.php?id=61556942782505;;https://www.instagram.com/turismopilona/;;https://www.youtube.com/@pilonatierradeasturcones2425;Si;;Jueves a lunes: 9:30 a 16:30 h. Cerrado: martes y miércoles  ;;;Exposición Arqueológica de Homo Neanthertal Los 13 del Sidrón (Más información) Museo - Exposición de Relojería (Más información);;;;43.346177,-5.362134;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;Sin limitación;No;1;1;Si;Si;Si;Sólo animales domésticos;
Oficina de turismo de Llanes;Oriente de Asturias;Marqués de Canillejas (antigua Lonja de Pescado);Marqués de Canillejas (antigua Lonja de Pescado);Llanes;Llanes;33500;985 400 164;turismo@ayuntamientodellanes.com;https://www.llanes.es;https://www.facebook.com/llanesturismo;https://twitter.com/llanesturismo;https://www.instagram.com/turismollanes;;;Si;;Lunes a sábado: 10:00 a 14:00 y 16:00 a 18:30 h. Domingo: 10:00 a 14:00 h. 15/06 a 09/09 (todos los días): 10:00 a 14:00 y 16:30 a 19:30 h.;;;;;true;;43.419896, -4.752851;/documents/39908/47058/ot-llanes-3.jpg/16700e06-56d9-1e09-e96f-24b758c453eb?t=1716447961164,/documents/39908/47058/ot-llanes.jpg/cf6f6c7e-580c-ee07-8e57-637a1445bdf4?t=1716447956939;Oficina de Turismo de Llanes,Oficina de Turismo de Llanes;,;;;;;;;;;
Oficina Municipal de Turismo de Luarca-Valdés;Occidente de Asturias;Ramón Asenjo, 25;Ramón Asenjo, 25;Luarca/??uarca;Valdés;33700;985 640 083;turismo@ayto-valdes.net;https://www.turismoluarcavaldes.es/;https://www.facebook.com/luarcavaldesturismo;https://twitter.com/luarca_valdes;https://www.instagram.com/turismoluarcavaldes/?hl=es;;;Si;;Lunes a domingo: 10:30 a 13:45 y 16:00 a 19:30 h.  Cerrrado: 15 y 22 de Agosto ;;;;;;;43.542018,-6.535830;/documents/39908/47109/oficina-turismo1.jpg/07bbac82-a6a8-9049-2d62-e81259ef008e?t=1674175593129;Oficina de Turismo de ??uarca en el concejo de Valdés;;Sin limitación;Si;Sin limitación;;Si;Si;Si;Sólo animales domésticos.;No hay limitación de tamaño, siempre y cuando permanezcan atados en todo momento. En caso de ser P.P.P. deberán de permanecer atados y con bozal.      El dueño, deberá estar pendiente de su mascota.
Oficina de turismo de Coaña;Occidente de Asturias;Plaza Ayuntamiento;Plaza Ayuntamiento;Cuaña;Coaña;33795;679 810 007 (OT) / 985 978 401 (Castro);areadeturismo@ayuntamientodecoana.com;https://ayuntamientodecoana.com/;https://www.facebook.com/Ayuntamiento-de-COA%C3%91A-Asturias-103264927733674;;;;;Si;;Lunes a viernes: 11:00 a 15:00 h.;;;;;;;43.510915,-6.749257;/documents/39908/47013/Coa%C3%B1a.jpg/bd9a066d-3f79-4c5b-647c-44ad16c99bdd?t=1674175565541;Coaña;;;;;;;;;;
Oficina de turismo de Cudillero;Occidente de Asturias;Puerto del Oeste;Puerto del Oeste;Cudillero;Cudillero;33150;985 591 377 / 985 590 003 (Ayto);oficinaturismo@cudillero.es;https://www.turismocudillero.com/;;;;;;Si;;01/07 a 31/08 y SS Lunes a domingo: 10:00 a 14:00 y de 16:00 a 19:30 h.  01/06 a 30/06, 01/09 a 30/09, N y PN  Lunes a domingo: 11:00 a 14:00 y de 16:00 a 18:00 h.  Resto del año Lunes a sábado: 10:00 a 15:00 h.   ;;;;;;;43.56472,-6.147777;/documents/39908/46959/ot_cudillero.jpg/8d096a77-888f-5bb2-762a-ee8a9caa5a4e?t=1674175547634;Oficina de Turismo de Cudillero;;Sin limitación;Si;1;1;Si;;No;;Siempre atados en corto para no interferir con el resto de usuarios. PPP con bozal.
Oficina de turismo de Laboral Ciudad de la Cultura;Centro de Asturias;Luis Moya Blanco, 261;Luis Moya Blanco, 261;Cabueñes;Gijón;33203;985 185 820;recepcionlaboral@turismoycultura.asturias.es;https://www.turismoasturias.es;https://www.facebook.com/TurismoAsturias;https://twitter.com/TurismoAsturias;https://www.instagram.com/turismoasturias/;;;Si;;01/01 a 31/12: 10:00 a 14:00 y 15:30 a 20:00 h. Cerrada: 24, 25, 31 diciembre, 1, 5 (tarde) y 6 enero;;;;;;;43.524095,-5.613511;/documents/39908/47079/ot-laboral.jpg/8760e73d-6c08-3eec-d82d-a250ae6156b2?t=1674175584197;Oficina de Turismo de Laboral Ciudad de la Cultura;;;;;;;;;;
Oficina de turismo de Ribadesella;Oriente de Asturias;Paseo Princesa Letizia;Paseo Princesa Letizia;Ribadesella/Ribeseya;Ribadesella;33560;985 860 038;info@ribadesella.es;https://www.ribadesella.es/;https://www.facebook.com/ribadesellaturismo;https://twitter.com/RibadesellaTuri;https://www.instagram.com/ribadesellaturismo/;;;Si;;01/07 a 31/08: Lunes a domingo: 10:00 a 14:00 y 16:00 a 19:00 h. Cerrada: 6 y 7 agosto (Descenso Internacional del Sella) Resto del año: Martes a sábado: 10:00 a 14:00 y 16:00 a 18:00 h. Cerrado: domingo y lunes;;;;;true;;43.46221,-5.060257;/documents/39908/47088/ot-ribadesella.jpg/2dbd534c-1c40-2e98-d0b8-f297a1bdd963?t=1674175586115;logo;;;;;;;;;;
Oficina de Turismo de San Esteban;Centro de Asturias;C/ Casto Plasencia;C/ Casto Plasencia;San Esteban;Muros de Nalón;3313;985 580 379;turismo@murosdenalon.es;https://destinobajonalon.es/;https://www.facebook.com/turismobajonalon;https://twitter.com/DestinoBNalon;https://www.instagram.com/destinobajonalon/;;;No;;18/06 a 16/09: Lunes a domingo: 10:00 a 14:00 h. Cerrado: martes;;;;;;;43.553115, -6.086264;/documents/39908/47070/san-esteban-ok.jpg/68b86e71-d4f7-0a2e-7019-4d80f7bab343?t=1674175581531;OT San Esteban;;;;;;;;;;
Oficina de Turismo de Grado;Centro de Asturias;Palacio de Fontela. C/ Eduardo Sierra, 10;Palacio de Fontela. C/ Eduardo Sierra, 10;Grau/Grado;Grado;33820;636 909 088 / 985 750 804;turismo@ayto-grado.es;https://www.ayto-grado.es/oficina-de-turismo;https://www.facebook.com/ayto.grado.turismo/?locale=es_LA;;https://www.instagram.com/grado.turismo;;;Si;;Miércoles, jueves y viernes: 10:00 a 15:00 h. Sábado: 11:00 a 17:30 h. Domingo: 11:00 a 16:00 h. Cerrado: lunes y martes ;;Gratuitas: Casco histórico, casas de indianos, Museo Etnográfico y de Historia: Consultar aquí;;;;;43.388122,-6.068783;/documents/39908/46935/ot-grau.jpg/aefb18b5-5bef-90fe-c3cc-933e7aefd47d?t=1674175539097;Oficina de Turismo de Grado;;;;;;;;;;
Oficina de turismo de Noreña;Centro de Asturias;La Libertad, 12 Bajo;La Libertad, 12 Bajo;Noreña;Noreña;33180;684 633 514;turismo@aytonorena.es;https://www.aytonorena.es/;;;;;;;;Consultar;;;;;;;43.394056,-5.711015;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
Oficina de turismo de Candás;Centro de Asturias;Braulio Busto (bajos Plaza de la Baragaña);Braulio Busto (bajos Plaza de la Baragaña);Candás;Carreño;33430;985 884 888;turismo@ayto-carreno.es;https://www.ayto-carreno.es/oficina-de-informacion-turistica;;;;;;No;01/06 a 30/09;Lunes a viernes: 10:00 a 14:00 y 17:00 a 20:00 h.;;;;;;;43.589235,-5.765846;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;Candás;;;;;;;;;;
Oficina de turismo de Castropol;Occidente de Asturias;Plaza del Ayuntamiento, 1;Plaza del Ayuntamiento, 1;Castropol;Castropol;33760;985 635 001;oficinadeturismo@castropol.es,turismo@castropol.es;https://www.castropol.es/;;;;;;No;;Verano (planta baja del Ayuntamiento): Martes a sábado: 10:30 a 13:30 y 17:00 a 19:00 h.  Domingo: 10:30 a 14:30 h. Resto del año (segunda planta del Ayuntamiento):  Lunes a viernes: 10:00 a 14:00 h.;;;;;;;43.526242,-7.027884;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;Panorámica de Castropol;;;;;;;;;;
Oficina de turismo de Avilés;Centro de Asturias;Ruiz Gómez, 21;Ruiz Gómez, 21;Avilés;Avilés;33402;985 544 325;turismo@aviles.es;https://avilescomarca.info/;https://www.facebook.com/turismoavilescomarca/;;https://www.instagram.com/turismoavilescomarca;;;Si;;01/11 hasta nuevo aviso:  Lunes a domingo: 10:00 a 15:00 h. Cerrado: 24, 25, 31 de diciembre, 1 y 6 de enero.;;;;;true;;43.555916,-5.920489;/documents/39908/47001/ot-aviles.jpg/09be28a0-acd7-2d7f-4b0d-127a8d1e8ef6?t=1674175562436;Avilés;;;;;;;;;;
Oficina de turismo de Taramundi;Occidente de Asturias;C/ Solleiro, 18;C/ Solleiro, 18;Taramundi;Taramundi;33775;985 646 877;oit.taramundi@gmail.com,turismo@taramundi.net;https://www.taramundi.es/;https://www.facebook.com/turismodetaramundi;;https://www.instagram.com/turismotaramundi/;;;Si;;01/03 a 31/10 (ambos inclusive): Martes a Sábado: 10:00 a 14:00 y 16:00 a 19:00 h. Domingos: 10:00 a 14:00 h. Cerrado: lunes 01/11 a 01/03: Martes a Sábado: 10:00 a 14:00 y 15:00 a 18:00 h. Domingos: 10:00 a 14:00 h. Cerrado: lunes;;;;;;;43.360352,-7.108135;/documents/39908/47028/IMG_20210612_135454.jpg/54998fc3-5c08-dce3-3b0a-e413410530ff?t=1674175568865;Oficina de turismo de Taramundi;;Sin limitación;Si;2;2;Si;Si;Si;;Las mascotas deben estar siempre atadas.
Punto de Información Turística de Felechosa;Centro de Asturias;El Parque;El Parque;Felechosa;Aller;33688;985 481 439;info@aller.es;https://www.aller.es;facebook.com/turismo.aller;https://twitter.com/turismoaller?lang=es;instagram.com/turismoaller_asturias;;;Si;;Sábados: 10:00 a 15:00 y 16:00 a 18:30 h. Domingos y festivos: 10:00 a 15:00 h.  Cerrado: 24, 25, y 31 de diciembre, 1 y 6 de enero.;;;;;;;43.103227,-5.507375;/documents/39908/46914/pit_felechosa.jpg/355a9342-5d28-a4d7-e2e6-1e2bef06a62f?t=1674175531842;Paisaje de Aller;;;;;;;;;;
Oficina de turismo de San Martín de Oscos;Occidente de Asturias;Ctra. Gral;Ctra. Gral;Samartín;San Martín de Oscos;33777;615 375 701;turismo@sanmartindeoscos.es;https://www.sanmartindeoscos.es/;https://www.facebook.com/Perdo.Oscos;;;;;;;Consultar;;;;;;;43.265394,-6.961954;/documents/39908/47049/sanmartindeoscos.jpg/f1038f55-d50a-cdfc-b1a6-24c4d3d8b426?t=1674175574935;Oficina de turismo de San Martín de Oscos;;Sin limitación;Si;Sin limitación;;Si;Si;Si;Cualquiera;Las mascotas deben de ir siempre con correa. 
Oficina de turismo de Arriondas;Oriente de Asturias;Lilián de Celis (Bajos del Ayuntamiento);Lilián de Celis (Bajos del Ayuntamiento);Arriondas/Les Arriondes;Parres;33540;985 841 712 / 985 840 024 (Ayto);turismo@ayto-parres.es;https://www.ayto-parres.es;;;;;;No;;25/03 a 14/10 Lunes y miércoles a sábado: 10:00 a 14:00 y 16:00 a 20:00 h. Martes y domingo: 10:00 a 14:00 h.;;;;;;;43.387273,-5.187877;/documents/39908/47031/OT+Arriondas.jpg/9d8c8ab5-0c1d-2737-4db7-81f3c03480e8?t=1674175569424;Oficina de turismo de Arriondas;;;;;;;;;;
Oficina de turismo de Tapia de Casariego;Occidente de Asturias;Casa de Cultura. Plaza del Mercado, 1;Casa de Cultura. Plaza del Mercado, 1;Tapia;Tapia de Casariego;33740;985 471 099 / 985 628 080 (Ayto);turismotapia@hotmail.com;https://www.tapiadecasariego.es/;;;;;;;;Consultar;;;;;;;43.570345,-6.944331;/documents/39908/44325/OficinaTurismo1.jpg/0230718f-905e-1f18-8f31-c19332cc4fc6?t=1674173326194;logo;;;;;;;;;;
