Nombre,Localización,Latitud,Longitud,Dirección,Teléfono,Precio,Horario,Tipos_cocina,Valoración,Votos,Características,Descripción,url,url_web,url_ig
Café y Copas César Llosas, Cangas de Onís,43.35114540,-5.13008560,"Av. D.Constantino Glez Y González, 2, Cangas de Onís, Principado de Asturias, España",+34985947521, €10 - €24,Desconocido,Desconocido,62,70,"['Asientos al aire libre', 'Reserva', 'Tarjetas de crédito aceptadas', 'No hay entrega', 'Accesible para sillas de ruedas']","Imagínate que por fin has llegado a Café y Copas César Llosas tras visitar Puente Romano. Se dice que el chef de este bar prepara unos tiernos sándwiches. Este lugar es conocido por su extraordinario café. El éxito de Café y Copas César Llosas no sería posible sin un competente personal. Su estupendo servicio es algo que estos restauradores saben cuidar. Hay una agradable atmósfera en este lugar, tal y como dicen sus asiduos. Pero los usuarios de Google han valorado este lugar y no ha logrado una puntuación muy alta.",https://es.restaurantguru.com/Cafe-y-Copas-Cesar-Llosas-Cangas-de-Onis,infocangasdeonis.com,Desconocido
Los Robles, Principado de Asturias,43.35001700,-5.12865900,"Calle San Pelayo, 8, Cangas de Onís, Principado de Asturias, España, 33550",+34985947052, €10 - €24,Desconocido,['Española'],62,15,"['Asientos al aire libre', 'Tarjetas de crédito aceptadas', 'Para llevar', 'Reserva', 'TV']","Tanto Puente Romano como Los Robles merecen una visita. Aquí, la cocina española le gusta a todos los visitantes.",https://es.restaurantguru.com/Los-Robles-Cangas-de-Onis-2,Desconocido,Desconocido
Restaurante El Monarca, Cangas de Onís,43.34815830,-5.12667920,"Bo. San Antonio, 22A, Cangas de Onís, Principado de Asturias, España",+34675603898,hasta €10,"['LunesLun', '14:00-20:00', 'MartesMar', '14:00-20:00', 'MiércolesMié', '14:00-20:00', 'JuevesJue', '14:00-20:00', 'ViernesVie', '14:00-20:00', 'SábadoSáb', '14:00-20:00', 'DomingoDom', '14:00-20:00']",['Churrasquería'],62,24,"['Tarjetas de crédito aceptadas', 'No hay entrega', 'Para llevar', 'Reserva', 'Accesible para sillas de ruedas']","Visitar este restaurante, con sus estupendas vistas de Puente Romano, es una oportunidad genial para sus visitantes. Tráete a tus amigos y disfrutad de sus generosos fabada. Muchos comensales afirman que el personal es genial. Su admirable servicio te hará sentirte especial. Su moderna atmósfera es el añadido adecuado a los buenos platos y a la excelente ubicación de Restaurante El Monarca. Pero este lugar no ha llegado a una puntuación muy alta por parte de los usuarios de Google.",https://es.restaurantguru.com/El-Monarca-Cangas-de-Onis-2,el-monarca.eatbu.com,Desconocido
El Llagar Casa Juan, Cangas de Onís,43.35085890,-5.12596630,"Av. Covadonga, 20, Cangas de Onís, Principado de Asturias, España",+34985848012,hasta €10,"['LunesLun', '14:00-16:0021:00-23:00', 'MartesMar', '14:00-16:00', 'MiércolesMié', '14:00-16:0021:00-23:00', 'JuevesJue', '14:00-16:0021:00-23:00', 'ViernesVie', '14:00-16:0021:00-23:00', 'SábadoSáb', '14:00-16:0021:00-23:00', 'DomingoDom', '14:00-16:0021:00-23:00']",['Española'],80,685,"['Asientos al aire libre', 'Tarjetas de crédito aceptadas', 'No hay entrega', 'Para llevar', 'Reserva', 'Accesible para sillas de ruedas']","Puedes venir a este restaurante después de visitar Puente Romano. Prueba platos de la cocina española en El Llagar Casa Juan. Degusta sus singulares empanadas, sus tiernos callos o su casera fabada asturiana. Los comensales de este lugar pueden pedir un sabroso pastel de frutas, una sorprendente tarta de queso y unos perfectamente elaborados helados. Este lugar es conocido por su excelente vermú, su estupenda sidra y su extraordinario licor. A sus clientes no les gusta el café de este lugar. Por si todo esto fuera poco, su personal esta contento. Su profesional servicio te hará sentirte especial. Un gran número de visitantes dicen que los platos que ofrecen tienen unos precios interesantes. Muchos asiduos son fieles a este restaurante por su genial atmósfera. El Llagar Casa Juan ha logrado un 4,4 según el baremo de valoraciones de Google.",https://es.restaurantguru.com/El-Llagar-Casa-Juan-Cangas-de-Onis,Desconocido,Desconocido
Parrilla, Cangas de Onís,43.32717570,-5.07979240,"C. San Pelayo, 2, Cangas de Onís, Principado de Asturias, España",+34984203177,Desconocido,"['LunesLun', '13:00-16:3020:00-23:00', 'MartesMar', '13:00-16:3020:00-23:00', 'MiércolesMié', '13:00-16:3020:00-23:00', 'JuevesJue', '13:00-16:3020:00-23:00', 'ViernesVie', '13:00-16:3020:00-23:00', 'SábadoSáb', '13:00-16:3020:00-23:00', 'DomingoDom', '13:00-16:3020:00-23:00']",Desconocido,57,23,"['Tarjetas de crédito aceptadas', 'No hay entrega', 'Reserva', 'Accesible para sillas de ruedas']","Prueba su sensacional sidra. A sus clientes no les gustan los filetes de este restaurante. Un gran número de críticos apuntan que aquí el personal es recomendable. Muchos usuarios suponen que el servicio es bueno. Según el criterio de los usuarios, sus precios son apropiados. Parrilla se asocia con una atmósfera bonita. Pero este lugar no ha llegado a una puntuación muy alta por parte de los usuarios de Google.",https://es.restaurantguru.com/Parrilla-Cangas-de-Onis,Desconocido,Desconocido
Pension Bar El Gijonés - Cangas de Onís, Cangas de Onís,43.35048000,-5.12694000,"C. el Mercado, 18, Cangas de Onís, Principado de Asturias, España",+34985848137, €10 - €24,"['LunesLun', '10:00-00:00', 'MartesMar', '10:00-00:00', 'MiércolesMié', '10:00-00:00', 'JuevesJue', '10:00-00:00', 'ViernesVie', '10:00-00:00', 'SábadoSáb', '10:00-00:00', 'DomingoDom', '10:00-00:00']","['Española', 'Pescado y marisco']",68,83,Desconocido,"Seguro que vas a ver Puente Romano: la recomendación de sus clientes es que te acerques también a este bar. No hay nada mejor que tomar un bien trabajado chorizo. Pide su excelente sidra. Bar Gijones ha sido galardonado con un 4,7 de acuerdo con el baremo de valoraciones de Google.",https://es.restaurantguru.com/Bar-Gijones-Cangas-de-Onis,el-gijones.hottel.es,Desconocido
La regenta, Principado de Asturias,43.35142120,-5.12634750,"Paseo del Rio Guena, Cangas de Onís, Principado de Asturias, España, 33550",+34985848650,hasta €10,"['LunesLun', '08:00-00:00', 'MartesMar', '08:00-00:00', 'MiércolesMié', '08:00-00:00', 'JuevesJue', 'Cerrado', 'ViernesVie', '08:00-00:00', 'SábadoSáb', '08:00-00:00', 'DomingoDom', '08:00-00:00']",['Española'],78,539,"['Tarjetas de crédito aceptadas', 'No hay entrega', 'Asientos al aire libre', 'Para llevar', 'Reserva', 'Accesible para sillas de ruedas']","Una vez que el paseo alrededor de Puente Romano se haya terminado, visita La regenta. La clave de este bar está en su cocina española. Los comensales de La regenta pueden tomar un casero cerdo, un sabroso laing y un sorprendente chorizo. Su estupenda sidra hará que tu comida sea más sabrosa, lo que, seguramente, te hará volver. En este lugar, sus clientes pueden beber un insuperable café o un sensacional zumo. Por si todo esto fuera poco, sus camareros y camareras son atentos. La satisfacción del visitante es uno de los mayores objetivos de este lugar, y su cuidado servicio simplifica mucho esta tarea. Aquí vas a pagar unos precios moderados. Tienes garantizada una espectacular atmósfera en este bar. La puntuación global de La regenta en Google es de 4,3.",https://es.restaurantguru.com/La-regenta-Cangas-de-Onis,laregentacangasdeonis.com,Desconocido
Bar La Huera, Cangas de Onís,43.34762890,-5.13113510,"Av. Castilla, 22, Cangas de Onís, Principado de Asturias, España",+34664788866,hasta €10,"['LunesLun', '07:30-22:00', 'MartesMar', '07:30-22:00', 'MiércolesMié', '07:30-22:00', 'JuevesJue', '07:30-22:00', 'ViernesVie', '07:30-22:00', 'SábadoSáb', '07:30-22:00', 'DomingoDom', '07:30-22:00']",['Española'],70,73,"['Asientos al aire libre', 'No hay entrega', 'Para llevar']","Desde el ventanal de este bar, la vista de Puente Romano es estupenda. Bar La Huera sirve cocina española. En este lugar tendrás la suerte de probar un excelente café. Tenemos que destacar que su servicio se tiene por pulcro. Este lugar es famoso por su silenciosa atmósfera. Este bar ha sido galardonado con un 4,1 de acuerdo con el baremo de valoraciones de Google.",https://es.restaurantguru.com/La-Huera-Cangas-de-Onis,Desconocido,Desconocido
Panadería Santa Rita Sociedad Cooperativa Limitada, Cangas de Onís,43.35072020,-5.12463210,"Av. Covadonga, 30, Cangas de Onís, Principado de Asturias, España",+34985947227,hasta €10,"['LunesLun', '06:00-22:00', 'MartesMar', '06:00-22:00', 'MiércolesMié', '06:00-22:00', 'JuevesJue', '06:00-22:00', 'ViernesVie', '06:00-22:00', 'SábadoSáb', '06:00-22:00', 'DomingoDom', '06:00-22:00']",Desconocido,72,147,"['Entrega', 'No accesible para sillas de ruedas']","Aquí te van a ofrecer unas empanadillas perfectamente elaboradas. Un gran número de clientes suponen que el personal es abnegado en Panadería Santa Rita Sociedad Cooperativa Limitada. Su estupendo servicio te hará sentirte especial. La mayoría de usuarios han notado que los platos que ofrecen tienen unos precios justos. Su cuidada atmósfera alegra el corazón de su clientela y atrae nuevos visitantes. La nota global de este lugar en Google es de 4,2.",https://es.restaurantguru.com/Panaderia-Santa-Rita-Sociedad-Cooperativa-Limitada-Cangas-de-Onis,Desconocido,Desconocido
Aiire, Principado de Asturias,43.35122300,-5.13013000,"Calle Diego Celso Somoano 4, Cangas de Onís, Principado de Asturias, España, 33550",Desconocido, €10 - €24,Desconocido,"['Americana', 'Mediterránea', 'Mexicana', '', 'Americana', 'Mediterránea', 'Mexicana', 'Comida Rápida', '']",76,14,['Reserva'],"Tras caminar por Puente Romano, muchos visitantes se detienen un momento en este bar. Aiire es una elección perfecta si lo que te apetece son cocinas mediterránea y mexicana.",https://es.restaurantguru.com/Aiire-Cangas-de-Onis,Desconocido,Desconocido
Mesón Xico, Cangas de Onís,43.35075720,-5.12573860,"Pl. del Mercado, 13, Cangas de Onís, Principado de Asturias, España",+34636304333, €1 - €19,"['LunesLun', 'Cerrado', 'MartesMar', '09:00-15:0018:00-00:00', 'MiércolesMié', '09:00-15:0018:00-00:00', 'JuevesJue', '09:00-15:0018:00-00:00', 'ViernesVie', '09:00-15:0018:00-00:00', 'SábadoSáb', '09:00-15:0018:00-00:00', 'DomingoDom', '09:00-15:0018:00-00:00']","['Española', 'Opciones vegetarianas']",80,276,"['Tarjetas de crédito aceptadas', 'No hay entrega', 'Asientos al aire libre', 'Para llevar', 'Reserva']","Tras ver Puente Romano, es una gran idea visitar este bar. La cocina española es famosa en todo el mundo, y sus habituales te aconsejan que la pruebes en Mesón Xico. Disfruta de uno de los mejores placeres de esta vida: un atrayente pollo al ajillo, un singular laing y unas sabrosas tapas en agradable compañía. Este lugar es famoso por su espectacular sidra. Es fácil encontrar este lugar gracias a su estupenda ubicación. Si repasas los comentarios de los clientes, verás que dicen que los camareros y camareras estan bien preparados en este lugar. Su rápido servicio es siempre un placer. Este bar te ofrece platos a unos precios razonables. Aquí encontrarás un festivo ambiente. Mesón Xico ha sido galardonado con un 4,5 de acuerdo con el baremo de valoraciones de Google.",https://es.restaurantguru.com/Meson-Xico-Cangas-de-Onis,Desconocido,Desconocido
Hamburgueseria La carcel, Principado de Asturias,43.34970000,-5.12910000,"San Pelayo Numero 19, Cangas de Onís, Principado de Asturias, España, 33550",+34985947298,hasta €10,"['LunesLun', '08:00-13:00', 'MartesMar', '08:00-13:00', 'MiércolesMié', '08:00-13:00', 'JuevesJue', '08:00-13:00', 'ViernesVie', '08:00-13:00', 'SábadoSáb', '08:00-13:00', 'DomingoDom', '08:00-13:00']",['Comida Rápida'],55,32,Desconocido,"Puente Romano es un añadido grandioso a la impresión que te va a dejar esta comida rápida. Sus clientes pueden pedir una tierna ensalada césar, un sorprendente rape y unos generosos patatas en Hamburgueseria la Carcel. Su extraordinaria sidra está entre las mejores bebidas que puedes probar. Muchos críticos dicen que aquí los camareros y camareras estan bien valorados. Lamentablemente, los usuarios de Facebook que han visitado este lugar le dan una valoración inferior a la media.",https://es.restaurantguru.com/Hamburgueseria-la-Carcel-Cangas-de-Onis,hamburgueserialacarcel.wordpress.com,@hamburgueserialacarcel
Sidrería Los Nogales de Caño - Maite Rodríguez Pando, Principado de Asturias,43.32974000,-5.13779000,"CAÑO - CANGAS DE ONÍS - ASTURIAS, Cangas de Onís, Principado de Asturias, España, 33557",+34687548357,Desconocido,Desconocido,Desconocido,78,12,Desconocido,Desconocido,https://es.restaurantguru.com/Sidreria-Los-Nogales-de-Cano-Cangas-de-Onis-3,sidrerialosnogales.com,Desconocido
Confiteria Cafetería Peñalver, Cangas de Onís,43.34971240,-5.13060410,"Av. Castilla, 7, Cangas de Onís, Principado de Asturias, España",+34985848266,hasta €10,"['LunesLun', 'Cerrado', 'MartesMar', 'Cerrado', 'MiércolesMié', '09:00-23:00', 'JuevesJue', '09:00-23:00', 'ViernesVie', '09:00-23:00', 'SábadoSáb', '09:00-23:00', 'DomingoDom', '09:00-23:00']",['Española'],76,274,"['Tarjetas de crédito aceptadas', 'No hay entrega', 'Asientos al aire libre', 'Accesible para sillas de ruedas']","Confiteria Cafetería Peñalver está muy cerca de Puente Romano. Prueba los sorprendentes cruasáns que propone este café. Elige un sensacional café: no lo vas a lamentar. El laing de Confiteria Cafetería Peñalver no es muy del agrado de sus usuarios. Sus atentos camareros y camareras te dan la bienvenida en este lugar todo el año. Siempre que vengas, notarás su eficiente servicio. Según el criterio de los clientes, sus precios son buenos. Si viene a este lugar, tenga por seguro de que va a disfrutar de su envolvente y acogedora atmósfera. Pero los usuarios de Google no le han concedido a este café una calificación muy alta.",https://es.restaurantguru.com/Confiteria-Penalver-Cangas-de-Onis,Desconocido,Desconocido
Covadonga Confitería, Cangas de Onís,43.35039140,-5.12740610,"C. el Mercado, 14, Cangas de Onís, Principado de Asturias, España",+34985848457,hasta €10,"['LunesLun', 'Cerrado', 'MartesMar', '08:00-20:00', 'MiércolesMié', '09:00-20:00', 'JuevesJue', '09:00-20:00', 'ViernesVie', '09:00-20:00', 'SábadoSáb', '09:00-20:00', 'DomingoDom', '09:00-20:00']",Desconocido,80,210,"['Sin asientos al aire libre', 'Tarjetas de crédito aceptadas', 'Para llevar', 'Accesible para sillas de ruedas']","Una vez que hayas disfrutado de Puente Romano, visita este café, que no está muy lejos. Si nunca te has atrevido a degustar la cocina española, inténtalo en Covadonga Confitería. La receta del éxito de este lugar está en su perfectamente elaborado laing, sus atrayentes empanadas y sus generosas empanadillas. Tómate un descanso y pídete un sorprendente milhojas, un bien preparado pastel milhojas o unos caseros bollos. Es fácil encontrar este lugar gracias a su gran ubicación. Su insuperable café está entre las bebidas más solicitadas de este café. Muchos clientes aseguran que el personal es eficiente. Su pulcro servicio es un enorme plus para Covadonga Confitería. Un gran número de visitantes estiman que los platos que ofrecen tienen unos precios razonables. Este lugar ha sido galardonado con un 4,5 de acuerdo con el baremo de valoraciones de Google.",https://es.restaurantguru.com/Confiteria-Covadonga-Cangas-de-Onis,Desconocido,Desconocido
La Santina Gastro Bar copas, Cangas de Onís,43.35019840,-5.12804670,"C. Emilio Laria, 9, Cangas de Onís, Principado de Asturias, España",+34615688871,Desconocido,Desconocido,['Grill'],74,295,"['Tarjetas de crédito aceptadas', 'Entrega', 'Asientos al aire libre', 'Para llevar', 'Reserva', 'Accesible para sillas de ruedas']","Cuando planifiques tu viaje, no te olvides de Puente Romano y de decidirte por un sitio donde comer: este bar está justo al lado de ese lugar turístico. La Santina Gastro Bar copas sirve una generosa carne de vaca y unas perfectamente elaboradas hamburguesas americanas. La mayoría de sus clientes creen que su personal esta bien entrenado. Muchos críticos dicen que el servicio es espectacular. Este lugar arropa a sus visitantes con una interesante atmósfera. Google le ha dado un 4,4, lo que indica que puedes ir a este lugar para disfrutar de un rato agradable.",https://es.restaurantguru.com/Restaurante-La-Santina-Gastro-Bar-Cangas-de-Onis,Desconocido,Desconocido
Cafetería Reconquista, Cangas de Onís,43.35069380,-5.13018740,"C. el Parque, 3, Cangas de Onís, Principado de Asturias, España",+34626456172,hasta €10,"['LunesLun', '07:30-23:00', 'MartesMar', '07:30-23:00', 'MiércolesMié', '07:30-23:00', 'JuevesJue', '07:30-23:00', 'ViernesVie', '07:30-23:00', 'SábadoSáb', '07:30-23:00', 'DomingoDom', '07:30-23:00']",Desconocido,72,461,"['Tarjetas de crédito aceptadas', 'Asientos al aire libre', 'No hay entrega', 'Para llevar', 'No accesible para sillas de ruedas']","Cafetería Reconquista está muy cerca de Puente Romano. En este bar, sus clientes pueden tomar una bien trabajada fabada asturiana, un atrayente cerdo y unas sorprendentes empanadas. Saborea su insuperable cerveza. En Cafetería Reconquista, sus visitantes pueden pedir un excelente café o una magnífica limonada. A sus usuarios no les gustan los helados de este lugar. Por si todo esto fuera poco, su personal es abnegado. Siempre que vengas, notarás su espectacular servicio. Este lugar te ofrece unos precios razonables por unas comidas estupendas. Según el criterio de los clientes, la atmósfera es encantadora. Pero los usuarios de Google han valorado este bar y no ha logrado una puntuación muy alta.",https://es.restaurantguru.com/Cafeteria-Reconquista-Cangas-de-Onis,Desconocido,Desconocido
Café Lanza, Cangas de Onís,43.34646480,-5.13133510,"Av. Castilla, 34, Cangas de Onís, Principado de Asturias, España",+34985849290,hasta €10,"['LunesLun', '09:00-23:30', 'MartesMar', '09:00-23:30', 'MiércolesMié', '09:00-23:30', 'JuevesJue', '09:00-23:30', 'ViernesVie', '09:00-23:30', 'SábadoSáb', '09:00-23:30', 'DomingoDom', '09:00-23:30']",Desconocido,68,107,"['No hay entrega', 'Asientos al aire libre', 'No accesible para sillas de ruedas']",Café Lanza está muy cerca de Puente Romano. Pide sus sabrosas tapas: son increíblemente sabrosas. Algunos de sus invitados aconsejan probar el extraordinario café de este café. La cerveza de Café Lanza no es muy del agrado de sus clientes. Comprueba por ti mismo lo creativo que es su personal. Su eficiente servicio es prueba del alto nivel de calidad de este lugar. Pagarás unos precios bajos por la comida. Disfruta de su espectacular atmósfera. Pero los asiduos valoran este lugar por debajo de la media en Google.,https://es.restaurantguru.com/Cafe-Lanza-Cangas-de-Onis,Desconocido,Desconocido
El Pandora, Aviles,43.55672800,-5.92328400,"C. San Bernardo, 6, Aviles, Principado de Asturias, España",+34985569460,€21,"['LunesLun', '08:00-08:05', 'MartesMar', '13:00-16:00', 'MiércolesMié', '13:00-16:00', 'JuevesJue', '13:00-16:00', 'ViernesVie', '13:00-16:0020:30-23:30', 'SábadoSáb', '13:00-16:0020:30-23:30', 'DomingoDom', '13:00-16:00']","['Mediterránea', 'Española', 'Sushi', '', 'Mediterránea', 'Española', 'Sushi', 'Sin gluten', 'Saludable', 'Opciones vegetarianas', '']",92,817,"['Tarjetas de crédito aceptadas', 'No hay entrega', 'Asientos al aire libre', 'Wifi', 'No es para llevar', 'Reserva']","Primero, disfruta de Museo de la Historia Urbana de Aviles y, después, come algo en El Pandora. Olvídate del resto, descubre en este restaurante sus cartas mediterránea y española. Probarás su generoso laing, su perfectamente elaborado entrecot o su casero atún. El Pandora te permite probar un bien preparado pastel de frutas, unas sabrosas torrijas y unos singulares helados. Según las opiniones de los críticos, el vino es insuperable. Es estupendo poder probar un magnífico café. La estupenda ubicación de este lugar hace que llegar a él incluso en hora punta sea muy sencillo. Muchos clientes aseguran que el personal es servicial. Su admirable servicio es un gran añadido. Sabemos que aquí los precios son razonables. Este lugar tiene un ambiente cuidado y una decoración agradable. Los inspectores de Michelin han visitado este restaurante, por lo que cuenta con el premio de selección de Michelin.",https://es.restaurantguru.com/Cafe-Pandora-Aviles,elpandora.es,@elpandoradeaviles
Restaurante Gunea, Aviles,43.53417020,-5.94827260,"Avenida del Campo Nº 20 Aviles, Aviles, Principado de Asturias, España",+34985546527, €57 - €86,"['LunesLun', '13:30-18:30', 'MartesMar', '13:30-18:30', 'MiércolesMié', '13:30-18:30', 'JuevesJue', '13:30-18:30', 'ViernesVie', '13:30-18:30', 'SábadoSáb', 'Cerrado', 'DomingoDom', 'Cerrado']","['Española', 'Opciones vegetarianas']",92,535,"['Tarjetas de crédito aceptadas', 'No hay entrega', 'Asientos al aire libre', 'Reserva', 'Accesible para sillas de ruedas', 'Wifi', 'Estacionamiento']","Aquí puedes degustar platos de la cocina española. Los cocineros de este restaurante se esfuerzan al máximo para dar a sus clientes una singular coronilla, un perfectamente elaborado paté y una sabrosa lasaña. Pide su delicada tarta de chocolate, su sorprendente pastel de frutas y su generoso pastel milhojas. No dejes pasar la oportunidad de probar un espectacular vino o un extraordinario cordial. Su insuperable café cortado recibe comentarios positivos. Elige entre sentarte fuera o dentro. La mayoría de visitantes encuentran que el personal es de confianza en Restaurante Gunea. Su admirable servicio es siempre un placer. Te van a sorprender gratamente los adecuados precios de este lugar. Una decoración estupenda y su ambiente atrayente ayudan a sus clientes a sentirse relajados. La puntuación global de este lugar en Google es de 4,8.",https://es.restaurantguru.com/Restaurante-Gunea-Illas,Desconocido,Desconocido
El Pañol, Aviles,43.55981740,-5.92312030,"Pl. Carbayo, 1, Aviles, Principado de Asturias, España",+34687545676, €10 - €24,"['LunesLun', 'Cerrado', 'MartesMar', '12:00-17:00', 'MiércolesMié', '12:00-17:00', 'JuevesJue', '12:00-17:00', 'ViernesVie', '12:00-17:0019:00-00:30', 'SábadoSáb', '12:00-17:0019:00-00:30', 'DomingoDom', '12:00-17:00']","['Europea', 'Mediterránea', 'Española', '', 'Europea', 'Mediterránea', 'Española', 'Opciones vegetarianas', '']",90,1371,"['Tarjetas de crédito aceptadas', 'Asientos al aire libre', 'Reserva', 'No hay entrega', 'No accesible para sillas de ruedas', 'Wifi']","Después de ver Church of Santo Tomas de Canterbury, puedes comer algo en este restaurante. Las comidas mediterránea y española merecen aquí la pena. Pedir su casera merluza, su atrayente jamón o su bien trabajada sardina es lo que la mayoría de los clientes recomienda. Te servirán unos singulares helados, unas delicadas torrijas y una bien preparada tarta de queso. Su sensacional vino, su sorprendente ginebra y su estupendo vino blanco son el punto clave de El Pañol. Te ofrecerán una tónica insuperable. Es fácil encontrar este lugar gracias a su gran ubicación. Muchos comensales afirman que el personal es admirable en este lugar. Su abnegado servicio es siempre un placer. Pagarás unos precios adecuados para el sabor y la calidad que te ofrecen. Este restaurante tiene una atmósfera acogedora y una decoración confortable. El Pañol tiene en Google una nota de 4,6 según sus visitantes.",https://es.restaurantguru.com/El-Panol-Aviles,Desconocido,Desconocido
Restaurante Alkasbah, Aviles,43.55577910,-5.92077010,"Calle Ruiz Gomez No 15, Avilés., Aviles, Principado de Asturias, España",+34633780598, €12 - €36,"['LunesLun', '13:00-17:0021:00-23:00', 'MartesMar', '13:00-17:0021:00-23:00', 'MiércolesMié', '13:00-17:0021:00-23:00', 'JuevesJue', '13:00-17:0021:00-23:00', 'ViernesVie', '13:00-17:0021:00-01:00', 'SábadoSáb', '13:00-17:0021:00-01:00', 'DomingoDom', '13:00-17:3021:00-23:30']","['Marroquí', 'Internacional', 'Mediterránea', '', 'Marroquí', 'Internacional', 'Mediterránea', 'Oriente Medio', 'Halal', 'Árabe', 'Opciones vegetarianas', '']",90,1527,"['Sin asientos al aire libre', 'Reserva', 'Tarjetas de crédito aceptadas', 'No hay entrega', 'Para llevar']","No solo hay que visitar Church of San Nicolas de Bari, también Restaurante Alkasbah. Este es el sitio para degustar recetas de la cocina internacional. Siempre puedes disfrutar de unos sabrosos falafels, un atrayente hummus o un singular laing: son la especialidad de este restaurante. En este establecimiento, sus comensales disfrutan entre deliciosos platos y piden su casero pastel de frutas, sus bien trabajados pastelitos y su sorprendente yogur. La carta de vinos es muy extensa: hay que satisfacer las necesidades de todos los clientes. Tras una larga semana de trabajo, prueba un magnífico té marroquí, un estupendo café o una extraordinaria limonada. Se comenta que aquí el personal es atento. Su profesional servicio es un bien conocido privilegio. Restaurante Alkasbah te ofrece comidas a unos precios justos. No hay duda de que vas a agradecer su distendido ambiente y su cuidada decoración. Este lugar ha logrado en Google un 4,7 de acuerdo con las opiniones de sus usuarios.",https://es.restaurantguru.com/Alkasbah-Aviles,Desconocido,@restaurante_alkasbah
Yummy Artesanos, Principado de Asturias,43.55738240,-5.91817120,"Calle De La Cámara, 12, Aviles, Principado de Asturias, España, 33490",+34984297037, €10 - €24,"['LunesLun', 'Cerrado', 'MartesMar', '13:30-16:0021:00-00:00', 'MiércolesMié', '13:30-16:0021:00-00:00', 'JuevesJue', '13:30-16:0021:00-00:00', 'ViernesVie', '13:30-16:0021:00-00:30', 'SábadoSáb', '13:30-16:0021:00-00:30', 'DomingoDom', '13:30-16:00']",['Europea'],90,1077,"['Tarjetas de crédito aceptadas', 'Asientos al aire libre', 'Reserva', 'No hay entrega', 'Accesible para sillas de ruedas']","Desde el ventanal de este restaurante, la vista de Museo de la Historia Urbana de Aviles es maravillosa. Disfruta de un buen rato aquí y comparte sus sabrosas costillas, su casero laing y su bien trabajado rape con tus amistades. Puedes pedir unos bien preparados helados. La buenísima ubicación de Yummy Artesanos hace que llegar a él incluso en hora punta sea muy sencillo. Algunos de sus visitantes aconsejan probar el extraordinario vino de este lugar. Aquí puedes pedir un sorprendente café cortado. El cortés personal de este lugar muestra lo mucho que valora a sus comensales. Un profesional servicio es otro punto importante. Te van a gustar sus precios adecuados. Este restaurante tiene un ambiente hogareño y una decoración interesante. Los inspectores de Michelin han visitado Yummy Artesanos, por lo que cuenta con el premio de selección de Michelin.",https://es.restaurantguru.com/Yume-Aviles,yumegastro.com,@yumegastro
Ronda 14 Avilés, Aviles,43.55518720,-5.92381090,"Calle Alfonso VII, 20, Aviles, Principado de Asturias, España",+34985569409, €10 - €24,"['LunesLun', 'Cerrado', 'MartesMar', '13:30-16:0020:30-23:30', 'MiércolesMié', '13:30-16:0020:30-23:30', 'JuevesJue', '13:30-16:0020:30-23:30', 'ViernesVie', '13:30-16:0020:30-23:30', 'SábadoSáb', '13:30-16:0020:30-23:30', 'DomingoDom', '13:30-16:00']","['Sushi', 'Asiática', 'Japonesa', '', 'Sushi', 'Asiática', 'Japonesa', 'Peruana', 'Española', 'Opciones vegetarianas', '']",90,3703,"['Asientos al aire libre', 'Tarjetas de crédito aceptadas', 'Reserva', 'Accesible para sillas de ruedas']","Fuente de los Canos de San Francisco es una estupenda atracción turística para aquellos que vienen a comer a este restaurante tras un largo paseo. Échales un vistazo a las cartas japonesa y peruana. Servir una sorprendente calamar picante, un atrayente calamar y unas caseras carrilleras es la marca de Ronda 14 Avilés. Te va a gustar su comida, especialmente su sabroso pastel de frutas, su bien preparada tarta de queso y sus delicados helados. Este lugar tiene entre sus bebidas un irresistible pisco sour, un estupendo vino de postre y una deliciosa cerveza. Los amantes del café cortado comprobarán que es espectacular. La buenísima ubicación de este lugar hace que llegar a él por cualquier medio sea muy sencillo. Su contento personal refleja el estilo y el carácter de este restaurante. Tal y como un gran número de clientes reconocen, el servicio es profesional. Según el criterio de los usuarios, sus precios son interesantes. Ronda 14 Avilés tiene un ambiente encantador y una decoración bonita. Google le ha dado un 4,7, lo que indica que puedes ir a este lugar para pasar un rato agradable.",https://es.restaurantguru.com/Ronda-14-Aviles,ronda14.com,@ronda14
